# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR21013141_sorted.bam" "SRR21013146_sorted.bam" "SRR21013150_sorted.bam" "SRR21013144_sorted.bam" "SRR21013140_sorted.bam" "SRR21013139_sorted.bam" "SRR21013138_sorted.bam" "SRR21013145_sorted.bam" "SRR21013142_sorted.bam" "SRR21013136_sorted.bam" "SRR21013149_sorted.bam" "SRR21013137_sorted.bam" "SRR21013143_sorted.bam" "SRR21013147_sorted.bam" "SRR21013148_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR21013141_sorted.bam	SRR21013146_sorted.bam	SRR21013150_sorted.bam	SRR21013144_sorted.bam	SRR21013140_sorted.bam	SRR21013139_sorted.bam	SRR21013138_sorted.bam	SRR21013145_sorted.bam	SRR21013142_sorted.bam	SRR21013136_sorted.bam	SRR21013149_sorted.bam	SRR21013137_sorted.bam	SRR21013143_sorted.bam	SRR21013147_sorted.bam	SRR21013148_sorted.bam
gene-b0673	U00096.3	697057	697133	-	77	367	6597	4600	1029	1006	369	263	6572	2421	69	7797	482	2946	10619	2643
gene-b0674	U00096.3	697513	699177	-	1665	410	5352	6494	1441	969	717	290	4241	1409	134	7752	390	1309	8251	3243
gene-b0675	U00096.3	699574	700326	-	753	277	4363	5264	990	714	368	255	3005	1019	91	6247	394	1070	6306	2281
gene-b0676	U00096.3	700374	701594	-	1221	243	5525	6418	1042	697	362	271	3654	693	116	5961	339	796	8347	2705
gene-b0677	U00096.3	701603	702751	-	1149	185	3609	4988	832	484	287	181	2437	512	71	4751	197	592	5986	2030
gene-b0678	U00096.3	702811	703611	-	801	156	2220	2906	634	325	228	128	1449	459	44	3070	156	439	3779	1248
gene-b0679	U00096.3	703944	705890	+	1947	949	5637	7056	2772	1854	1407	394	3873	2710	183	7975	543	2739	9123	3088
gene-b0680	U00096.3	706093	707757	+	1665	3848	25209	23118	8107	8025	5376	1720	18211	13463	744	31809	2556	12375	31203	12283
gene-b4808	U00096.3	708236	708333	+	98	1	30	17	63	4	0	3	15	10	1	11	1	9	31	11
gene-b0681	U00096.3	708334	709740	+	1407	20	335	224	738	65	22	16	219	93	7	185	15	99	420	91
gene-b0682	U00096.3	709790	710116	+	327	33	322	173	210	88	28	10	203	97	4	155	23	119	459	86
gene-b0683	U00096.3	710200	710646	-	447	1139	17160	14314	4037	3112	1498	780	12497	5212	325	17378	1176	4914	21871	7102
gene-b4637	U00096.3	710639	710725	-	87	180	3337	2451	749	564	252	112	2610	1000	60	2950	218	915	4588	1435
gene-b0684	U00096.3	710935	711465	-	531	1054	14948	11949	3220	2690	1404	689	10898	4402	309	15892	1077	4618	19313	5770
gene-b0685	U00096.3	711605	711898	-	294	163	3116	2271	699	464	202	139	2053	688	64	2405	188	773	4208	835
gene-b0686	U00096.3	712038	712802	-	765	93	1973	1963	766	273	132	106	1454	396	45	2318	139	389	2778	965
gene-b0687	U00096.3	712987	713532	+	546	553	9581	9100	1851	1429	774	478	7138	2313	240	11407	688	2234	13274	4524
gene-b0688	U00096.3	713558	715198	+	1641	1264	18433	19563	4207	3312	1975	1015	14830	6118	505	24635	1475	5360	24519	10939
gene-b0689	U00096.3	715412	715906	+	495	18	210	165	263	36	13	9	179	80	2	124	14	101	322	76
gene-b0692	U00096.3	716946	718265	-	1320	18	314	288	918	41	16	10	181	61	5	305	18	60	495	113
gene-b0693	U00096.3	718262	720460	-	2199	9	264	211	1127	44	19	7	161	39	9	251	13	54	397	69
gene-b4803	U00096.3	720718	720822	-	105	0	1	3	64	0	0	0	1	2	0	1	0	2	3	1
gene-b0694	U00096.3	721056	721733	-	678	29	317	474	542	58	28	20	220	109	8	342	33	90	511	172
gene-b0695	U00096.3	721730	724414	-	2685	105	1434	1891	1967	239	115	73	942	277	42	1878	131	282	2071	736
gene-b0696	U00096.3	724407	724979	-	573	8	133	149	357	26	16	6	97	42	2	166	14	40	163	63
gene-b0697	U00096.3	724988	727036	-	2049	19	195	202	1229	25	16	11	114	20	6	184	11	25	259	84
gene-b0698	U00096.3	727059	728732	-	1674	4	53	67	1262	14	3	2	28	13	2	76	7	19	98	20
gene-b4513	U00096.3	728732	728821	-	90	0	4	1	45	1	0	0	0	0	0	4	0	2	7	2
gene-b0699	U00096.3	729134	729340	+	207	124	1458	971	329	327	218	91	882	322	48	1501	151	410	1733	472
gene-b0700	U00096.3	729583	733776	+	4194	148	1521	995	5106	361	212	99	821	519	34	1291	187	648	1541	499
gene-b0702	U00096.3	733776	734102	+	327	1	11	11	155	4	1	0	11	7	0	10	1	5	17	2
gene-b0704	U00096.3	735650	736219	+	570	2	18	9	238	8	1	2	13	7	0	16	3	7	27	6
gene-b4514	U00096.3	736445	736699	+	255	0	2	1	30	0	0	0	0	3	0	0	0	0	4	3
gene-b0706	U00096.3	738092	738853	+	762	3	92	40	513	17	11	3	44	18	2	45	3	26	104	22
gene-b0707	U00096.3	739001	739510	+	510	16	293	256	294	53	28	12	198	60	4	276	17	60	418	113
gene-b0708	U00096.3	739507	740925	+	1419	41	487	389	884	137	63	31	354	209	10	497	54	184	648	243
gene-b0709	U00096.3	741075	742556	-	1482	37	537	566	1129	91	50	20	472	129	19	623	57	140	907	309
gene-b0710	U00096.3	742827	743570	+	744	204	3245	4518	1055	475	326	193	2240	654	96	4728	240	561	5849	2082
gene-b0711	U00096.3	743593	744249	+	657	146	2689	3759	965	338	260	136	1877	563	78	3818	190	463	4860	1808
gene-b0712	U00096.3	744243	745175	+	933	199	3491	5050	1349	530	396	221	2608	938	101	4795	330	815	6062	2478
gene-b0713	U00096.3	745165	745899	+	735	245	3098	3876	1066	603	364	200	2128	1010	92	3432	312	906	5102	1857
gene-b0714	U00096.3	745935	746726	+	792	139	2665	1815	969	369	199	101	1465	519	38	2085	138	449	3716	932
gene-b0715	U00096.3	746723	747769	-	1047	101	1845	2846	836	262	175	90	942	258	31	3516	139	243	2761	1718
gene-b0716	U00096.3	747921	748982	-	1062	8	104	81	215	17	19	4	72	25	4	107	10	21	179	37
gene-b0717	U00096.3	748979	749707	-	729	1	22	16	78	2	0	0	12	4	0	18	3	4	42	11
gene-b0718	U00096.3	749722	752169	-	2448	9	184	138	1019	29	20	9	114	44	4	143	14	55	272	66
gene-b0719	U00096.3	752229	752795	-	567	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0720	U00096.3	753185	754468	-	1284	623	7875	12195	1941	1429	1064	576	6655	1989	266	12975	655	1625	13695	6203
gene-b4768	U00096.3	754658	754690	-	33	2	41	94	56	16	6	7	71	24	1	79	12	25	158	56
gene-b4735	U00096.3	754674	754781	-	108	1	21	38	92	12	4	3	36	15	1	41	10	12	80	24
gene-b0721	U00096.3	755177	755566	+	390	61	268	1078	567	171	96	56	264	329	23	472	73	245	617	296
gene-b0722	U00096.3	755560	755907	+	348	39	205	1096	314	107	49	33	215	243	19	425	48	162	583	317
gene-b0723	U00096.3	755907	757673	+	1767	170	984	6493	1398	366	197	138	1016	658	61	2360	129	516	2753	1732
gene-b0724	U00096.3	757689	758405	+	717	133	1285	5613	532	271	163	85	981	378	54	2572	88	327	2781	1520
gene-b0726	U00096.3	758706	761507	+	2802	1201	8154	25115	4062	2136	1681	814	6684	3840	418	16095	902	3236	15563	7806
gene-b0727	U00096.3	761522	762739	+	1218	2866	14294	33884	5785	4898	4092	1493	11692	8992	627	28655	1614	7066	28909	14250
gene-b0728	U00096.3	763014	764180	+	1167	977	9894	20288	3178	1709	1361	824	8467	3521	366	20570	815	2521	22375	9494
gene-b0729	U00096.3	764180	765049	+	870	811	7516	13147	2546	1445	1129	687	6168	3125	280	16228	636	2193	14212	6409
gene-b4764	U00096.3	765050	765150	+	101	64	567	835	231	93	58	33	459	181	20	1135	46	128	923	444
gene-b0730	U00096.3	765153	765875	-	723	29	341	422	379	48	28	29	283	71	10	433	19	96	614	143
gene-b0731	U00096.3	765984	767960	+	1977	1	74	54	1213	17	6	2	40	17	3	60	9	16	93	34
gene-b0732	U00096.3	767978	770611	+	2634	83	1157	1022	1444	163	77	52	785	203	22	1232	66	248	1870	463
gene-b0733	U00096.3	771458	773026	+	1569	10510	180299	129492	25994	27507	18609	9121	129942	46624	4072	194161	14239	39218	257617	81207
gene-b0734	U00096.3	773042	774181	+	1140	7022	102735	71710	19314	17841	11858	5752	69787	33051	2582	113709	8895	28596	144663	44255
gene-b4515	U00096.3	774196	774309	+	114	1397	17556	10082	3656	3840	2270	954	11154	6576	410	17791	1324	5931	23206	6747
gene-b0735	U00096.3	774309	774602	+	294	995	10836	6529	2879	2363	1408	497	7214	4470	207	10912	711	4021	14372	3995
gene-b0736	U00096.3	774752	775156	+	405	277	4683	3763	925	697	325	235	3338	1061	76	5010	308	1104	6322	1732
gene-b0737	U00096.3	775153	775845	+	693	426	4364	3734	1524	1046	471	342	3969	1640	149	5994	511	1840	6016	2176
gene-b0738	U00096.3	775849	776277	+	429	296	2277	2264	1071	718	347	206	2337	1280	94	3383	256	1231	3041	1422
gene-b0739	U00096.3	776342	777607	+	1266	498	4437	5050	2242	1269	615	358	4543	2190	163	5241	466	2305	5673	2383
gene-b0740	U00096.3	777740	779032	+	1293	2190	21861	28116	4956	5825	3854	1474	18450	9398	675	31583	1952	7509	33298	13791
gene-b0741	U00096.3	779067	779588	+	522	8026	44445	53511	12705	17377	13916	3337	34128	26848	1429	61775	4265	20047	67912	26715
gene-b0742	U00096.3	779598	780389	+	792	2170	15656	18836	4610	4632	3129	844	12557	8909	442	20208	1205	6247	23835	8937
gene-b0743	U00096.3	780554	780629	+	76	2228	20582	10936	5275	6979	2332	1230	17377	10563	376	21322	1763	11765	27113	7665
gene-b0744	U00096.3	780765	780840	+	76	2091	22688	8431	3945	4855	1839	1194	12311	6828	453	18387	1609	7441	21467	5289
gene-b0745	U00096.3	780843	780918	+	76	738	10676	3999	1762	2176	793	511	5950	3066	184	9175	734	3480	11025	2749
gene-b0746	U00096.3	781068	781143	+	76	1621	20902	8473	3320	4327	1664	1404	12221	5675	511	17098	2079	6908	22006	5537
gene-b0747	U00096.3	781147	781222	+	76	634	14231	5037	1615	2227	793	558	7823	2996	225	11237	863	3566	14515	3596
gene-b0748	U00096.3	781369	781444	+	76	181	5424	1560	677	679	181	130	2808	1010	55	3790	213	1181	4905	1468
gene-b0749	U00096.3	781577	781652	+	76	125	3478	1291	377	468	134	104	2018	596	35	3089	192	748	3330	1018
gene-b0750	U00096.3	782085	783128	+	1044	71	622	664	756	194	85	47	403	332	24	709	56	365	920	312
gene-b0751	U00096.3	783166	783885	+	720	36	941	954	811	138	79	41	613	214	11	985	73	230	1481	410
gene-b0752	U00096.3	783882	784823	-	942	48	1053	1043	757	161	71	41	662	182	17	921	59	193	1564	443
gene-b0753	U00096.3	784937	785317	-	381	10	181	174	229	26	16	13	109	33	1	244	10	41	270	69
gene-b0754	U00096.3	785633	786685	+	1053	2261	18907	15731	5128	4929	3539	1052	12468	7705	472	19568	1512	6355	27269	8058
gene-b0755	U00096.3	786843	787595	-	753	3516	29224	39307	7265	7857	5787	1770	21715	11012	772	41028	2200	10110	52480	16989
gene-b0756	U00096.3	787797	788837	-	1041	576	7064	8253	1787	1293	831	417	4685	2273	190	9653	578	1989	10482	3697
gene-b0757	U00096.3	788831	789979	-	1149	359	4435	4598	1640	902	494	260	2873	1370	114	5793	411	1300	6716	2362
gene-b0758	U00096.3	789983	791029	-	1047	324	3340	3382	1214	710	475	216	2108	1115	82	4244	347	1137	4677	1669
gene-b0759	U00096.3	791039	792055	-	1017	365	4776	4621	1560	964	609	303	2934	1294	110	6020	471	1404	6524	2385
gene-b0760	U00096.3	792316	793788	-	1473	508	10303	13328	1646	1156	694	493	7432	1041	190	14572	618	1111	20073	6550
gene-b0761	U00096.3	793856	794644	-	789	198	2799	2724	953	546	292	154	2076	773	57	3225	203	733	4250	1517
gene-b0762	U00096.3	794773	794922	+	150	127	1093	1398	439	442	189	100	1027	513	40	1629	131	711	2255	508
gene-b0763	U00096.3	795089	795862	+	774	93	1362	1081	648	278	144	68	758	272	33	1396	77	323	1834	486
gene-b0764	U00096.3	795862	796551	+	690	44	601	563	580	118	58	30	376	103	9	701	46	124	827	254
gene-b0765	U00096.3	796554	797612	+	1059	72	615	615	927	169	78	56	496	201	18	779	64	226	853	324
gene-b0766	U00096.3	797613	798431	-	819	173	1555	1723	943	371	243	121	1282	668	49	2236	191	671	2199	834
gene-b0767	U00096.3	798586	799581	+	996	606	8279	7869	1764	1440	1072	463	5331	1919	200	10643	697	1984	11575	3958
gene-b0768	U00096.3	799622	800575	-	954	37	497	317	629	83	35	24	306	102	4	367	24	114	697	189
gene-b0769	U00096.3	800759	801811	+	1053	1	7	12	332	6	3	3	18	8	0	10	3	10	20	4
gene-b0770	U00096.3	801887	803320	+	1434	16	72	49	622	47	18	2	46	68	4	60	8	66	73	20
gene-b0771	U00096.3	803503	805764	+	2262	45	545	444	1398	147	86	28	369	239	8	449	49	200	781	230
gene-b0772	U00096.3	805998	807281	-	1284	544	2707	2651	2098	1309	631	257	2884	2650	116	3711	373	2513	3231	1624
gene-b0773	U00096.3	807433	807909	-	477	106	1610	1335	539	329	166	65	1080	442	24	1620	119	425	2105	693
gene-b0774	U00096.3	807968	809257	-	1290	36	566	662	767	92	51	32	405	135	13	589	44	159	652	296
gene-b0775	U00096.3	809344	810384	+	1041	28	411	817	702	60	69	32	340	121	27	655	30	86	620	354
gene-b0776	U00096.3	810381	811535	+	1155	30	344	988	582	64	69	29	371	180	21	665	31	78	562	524
gene-b0777	U00096.3	811522	812277	+	756	37	370	1040	518	80	69	23	353	203	22	763	36	92	546	516
gene-b0778	U00096.3	812270	812947	+	678	34	405	970	518	55	67	18	414	172	18	949	29	91	718	472
gene-b0779	U00096.3	813526	815547	+	2022	475	8867	10326	2192	1183	692	476	6375	1409	186	11039	717	1389	13557	5215
gene-b0780	U00096.3	815739	816647	-	909	152	3007	2607	879	502	252	119	2416	640	54	2907	197	669	4057	1393
gene-b0781	U00096.3	817044	818033	+	990	568	13421	21753	1265	1489	876	452	7394	1451	146	15524	605	1385	22574	7512
gene-b0782	U00096.3	818055	818567	+	513	220	4989	8061	741	524	298	209	3925	419	97	8758	390	506	9257	3896
gene-b0783	U00096.3	818570	819055	+	486	199	3328	5919	606	430	304	246	3204	427	97	6879	324	498	6239	3164
gene-b0784	U00096.3	819048	819293	+	246	74	1004	1904	288	177	102	87	1067	184	29	1750	101	203	1892	905
gene-b0785	U00096.3	819295	819747	+	453	144	1776	3631	672	331	174	119	1953	344	59	2931	159	387	3417	1562
gene-b0786	U00096.3	819884	820588	+	705	295	6694	6251	870	955	467	294	3828	941	102	7946	427	1011	9522	3231
gene-b0787	U00096.3	820793	821506	+	714	9	138	68	277	20	9	4	77	30	2	54	5	36	145	26
gene-b0788	U00096.3	821542	822498	-	957	9	157	142	841	19	14	2	100	41	2	112	9	47	245	41
gene-b0789	U00096.3	822498	823739	-	1242	24	143	157	756	55	29	6	94	67	5	167	12	66	229	65
gene-b0790	U00096.3	823736	824497	-	762	8	115	103	367	14	12	8	76	24	6	126	10	31	181	41
gene-b0791	U00096.3	824630	825040	+	411	62	935	968	715	222	99	79	670	208	26	1401	108	291	1702	443
gene-b0792	U00096.3	825002	826108	-	1107	59	1044	1079	1032	158	88	60	762	208	27	1197	94	233	1782	540
gene-b0793	U00096.3	826119	827252	-	1134	68	857	1140	912	162	77	65	700	173	20	1216	83	176	1745	530
gene-b0794	U00096.3	827245	828981	-	1737	142	2539	3210	1402	296	188	144	1508	343	67	2977	190	295	4325	1354
gene-b0795	U00096.3	828974	829972	-	999	103	1908	2811	730	260	179	132	1167	266	62	2180	168	249	3184	1131
gene-b0796	U00096.3	829972	830643	-	672	54	973	1463	376	133	99	52	694	158	39	1279	77	156	1611	575
gene-b0797	U00096.3	830872	832236	+	1365	2092	9501	5491	5644	5193	2449	807	7106	7360	351	9719	1281	7648	9963	3772
gene-b0798	U00096.3	832468	832950	-	483	53	400	263	326	106	34	25	291	179	10	233	21	169	487	123
gene-b0799	U00096.3	833070	835220	+	2151	232	3132	3419	1870	568	297	193	2328	791	81	3537	323	886	4125	1576
gene-b0800	U00096.3	835248	836210	+	963	299	5067	5353	1201	833	475	294	2924	932	113	6586	456	1087	7224	2377
gene-b0801	U00096.3	836351	837436	+	1086	812	5686	6195	2226	1743	1246	383	3752	2126	158	7118	544	1937	8966	2984
gene-b4814	U00096.3	837435	837531	-	97	81	1030	1019	373	199	126	46	623	227	24	1186	57	223	1617	434
gene-b4769	U00096.3	837503	837562	+	60	70	872	889	273	155	105	34	536	180	16	1020	38	167	1383	367
gene-b0802	U00096.3	837665	837925	-	261	64	898	918	180	135	92	46	517	179	14	1045	61	194	1526	457
gene-b0803	U00096.3	838190	838456	-	267	14	159	146	323	26	18	6	114	40	3	186	11	37	273	77
gene-b0804	U00096.3	838530	839207	-	678	15	346	505	321	51	22	14	244	58	5	563	27	65	639	198
gene-b0805	U00096.3	839249	841531	-	2283	24	678	640	1059	84	53	31	433	96	9	594	29	110	872	225
gene-b0806	U00096.3	841796	842056	-	261	9	83	73	113	21	8	4	68	19	1	104	6	22	116	39
gene-b0807	U00096.3	842332	843258	+	927	139	1263	893	998	337	157	105	813	604	32	1493	150	687	1462	555
gene-b0808	U00096.3	843255	845480	-	2226	78	557	504	1433	206	95	26	341	281	14	639	57	327	802	235
gene-b0809	U00096.3	845741	846463	-	723	496	4955	7642	1992	1200	822	440	4909	2342	232	9882	536	1803	12509	5459
gene-b0810	U00096.3	846460	847119	-	660	299	3785	5015	957	740	498	287	3394	1062	141	5516	389	1051	7728	3477
gene-b0811	U00096.3	847258	848004	-	747	929	14212	25493	2112	2218	1698	808	11571	3366	393	18279	978	2860	28426	10901
gene-b0812	U00096.3	848408	848911	-	504	674	8309	4882	1539	2005	1041	387	4191	1883	152	8121	581	2373	10715	3048
gene-b0813	U00096.3	849210	850097	-	888	56	690	677	898	168	81	41	644	270	23	885	71	313	1391	396
gene-b4736	U00096.3	850332	850397	+	66	43	243	176	118	160	94	12	212	164	8	414	30	158	335	123
gene-b0814	U00096.3	850450	850965	+	516	10718	107633	72911	18500	30240	20842	5151	65923	38323	2078	119362	8595	36095	132363	44897
gene-b0815	U00096.3	851014	852597	-	1584	203	1933	989	1105	456	209	112	1358	693	46	1617	177	790	2484	762
gene-b4416	U00096.3	852725	853064	-	340	78	1180	1148	377	299	121	64	942	365	34	767	94	323	1866	612
gene-b4705	U00096.3	852869	852997	-	129	49	667	948	204	228	91	50	608	264	27	641	65	236	1190	487
gene-b0817	U00096.3	853183	853650	+	468	80	805	954	642	247	87	69	621	299	35	999	99	325	1215	419
gene-b0818	U00096.3	853647	854765	+	1119	50	593	612	1087	171	61	31	464	216	21	703	50	237	813	308
gene-b0819	U00096.3	854824	855744	-	921	756	6732	6218	2474	1799	799	483	5339	3385	224	8464	690	3403	8301	3031
gene-b0820	U00096.3	855963	857555	+	1593	1850	10448	10547	7203	4037	2365	978	10116	8930	447	13258	1196	8310	13844	5951
gene-b0821	U00096.3	857796	859061	-	1266	62	589	572	943	175	86	26	397	289	8	668	50	278	775	282
gene-b0822	U00096.3	859213	860028	-	816	76	1198	1067	459	178	104	49	945	350	26	1433	72	297	1548	575
gene-b0823	U00096.3	860174	862606	-	2433	43	577	517	1342	102	68	23	346	126	19	525	38	114	820	188
gene-b0824	U00096.3	862612	863511	-	900	5	97	82	557	18	6	3	37	5	2	82	13	13	128	16
gene-b0825	U00096.3	863642	864304	+	663	31	478	406	532	81	44	15	283	88	3	403	26	88	632	194
gene-b0826	U00096.3	864380	865129	-	750	209	4345	4464	895	681	389	224	2425	847	93	4989	383	800	5964	1983
gene-b0827	U00096.3	865129	866364	-	1236	322	5497	6543	1194	860	495	339	3415	1058	115	7447	512	1089	8049	2865
gene-b0828	U00096.3	866568	867533	+	966	313	9413	6003	990	1022	444	275	3859	652	117	10886	545	1084	8150	2831
gene-b0829	U00096.3	867520	869391	+	1872	374	15166	7972	1667	1462	542	423	5518	858	160	10877	940	1519	12579	4083
gene-b0830	U00096.3	869411	870949	+	1539	272	5864	5096	1345	913	359	323	2563	793	123	5802	620	1226	5906	2352
gene-b0831	U00096.3	870967	871887	+	921	81	2156	1596	1060	329	112	94	1086	335	39	2055	197	549	2264	883
gene-b0832	U00096.3	871890	872801	+	912	56	1431	727	817	173	87	42	702	232	32	912	116	369	1369	545
gene-b0833	U00096.3	872979	875327	+	2349	20	617	216	783	94	33	13	420	98	7	266	24	160	606	115
gene-b0834	U00096.3	875335	876663	+	1329	26	138	71	811	77	47	12	160	130	4	128	11	129	194	59
gene-b0835	U00096.3	876710	878035	-	1326	845	3204	2506	3627	1810	743	434	3266	4049	188	4057	569	4440	4076	1721
gene-b0836	U00096.3	878248	878631	+	384	583	7703	7333	1030	1540	753	503	4122	979	160	11160	740	1495	14133	4016
gene-b0837	U00096.3	878742	879857	+	1116	77	1713	1194	688	195	103	78	786	141	27	1444	94	199	2218	606
gene-b0838	U00096.3	879854	880480	-	627	145	2896	2845	678	395	255	132	1826	424	74	3620	207	529	3896	1559
gene-b0839	U00096.3	880727	881929	+	1203	63	1068	1288	892	176	104	68	740	196	31	1421	78	197	1823	593
gene-b0840	U00096.3	881976	882734	-	759	79	1275	1364	554	188	93	56	1028	272	24	1472	79	236	1839	568
gene-b0841	U00096.3	882792	883388	-	597	75	1174	1558	500	205	126	58	1192	328	54	2299	81	291	2078	821
gene-b0842	U00096.3	883673	884905	+	1233	82	536	490	1168	201	95	49	480	421	22	744	72	439	769	294
gene-b0843	U00096.3	884946	885230	-	285	44	532	586	338	115	62	30	374	228	13	567	42	216	689	303
gene-b0844	U00096.3	885316	886131	-	816	58	876	1022	633	151	96	51	700	304	23	1075	66	256	1213	516
gene-b0845	U00096.3	886131	887339	-	1209	100	1364	1647	1338	264	150	83	1225	386	47	1489	147	326	2077	801
gene-b0846	U00096.3	887423	887959	+	537	29	286	334	362	73	28	17	236	62	6	324	21	75	456	137
gene-b4417	U00096.3	887979	888057	-	79	12	96	75	40	14	6	3	66	26	1	138	5	32	117	39
gene-b0847	U00096.3	888134	889819	-	1686	234	3936	2723	1360	686	341	204	2755	1024	70	3677	312	1149	4638	1490
gene-b0848	U00096.3	890089	890466	+	378	49	1973	1180	292	135	80	29	868	102	19	1489	57	129	2493	350
gene-b0849	U00096.3	890496	890753	-	258	26	769	365	192	65	33	15	336	61	4	438	37	84	938	160
gene-b0850	U00096.3	890913	891200	+	288	193	2995	3660	558	494	297	151	1946	737	70	4151	187	703	4588	1588
gene-b0851	U00096.3	891184	891906	+	723	632	8324	9573	1905	1500	994	529	5702	2150	240	11630	706	2184	12593	4364
gene-b0852	U00096.3	891967	892869	+	903	582	8512	8850	2144	1442	794	434	5456	2030	170	9877	703	2081	12067	4052
gene-b0853	U00096.3	892957	893433	+	477	280	6812	4937	967	802	398	204	3938	933	99	7227	357	974	8893	2583
gene-b0854	U00096.3	893784	894896	+	1113	32	369	216	435	58	24	11	211	95	5	266	39	99	484	113
gene-b0855	U00096.3	894991	896124	+	1134	20	213	172	595	56	25	13	156	69	7	238	27	87	285	81
gene-b0856	U00096.3	896134	897087	+	954	3	85	87	511	19	2	7	70	26	2	94	4	30	135	48
gene-b0857	U00096.3	897084	897929	+	846	11	173	164	547	29	12	7	111	28	3	178	17	59	216	73
gene-b0858	U00096.3	897989	898477	+	489	29	501	454	320	73	43	23	318	107	9	632	24	120	694	190
gene-b0859	U00096.3	898518	899645	+	1128	81	875	688	747	190	105	64	756	288	20	815	97	303	1164	400
gene-b0860	U00096.3	899844	900575	-	732	172	3047	3636	630	421	332	169	2898	651	81	4221	189	542	4996	2199
gene-b0861	U00096.3	900866	901534	-	669	367	3636	4250	1307	767	507	255	3430	1560	160	3725	295	1296	4850	2235
gene-b0862	U00096.3	901534	902250	-	717	291	3079	4481	1151	596	444	232	3492	1223	105	3729	269	907	4432	2160
gene-b0863	U00096.3	902257	902988	-	732	502	5735	7683	1514	1080	765	362	5706	2008	173	8158	480	1510	8558	4198
gene-b0864	U00096.3	903006	903734	-	729	360	4948	5158	1499	817	461	281	4785	1557	137	5562	386	1315	6900	2797
gene-b0865	U00096.3	903952	904467	-	516	56	972	1216	498	136	87	55	633	146	17	1426	70	164	1553	541
gene-b0866	U00096.3	904593	904916	+	324	123	1742	1838	528	367	204	91	1051	401	31	2251	116	391	2714	965
gene-b0867	U00096.3	904913	905743	+	831	183	3035	2871	848	532	312	157	1782	631	52	3301	210	658	4297	1416
gene-b0868	U00096.3	905740	906753	-	1014	244	3586	2992	1630	601	308	230	2301	884	97	3573	295	1011	4746	1441
gene-b0869	U00096.3	906852	908282	-	1431	175	2260	2610	1137	363	277	105	1529	518	68	2495	205	468	3019	1368
gene-b0870	U00096.3	908293	909294	-	1002	185	2516	3430	914	438	331	146	1857	667	83	3727	241	531	3729	1584
gene-b0871	U00096.3	909331	911049	-	1719	75	938	615	900	177	112	73	503	232	37	864	66	243	1088	313
gene-b0872	U00096.3	911182	912150	-	969	40	760	867	694	91	46	39	340	85	12	1077	73	103	1175	309
gene-b0873	U00096.3	912162	913814	-	1653	21	423	619	996	69	40	28	215	82	9	731	37	91	692	280
gene-b0874	U00096.3	913958	914857	-	900	53	821	498	649	142	66	41	698	235	17	747	71	203	1129	353
gene-b0875	U00096.3	915352	916047	-	696	29	376	374	438	59	26	19	259	87	6	517	11	68	506	202
gene-b0876	U00096.3	916473	918131	+	1659	117	2138	2222	1281	235	159	87	1280	309	43	2399	131	355	3061	1000
gene-b0877	U00096.3	918128	919120	-	993	60	1420	1408	456	155	86	59	928	153	18	1391	74	187	2131	483
gene-b0878	U00096.3	919235	920350	+	1116	162	2904	2744	991	425	255	183	2047	461	65	3283	221	472	4120	1344
gene-b0879	U00096.3	920347	922293	+	1947	140	1793	2368	1736	402	231	136	1745	604	73	2775	169	496	2797	1102
gene-b0880	U00096.3	922366	922590	-	225	89	1212	1512	346	287	132	86	891	291	37	1970	91	339	2161	655
gene-b4770	U00096.3	922740	922814	+	75	7	196	229	123	31	22	11	177	50	3	329	12	60	419	106
gene-b0881	U00096.3	922913	923233	+	321	166	2465	3680	519	515	240	189	2159	553	48	4002	217	663	5648	1801
gene-b0882	U00096.3	923264	925540	+	2277	3555	66288	60413	8903	9432	4709	3450	42178	9888	1419	92007	5101	11674	105707	29541
gene-b0883	U00096.3	925884	925971	-	88	30	188	188	93	103	50	57	229	170	8	254	57	280	440	94
gene-b0884	U00096.3	926225	926443	-	219	2960	20280	13786	7873	8067	3272	1081	16434	13257	430	17374	1601	13744	24498	7365
gene-b0885	U00096.3	926728	927432	-	705	156	4062	2490	781	422	204	121	2422	693	60	3207	185	648	5142	1490
gene-b0886	U00096.3	927474	929195	-	1722	391	7209	7275	1756	1032	659	322	5175	1610	154	6715	473	1405	9351	3712
gene-b0887	U00096.3	929196	930962	-	1767	185	2554	3538	1598	497	286	171	2186	664	69	4358	234	648	3642	1594
gene-b0888	U00096.3	931085	932050	-	966	1548	11972	16513	4028	3940	2332	945	9598	6602	385	17195	1229	6049	16304	7777
gene-b0889	U00096.3	932595	933089	+	495	918	15316	14102	2561	2303	1684	582	12596	4794	335	18606	781	3149	23551	8582
gene-b0890	U00096.3	933224	937213	+	3990	1378	20952	24108	5548	3386	2125	1315	17048	5711	646	24057	1875	4885	29327	12616
gene-b0891	U00096.3	937372	937983	+	612	255	3365	2834	736	642	342	240	2543	776	102	4679	277	957	4893	1694
gene-b0892	U00096.3	937994	939337	+	1344	456	5379	4938	1589	1109	609	404	4210	1780	189	7015	531	1691	7796	2918
