# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948478_sorted.bam" "SRR8948479_sorted.bam" "SRR8948485_sorted.bam" "SRR8948481_sorted.bam" "SRR8948484_sorted.bam" "SRR8948482_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948478_sorted.bam	SRR8948479_sorted.bam	SRR8948485_sorted.bam	SRR8948481_sorted.bam	SRR8948484_sorted.bam	SRR8948482_sorted.bam
gene-PA1014	NC_002516.2	1097296	1098288	+	993	199	289	17	63	20	98
gene-PA1015	NC_002516.2	1098328	1099128	-	801	120	164	9	29	14	47
gene-PA1016	NC_002516.2	1099669	1100820	+	1152	65	66	0	14	1	16
gene-PA1017	NC_002516.2	1100930	1103077	+	2148	55	82	5	17	5	23
gene-PA1018	NC_002516.2	1103061	1103927	+	867	15	28	1	5	1	7
gene-PA1019	NC_002516.2	1104009	1105364	+	1356	15	27	1	2	1	2
gene-PA1019a	NC_002516.2	1105388	1105795	+	408	1	9	1	1	1	2
gene-PA1020	NC_002516.2	1105888	1107000	+	1113	25	44	3	5	4	14
gene-PA1021	NC_002516.2	1107000	1107761	+	762	11	26	1	5	3	5
gene-PA1022	NC_002516.2	1107763	1108908	+	1146	13	20	3	5	1	10
gene-PA1023	NC_002516.2	1108949	1109866	+	918	19	20	1	2	1	10
gene-PA1024	NC_002516.2	1109882	1110868	+	987	24	58	2	10	1	15
gene-PA1025	NC_002516.2	1110947	1112197	+	1251	16	27	1	5	4	10
gene-PA1026	NC_002516.2	1112574	1113050	-	477	44	61	3	9	3	22
gene-PA1027	NC_002516.2	1113129	1114718	+	1590	26	37	3	11	3	13
gene-PA1028	NC_002516.2	1114774	1116060	+	1287	48	74	3	10	6	20
gene-PA1030	NC_002516.2	1116635	1117390	+	756	168	179	37	59	27	60
gene-PA1030.1	NC_002516.2	1117532	1117609	+	78	18	11	2	2	3	1
gene-PA1031	NC_002516.2	1118158	1119519	+	1362	473	637	38	100	47	197
gene-PA1032	NC_002516.2	1119674	1122217	-	2544	780	1075	46	148	37	252
gene-PA1033	NC_002516.2	1122340	1122981	-	642	41	55	6	10	1	23
gene-PA1034	NC_002516.2	1123148	1123348	-	201	173	399	6	40	3	94
gene-PA1035	NC_002516.2	1123356	1123850	-	495	97	188	8	29	5	63
gene-PA1036	NC_002516.2	1124165	1124725	+	561	102	110	7	15	4	35
gene-PA1037	NC_002516.2	1124845	1125465	-	621	114	161	7	32	3	56
gene-PA1038	NC_002516.2	1125548	1125865	-	318	33	32	6	7	1	12
gene-PA1039	NC_002516.2	1125865	1126338	-	474	41	43	4	9	1	13
gene-PA1040	NC_002516.2	1126341	1126838	-	498	42	65	2	4	3	7
gene-PA1041	NC_002516.2	1126969	1127601	+	633	186	178	28	52	19	75
gene-PA1042	NC_002516.2	1127717	1128016	+	300	35	46	5	4	1	20
gene-PA1043	NC_002516.2	1128009	1128818	+	810	109	183	10	32	5	57
gene-PA1044	NC_002516.2	1128857	1129321	-	465	60	82	5	11	4	36
gene-PA1045	NC_002516.2	1129451	1131595	+	2145	417	618	35	113	37	195
gene-PA1046	NC_002516.2	1131674	1133947	+	2274	373	592	23	89	33	150
gene-PA1047	NC_002516.2	1134024	1135202	+	1179	233	475	14	49	15	130
gene-PA1048	NC_002516.2	1135408	1136289	+	882	617	909	40	144	44	329
gene-PA1049	NC_002516.2	1136388	1137035	+	648	115	253	11	25	10	59
gene-PA1050	NC_002516.2	1137043	1138155	+	1113	110	387	6	17	2	55
gene-PA1051	NC_002516.2	1138314	1139672	+	1359	78	257	16	34	4	149
gene-PA1052	NC_002516.2	1139714	1140859	+	1146	149	400	10	24	6	91
gene-PA1052a	NC_002516.2	1140838	1141080	-	243	34	74	6	13	4	41
gene-PA1053	NC_002516.2	1141268	1141732	+	465	584	1867	59	172	50	398
gene-PA1054	NC_002516.2	1142061	1144862	+	2802	567	1222	68	245	68	464
gene-PA1055	NC_002516.2	1144862	1145200	+	339	60	107	7	31	7	69
gene-PA1056	NC_002516.2	1145197	1146696	+	1500	319	615	51	100	25	236
gene-PA1057	NC_002516.2	1146693	1147217	+	525	104	229	20	54	11	117
gene-PA1058	NC_002516.2	1147202	1147471	+	270	65	148	9	23	5	58
gene-PA1059	NC_002516.2	1147468	1147815	+	348	70	167	11	34	9	88
gene-PA1060	NC_002516.2	1147928	1148833	+	906	131	200	14	43	8	102
gene-PA1061	NC_002516.2	1148844	1149941	+	1098	43	69	2	17	2	27
gene-PA1062	NC_002516.2	1149952	1150473	+	522	43	73	6	15	0	27
gene-PA1063	NC_002516.2	1150470	1150721	+	252	48	83	4	14	1	32
gene-PA1064	NC_002516.2	1150750	1151415	-	666	106	120	10	20	4	48
gene-PA1065	NC_002516.2	1151435	1151908	+	474	14	15	2	3	2	8
gene-PA1066	NC_002516.2	1151919	1152575	-	657	18	33	3	3	6	9
gene-PA1067	NC_002516.2	1152624	1153538	+	915	26	25	3	7	1	5
gene-PA1068	NC_002516.2	1153637	1155547	+	1911	222	397	28	44	16	111
gene-PA1069	NC_002516.2	1155584	1157878	+	2295	442	546	33	109	34	210
gene-PA1070	NC_002516.2	1157954	1158655	-	702	100	154	10	23	9	62
gene-PA1071	NC_002516.2	1158658	1159425	-	768	72	150	8	17	9	62
gene-PA1072	NC_002516.2	1159422	1160675	-	1254	122	290	11	48	15	97
gene-PA1073	NC_002516.2	1160672	1161595	-	924	74	131	5	23	9	64
gene-PA1074	NC_002516.2	1161856	1162977	-	1122	577	869	67	156	48	401
gene-PA1075	NC_002516.2	1163276	1163593	+	318	162	302	11	35	8	77
gene-PA1076	NC_002516.2	1163660	1164022	+	363	113	292	16	32	9	70
gene-PA1077	NC_002516.2	1164275	1164682	+	408	115	170	6	17	7	50
gene-PA1078	NC_002516.2	1164688	1165128	+	441	72	132	3	12	2	33
gene-PA1079	NC_002516.2	1165141	1165854	+	714	262	460	10	53	12	112
gene-PA1080	NC_002516.2	1165882	1167270	+	1389	470	724	35	99	41	267
gene-PA1081	NC_002516.2	1167488	1168237	+	750	279	529	9	45	14	118
gene-PA1082	NC_002516.2	1168284	1169069	+	786	191	453	17	45	15	133
gene-PA1083	NC_002516.2	1169115	1169810	+	696	159	225	10	26	7	108
gene-PA1084	NC_002516.2	1169822	1170931	+	1110	515	737	21	57	16	168
gene-PA1085	NC_002516.2	1170942	1172144	+	1203	410	775	21	64	19	167
gene-PA1086	NC_002516.2	1172163	1174214	+	2052	496	1080	44	98	26	243
gene-PA1087	NC_002516.2	1174240	1175559	+	1320	284	551	30	69	39	175
gene-PA1088	NC_002516.2	1175614	1176375	+	762	253	673	12	44	9	129
gene-PA1089	NC_002516.2	1176380	1176982	+	603	157	420	8	29	6	86
gene-PA1090	NC_002516.2	1176958	1177620	+	663	60	216	8	23	2	50
gene-PA1091	NC_002516.2	1177613	1182697	+	5085	969	1865	94	267	83	665
gene-PA1092	NC_002516.2	1183058	1184524	+	1467	4241	5221	854	1332	790	15294
gene-PA1093	NC_002516.2	1184603	1184974	+	372	407	537	60	131	63	284
gene-PA1094	NC_002516.2	1185060	1186484	+	1425	1400	2260	157	377	166	812
gene-PA1095	NC_002516.2	1186606	1186986	+	381	283	501	22	55	16	164
gene-PA1096	NC_002516.2	1187009	1187305	+	297	200	347	23	46	12	127
gene-PA1097	NC_002516.2	1187587	1189059	+	1473	688	1241	48	143	57	254
gene-PA1098	NC_002516.2	1189172	1190380	+	1209	439	779	21	68	17	125
gene-PA1099	NC_002516.2	1190385	1191806	+	1422	325	570	7	51	13	97
gene-PA1100	NC_002516.2	1192053	1192382	+	330	195	304	10	27	2	66
gene-PA1101	NC_002516.2	1192405	1194201	+	1797	559	1180	30	81	35	203
gene-PA1102	NC_002516.2	1194207	1195223	+	1017	380	747	28	89	24	169
gene-PA1103	NC_002516.2	1195225	1196031	+	807	424	850	16	56	10	140
gene-PA1104	NC_002516.2	1196021	1197376	+	1356	314	766	11	58	9	147
gene-PA1105	NC_002516.2	1197390	1197833	+	444	99	206	6	19	6	53
gene-PA1106	NC_002516.2	1197838	1198551	-	714	97	159	8	29	5	58
gene-PA1107	NC_002516.2	1198750	1199946	-	1197	38	55	1	6	5	13
gene-PA1108	NC_002516.2	1200063	1201220	-	1158	18	38	1	9	0	4
gene-PA1109	NC_002516.2	1201310	1202089	+	780	77	131	6	9	4	35
gene-PA1110	NC_002516.2	1202094	1202804	-	711	48	100	9	19	4	35
gene-PA1111	NC_002516.2	1202917	1203540	+	624	9	18	1	4	2	6
gene-PA1112	NC_002516.2	1203633	1204781	+	1149	77	143	29	16	13	56
gene-PA1112a	NC_002516.2	1204785	1205006	-	222	76	105	26	30	17	49
gene-PA1112.1	NC_002516.2	1205031	1205330	-	300	591	1783	99	143	63	498
gene-PA1112b	NC_002516.2	1205107	1205298	-	192	588	1756	92	139	61	490
gene-PA1113	NC_002516.2	1205771	1207537	+	1767	56	129	16	27	10	38
gene-PA1114	NC_002516.2	1207540	1207875	-	336	59	156	10	26	10	40
gene-PA1115	NC_002516.2	1207979	1210303	-	2325	184	326	20	45	10	121
gene-PA1116	NC_002516.2	1210558	1211397	+	840	129	211	14	56	13	93
gene-PA1117	NC_002516.2	1211407	1211781	-	375	94	118	12	21	2	48
gene-PA1118	NC_002516.2	1211888	1212571	-	684	76	95	14	22	10	36
gene-PA1119	NC_002516.2	1212717	1213223	-	507	50	130	7	18	9	35
gene-PA1120	NC_002516.2	1213195	1214502	-	1308	101	188	7	22	9	57
gene-PA1121	NC_002516.2	1214502	1215074	-	573	52	104	5	10	1	25
gene-PA1123	NC_002516.2	1216120	1216440	-	321	73	121	14	28	7	36
gene-PA1124	NC_002516.2	1216671	1218167	+	1497	103	123	12	26	6	31
gene-PA1125	NC_002516.2	1218181	1218933	+	753	64	100	4	4	4	33
gene-PA1126	NC_002516.2	1218940	1219527	-	588	104	150	8	18	5	51
gene-PA1127	NC_002516.2	1219621	1220610	-	990	122	260	10	38	10	53
gene-PA1128	NC_002516.2	1220745	1221656	+	912	79	118	4	15	3	19
gene-PA1129	NC_002516.2	1221691	1222098	+	408	14	27	2	4	2	4
gene-PA1130	NC_002516.2	1222095	1223072	-	978	21	49	4	10	1	9
gene-PA1131	NC_002516.2	1223060	1224328	-	1269	10	13	2	6	2	5
gene-PA1132	NC_002516.2	1224641	1225330	+	690	48	172	6	13	4	42
gene-PA1133	NC_002516.2	1225340	1225690	-	351	16	51	4	6	0	21
gene-PA1134	NC_002516.2	1225757	1226278	-	522	20	36	0	7	1	13
gene-PA1135	NC_002516.2	1226427	1227302	-	876	21	19	2	12	4	11
gene-PA1136	NC_002516.2	1227474	1228205	+	732	28	80	3	8	2	19
gene-PA1137	NC_002516.2	1228212	1229198	-	987	136	162	18	37	17	77
gene-PA1138	NC_002516.2	1229344	1230219	+	876	20	38	1	3	2	9
gene-PA1139	NC_002516.2	1230310	1231158	+	849	59	111	4	22	7	32
gene-PA1140	NC_002516.2	1231256	1232092	-	837	93	121	15	21	11	38
gene-PA1141	NC_002516.2	1232229	1233131	-	903	26	46	1	8	2	8
gene-PA1142	NC_002516.2	1233297	1234013	-	717	55	98	9	17	4	39
gene-PA1143	NC_002516.2	1234095	1234748	-	654	9	6	1	2	0	1
gene-PA1144	NC_002516.2	1234816	1236150	-	1335	9	9	4	0	0	4
gene-PA1145	NC_002516.2	1236644	1237546	+	903	42	51	3	5	1	18
gene-PA1146	NC_002516.2	1237551	1238732	-	1182	32	60	2	2	4	17
gene-PA1147	NC_002516.2	1238834	1240324	-	1491	141	239	24	29	8	48
gene-PA1148	NC_002516.2	1240584	1242500	-	1917	16	54	0	5	2	11
gene-PA1149	NC_002516.2	1242750	1243118	-	369	4	5	0	0	1	2
gene-PA1150	NC_002516.2	1243594	1245663	+	2070	261	380	27	64	21	97
gene-PA1151	NC_002516.2	1245665	1245928	+	264	356	699	14	65	17	56
gene-PA1153	NC_002516.2	1247932	1248486	-	555	18	33	2	3	5	9
gene-PA1154	NC_002516.2	1249019	1249552	-	534	25	35	5	7	2	5
gene-PA1155	NC_002516.2	1249907	1251154	-	1248	504	994	69	154	61	301
gene-PA1156	NC_002516.2	1251418	1254309	-	2892	740	998	88	265	108	491
gene-PA1157	NC_002516.2	1255042	1255752	+	711	211	252	14	46	9	78
gene-PA1158	NC_002516.2	1256094	1257452	+	1359	128	152	8	21	5	47
gene-PA1159	NC_002516.2	1257772	1257981	+	210	2872	4257	79	267	53	824
gene-PA1160	NC_002516.2	1258087	1258470	-	384	130	259	15	29	8	64
gene-PA1161	NC_002516.2	1258488	1259291	-	804	61	108	3	16	4	32
gene-PA1162	NC_002516.2	1259291	1260442	-	1152	161	231	6	43	11	75
gene-PA1163	NC_002516.2	1260557	1263166	-	2610	1541	189	11	37	7	59
gene-PA1164	NC_002516.2	1263378	1264190	+	813	228	434	28	53	15	144
gene-PA1165	NC_002516.2	1264191	1264919	-	729	75	165	3	13	4	49
gene-PA1166	NC_002516.2	1265147	1265935	-	789	27	26	3	7	2	7
gene-PA1167	NC_002516.2	1266111	1266782	+	672	40	81	4	9	4	8
gene-PA1168	NC_002516.2	1267282	1267602	+	321	3	4	0	1	2	2
gene-PA1169	NC_002516.2	1267680	1269737	+	2058	46	84	7	16	8	30
gene-PA1170	NC_002516.2	1269781	1270515	-	735	50	246	8	30	7	97
gene-PA1171	NC_002516.2	1270972	1272168	+	1197	135	176	8	31	9	61
gene-PA1172	NC_002516.2	1272200	1272796	-	597	30	45	5	4	6	21
gene-PA1173	NC_002516.2	1272807	1273298	-	492	16	22	3	7	2	6
gene-PA1174	NC_002516.2	1273309	1275798	-	2490	170	167	30	58	31	74
gene-PA1175	NC_002516.2	1275795	1276124	-	330	23	14	5	10	4	11
gene-PA1176	NC_002516.2	1276117	1276608	-	492	44	43	6	16	7	13
gene-PA1177	NC_002516.2	1276617	1276784	-	168	34	26	4	21	11	8
gene-PA1178	NC_002516.2	1277006	1277608	+	603	627	950	58	150	64	206
gene-PA1179	NC_002516.2	1277688	1278365	+	678	148	279	13	40	24	58
gene-PA1180	NC_002516.2	1278362	1279708	+	1347	82	155	5	20	8	39
gene-PA1181	NC_002516.2	1279810	1283172	+	3363	182	541	28	73	13	152
gene-PA1182	NC_002516.2	1283176	1284177	-	1002	64	155	10	28	7	69
gene-PA1183	NC_002516.2	1284513	1285823	+	1311	846	117	4	62	33	19
gene-PA1184	NC_002516.2	1285898	1286788	-	891	44	40	1	10	3	13
gene-PA1185	NC_002516.2	1286990	1287619	+	630	10	9	1	5	1	5
gene-PA1186	NC_002516.2	1287616	1288635	+	1020	23	18	2	4	1	7
gene-PA1187	NC_002516.2	1288737	1289876	+	1140	27	34	3	5	2	14
gene-PA1188	NC_002516.2	1289965	1291146	+	1182	29	53	1	8	4	13
gene-PA1189	NC_002516.2	1291148	1291645	-	498	12	15	0	6	2	9
gene-PA1190	NC_002516.2	1291813	1292412	-	600	28	33	4	6	3	7
gene-PA1191	NC_002516.2	1292571	1293164	-	594	13	28	3	3	2	5
gene-PA1192	NC_002516.2	1293267	1294091	+	825	195	252	27	75	23	124
gene-PA1193	NC_002516.2	1294138	1294809	+	672	128	214	17	27	10	91
gene-PA1194	NC_002516.2	1294811	1296229	-	1419	72	107	5	18	3	35
gene-PA1195	NC_002516.2	1296334	1297098	-	765	4	15	3	2	2	10
gene-PA1196	NC_002516.2	1297309	1298709	+	1401	63	155	5	15	7	26
gene-PA1197	NC_002516.2	1298722	1299492	+	771	77	146	11	22	9	39
gene-PA1198	NC_002516.2	1299558	1300175	+	618	2294	2353	84	294	65	705
gene-PA1199	NC_002516.2	1300258	1300791	+	534	472	774	20	64	14	184
gene-PA1200	NC_002516.2	1300811	1301473	+	663	138	259	12	27	6	50
gene-PA1201	NC_002516.2	1301481	1302395	-	915	81	99	5	16	5	29
gene-PA1202	NC_002516.2	1302696	1303313	+	618	61	30	8	19	5	21
gene-PA1203	NC_002516.2	1303457	1303864	+	408	18	28	3	3	0	12
gene-PA1204	NC_002516.2	1303892	1304449	+	558	30	59	5	6	4	24
gene-PA1205	NC_002516.2	1304476	1305423	+	948	41	71	4	14	6	33
gene-PA1206	NC_002516.2	1305583	1306056	+	474	80	194	12	34	7	88
gene-PA1207	NC_002516.2	1306059	1307900	+	1842	191	366	25	112	30	277
gene-PA1208	NC_002516.2	1308067	1309566	+	1500	66	112	9	21	12	35
gene-PA1209	NC_002516.2	1309583	1310518	-	936	25	30	0	3	2	8
gene-PA1210	NC_002516.2	1310688	1311386	-	699	9	18	1	6	1	10
gene-PA1211	NC_002516.2	1311504	1312139	-	636	12	13	1	2	0	2
gene-PA1212	NC_002516.2	1312136	1313365	-	1230	8	8	2	1	0	0
gene-PA1213	NC_002516.2	1313362	1314321	-	960	5	12	0	4	2	5
gene-PA1214	NC_002516.2	1314318	1315916	-	1599	3	7	1	3	3	4
gene-PA1215	NC_002516.2	1315916	1317202	-	1287	9	16	2	3	0	3
gene-PA1216	NC_002516.2	1317404	1318150	-	747	6	8	1	0	0	4
gene-PA1217	NC_002516.2	1318147	1319514	-	1368	35	57	2	7	3	15
gene-PA1218	NC_002516.2	1319511	1320389	-	879	15	16	1	3	3	6
gene-PA1219	NC_002516.2	1320386	1321000	-	615	5	9	2	2	1	2
gene-PA1220	NC_002516.2	1320994	1322256	-	1263	9	10	1	3	4	4
gene-PA1221	NC_002516.2	1322253	1324109	-	1857	5	14	2	7	2	7
gene-PA1222	NC_002516.2	1324793	1325950	-	1158	204	347	14	39	15	97
gene-PA1223	NC_002516.2	1326046	1326939	-	894	24	52	4	8	5	12
gene-PA1224	NC_002516.2	1327024	1327803	+	780	13	29	0	2	8	8
gene-PA1225	NC_002516.2	1327813	1328439	-	627	12	20	3	1	3	5
gene-PA1226	NC_002516.2	1328545	1329153	+	609	30	50	3	11	4	7
gene-PA1227	NC_002516.2	1329192	1330040	+	849	78	118	3	18	4	27
gene-PA1228	NC_002516.2	1330117	1330467	-	351	93	90	5	18	4	41
gene-PA1229	NC_002516.2	1330577	1331383	-	807	29	35	2	5	2	7
gene-PA1230	NC_002516.2	1331517	1331714	+	198	2	2	1	1	0	1
gene-PA1231	NC_002516.2	1331727	1332635	+	909	5	13	1	4	0	0
gene-PA1232	NC_002516.2	1332635	1334674	+	2040	31	48	2	11	1	12
gene-PA1233	NC_002516.2	1334671	1334928	+	258	23	29	1	2	1	6
gene-PA1234	NC_002516.2	1334950	1335453	-	504	58	89	1	5	7	26
gene-PA1235	NC_002516.2	1335645	1336427	+	783	24	46	6	5	2	9
gene-PA1236	NC_002516.2	1336430	1337941	-	1512	20	22	1	2	2	9
gene-PA1237	NC_002516.2	1337931	1339082	-	1152	8	13	0	0	0	1
gene-PA1238	NC_002516.2	1339079	1340527	-	1449	8	10	2	0	1	2
gene-PA1239	NC_002516.2	1340910	1341794	-	885	14	12	1	3	2	2
gene-PA1240	NC_002516.2	1341851	1342648	-	798	21	37	0	4	2	4
gene-PA1241	NC_002516.2	1342813	1343373	+	561	50	84	5	18	0	30
gene-PA1242	NC_002516.2	1343453	1345225	+	1773	62	87	3	17	6	25
gene-PA1243	NC_002516.2	1345248	1347824	-	2577	111	470	10	31	20	55
gene-PA1244	NC_002516.2	1348060	1348401	-	342	333	283	45	65	35	122
gene-PA1245	NC_002516.2	1349416	1350660	+	1245	117	171	12	30	14	58
gene-PA1246	NC_002516.2	1350747	1352528	+	1782	41	64	2	9	2	15
gene-PA1247	NC_002516.2	1352525	1353823	+	1299	37	70	3	9	4	16
gene-PA1248	NC_002516.2	1353827	1355272	+	1446	25	73	0	12	6	16
gene-PA1249	NC_002516.2	1355631	1357070	+	1440	335	315	67	121	72	155
gene-PA1250	NC_002516.2	1357317	1357712	+	396	69	134	6	27	3	50
gene-PA1251	NC_002516.2	1357725	1359350	-	1626	62	96	6	15	9	42
gene-PA1252	NC_002516.2	1359590	1360594	+	1005	28	44	7	7	1	17
gene-PA1253	NC_002516.2	1360698	1362278	-	1581	21	31	4	3	3	6
gene-PA1254	NC_002516.2	1362371	1363288	-	918	6	13	3	4	0	0
gene-PA1255	NC_002516.2	1363439	1364473	-	1035	4	8	0	2	1	2
gene-PA1256	NC_002516.2	1364499	1365221	-	723	6	13	1	0	4	2
gene-PA1257	NC_002516.2	1365218	1365862	-	645	2	10	1	1	1	3
gene-PA1258	NC_002516.2	1365873	1366538	-	666	4	5	0	3	0	1
gene-PA1259	NC_002516.2	1366538	1368280	-	1743	12	32	2	5	1	5
gene-PA1260	NC_002516.2	1368339	1369160	-	822	5	9	1	1	1	4
gene-PA1261	NC_002516.2	1369418	1370092	-	675	12	15	1	4	1	4
gene-PA1262	NC_002516.2	1370257	1371699	-	1443	7	16	4	5	1	9
gene-PA1263	NC_002516.2	1371738	1372682	+	945	72	74	4	19	6	14
gene-PA1264	NC_002516.2	1372979	1373845	-	867	18	43	1	6	1	6
gene-PA1265	NC_002516.2	1373945	1374847	+	903	7	15	1	2	1	4
gene-PA1266	NC_002516.2	1374844	1376097	-	1254	27	27	0	3	1	3
gene-PA1267	NC_002516.2	1376327	1377442	-	1116	10	19	1	1	4	2
gene-PA1268	NC_002516.2	1377439	1378383	-	945	4	20	0	2	1	3
gene-PA1269	NC_002516.2	1378500	1379168	-	669	58	80	1	16	3	28
gene-PA1270	NC_002516.2	1379413	1381452	+	2040	44	42	2	9	1	11
gene-PA1271	NC_002516.2	1381804	1383654	+	1851	396	520	13	73	18	98
gene-PA1272	NC_002516.2	1383718	1384329	+	612	269	321	14	57	17	73
gene-PA1273	NC_002516.2	1384361	1385668	+	1308	289	397	12	41	10	63
gene-PA1274	NC_002516.2	1385670	1386326	+	657	171	238	6	25	6	53
gene-PA1275	NC_002516.2	1386323	1387261	+	939	144	226	2	15	4	45
gene-PA1276	NC_002516.2	1387254	1388249	+	996	176	231	6	28	9	48
gene-PA1277	NC_002516.2	1388242	1389714	+	1473	374	359	10	61	9	100
gene-PA1278	NC_002516.2	1389707	1390228	+	522	155	209	4	27	4	49
gene-PA1279	NC_002516.2	1390225	1391280	+	1056	163	222	7	33	4	68
gene-PA1280	NC_002516.2	1391277	1391861	+	585	67	63	3	13	4	30
gene-PA1281	NC_002516.2	1391864	1392601	+	738	72	85	2	11	2	37
gene-PA1282	NC_002516.2	1392564	1394069	-	1506	112	133	8	33	8	59
gene-PA1283	NC_002516.2	1394188	1394748	+	561	111	107	8	40	14	53
gene-PA1284	NC_002516.2	1394779	1396599	-	1821	51	47	3	18	5	20
gene-PA1285	NC_002516.2	1396731	1397180	+	450	83	87	8	15	6	22
gene-PA1286	NC_002516.2	1397254	1398453	+	1200	56	53	8	10	11	8
gene-PA1287	NC_002516.2	1398618	1399172	+	555	61	136	5	16	9	56
gene-PA1288	NC_002516.2	1399231	1400505	-	1275	796	1361	103	271	61	533
gene-PA1289	NC_002516.2	1400711	1401190	-	480	30	43	1	9	3	12
gene-PA1290	NC_002516.2	1401412	1402005	-	594	22	27	1	5	2	6
gene-PA1291	NC_002516.2	1402117	1402956	+	840	81	84	5	9	4	9
gene-PA1292	NC_002516.2	1402981	1403835	-	855	72	67	9	12	6	28
gene-PA1293	NC_002516.2	1404136	1405197	-	1062	179	272	7	43	17	106
gene-PA1294	NC_002516.2	1405338	1406462	+	1125	157	213	25	54	12	121
gene-PA1295	NC_002516.2	1406459	1406752	+	294	39	55	3	9	3	33
gene-PA1296	NC_002516.2	1407007	1407939	+	933	325	613	34	123	21	217
gene-PA1297	NC_002516.2	1407951	1408931	-	981	129	223	8	35	11	80
gene-PA1298	NC_002516.2	1408999	1409274	+	276	32	56	4	11	4	22
gene-PA1299	NC_002516.2	1409351	1409800	+	450	84	166	6	36	8	57
gene-PA1300	NC_002516.2	1409949	1410476	+	528	33	62	14	10	3	37
gene-PA1301	NC_002516.2	1410473	1411456	+	984	47	68	6	10	3	29
gene-PA1302	NC_002516.2	1411585	1414140	+	2556	75	121	9	22	8	32
gene-PA1303	NC_002516.2	1414147	1414686	-	540	29	71	3	9	5	20
gene-PA1304	NC_002516.2	1414763	1416814	-	2052	107	174	11	36	3	55
gene-PA1305	NC_002516.2	1416963	1417436	+	474	132	316	14	29	4	89
gene-PA1306	NC_002516.2	1417500	1417961	+	462	99	205	10	24	5	56
gene-PA1307	NC_002516.2	1417965	1418738	+	774	163	344	15	43	9	109
gene-PA1308	NC_002516.2	1418765	1419289	+	525	135	284	15	31	9	76
gene-PA1309	NC_002516.2	1419298	1420158	-	861	87	164	8	14	6	46
gene-PA1310	NC_002516.2	1420326	1421441	+	1116	16	15	2	3	0	6
gene-PA1311	NC_002516.2	1421477	1422304	+	828	68	65	5	7	2	21
gene-PA1312	NC_002516.2	1422355	1423266	-	912	24	33	0	9	1	14
gene-PA1313	NC_002516.2	1423374	1424732	+	1359	39	43	6	5	2	12
gene-PA1314	NC_002516.2	1424746	1425132	+	387	19	34	5	4	0	8
gene-PA1315	NC_002516.2	1425140	1425754	-	615	40	63	1	9	1	17
gene-PA1316	NC_002516.2	1425912	1427453	+	1542	32	56	3	13	2	19
gene-PA1317	NC_002516.2	1428080	1429075	+	996	86	25	6	26	18	12
gene-PA1318	NC_002516.2	1429082	1431058	+	1977	349	170	13	76	44	60
gene-PA1319	NC_002516.2	1431062	1431691	+	630	88	31	1	14	7	18
gene-PA1320	NC_002516.2	1431691	1432026	+	336	74	42	3	7	7	17
gene-PA1321	NC_002516.2	1432037	1432927	+	891	179	109	7	22	14	27
gene-PA1322	NC_002516.2	1433166	1435364	+	2199	20	32	2	6	7	11
gene-PA1323	NC_002516.2	1435493	1435825	+	333	54	101	11	31	7	47
gene-PA1324	NC_002516.2	1435885	1436397	+	513	60	107	14	29	17	68
gene-PA1324.1	NC_002516.2	1436491	1436618	+	128	52	112	1	8	6	14
gene-PA1325	NC_002516.2	1436663	1437070	+	408	24	57	5	14	4	11
gene-PA1326	NC_002516.2	1437067	1438614	+	1548	34	44	2	7	9	22
gene-PA1327	NC_002516.2	1438706	1440676	+	1971	100	116	25	20	20	50
gene-PA1328	NC_002516.2	1440639	1441547	-	909	29	24	4	5	2	8
gene-PA1329	NC_002516.2	1441632	1442063	+	432	3	3	0	1	0	0
gene-PA1330	NC_002516.2	1442069	1442848	+	780	23	54	3	12	1	18
gene-PA1331	NC_002516.2	1442904	1444451	-	1548	75	132	3	25	8	33
gene-PA1332	NC_002516.2	1444720	1445271	-	552	45	104	2	10	1	8
gene-PA1333	NC_002516.2	1445405	1445611	-	207	33	83	2	6	3	5
gene-PA1334	NC_002516.2	1445806	1446918	-	1113	20	45	0	7	2	7
gene-PA1335	NC_002516.2	1447226	1448503	-	1278	54	114	6	15	5	42
gene-PA1336	NC_002516.2	1448548	1450449	-	1902	69	163	9	13	8	40
gene-PA1337	NC_002516.2	1450545	1451633	-	1089	169	177	31	47	24	128
gene-PA1338	NC_002516.2	1451719	1453392	-	1674	98	159	8	21	9	55
gene-PA1339	NC_002516.2	1453470	1454204	-	735	68	75	7	21	10	56
gene-PA1340	NC_002516.2	1454201	1454869	-	669	84	70	3	22	12	47
gene-PA1341	NC_002516.2	1454866	1455612	-	747	61	64	3	11	9	29
gene-PA1342	NC_002516.2	1455815	1456723	-	909	184	220	28	58	28	106
gene-PA1343	NC_002516.2	1457175	1457633	+	459	8	19	3	6	2	6
gene-PA1344	NC_002516.2	1457729	1458523	+	795	55	77	9	15	7	35
gene-PA1345	NC_002516.2	1458707	1460296	+	1590	26	41	6	7	2	13
gene-PA1346	NC_002516.2	1460307	1461854	-	1548	16	15	3	2	0	1
gene-PA1347	NC_002516.2	1461938	1462630	-	693	9	14	0	5	1	3
gene-PA1348	NC_002516.2	1462696	1463403	+	708	24	29	0	3	3	13
