Orthogroup	CP000029.1	CP001340.1	CP027476.1	CP045224.1	CP045225.1	NC_002516.2	NC_009641.1	NC_017564.1	NC_017565.1	NC_018289.1	NZ_CP059180.1	U00096.3
OG0006069				gene-FTB24_13260								
OG0006070						gene-PA1052a						
OG0006071										gene-MSMEI_RS21290		
OG0006072										gene-MSMEI_RS14690		
OG0006073										gene-MSMEI_RS08920		
OG0006074										gene-MSMEI_RS25990		
OG0006075			gene-NRS_1233									
OG0006076												gene-b1146
OG0006077		gene-CCNA_01534										
OG0006078										gene-MSMEI_RS06500		
OG0006079										gene-MSMEI_RS22405		
OG0006080										gene-MSMEI_RS20550		
OG0006081										gene-MSMEI_RS31510		
OG0006082				gene-FTB24_16530								
OG0006083				gene-FTB24_15410								
OG0006084						gene-PA4278						
OG0006085						gene-PA1939						
OG0006086						gene-PA2230						
OG0006087										gene-MSMEI_RS35505		
OG0006088		gene-CCNA_02512										
OG0006089										gene-MSMEI_RS17865		
OG0006090								gene-Y11_RS04395				
OG0006091				gene-FTB24_06505								
OG0006092				gene-FTB24_01955								
OG0006093				gene-FTB24_00075								
OG0006094						gene-PA2207						
OG0006095						gene-PA1639						
OG0006096	gene-SERP0913											
OG0006097		gene-CCNA_02787										
OG0006098												gene-b4703
OG0006099						gene-PA1876						
OG0006100		gene-CCNA_02030										
OG0006101										gene-MSMEI_RS06855		
OG0006102				gene-FTB24_13375								
OG0006103						gene-PA5400						
OG0006104				gene-FTB24_06465								
OG0006105												gene-b4740
OG0006106										gene-MSMEI_RS09640		
OG0006107										gene-MSMEI_RS17915		
OG0006108										gene-MSMEI_RS35175		
OG0006109										gene-MSMEI_RS29410		
OG0006110		gene-CCNA_00477										
OG0006111								gene-Y11_RS07915				
OG0006112												gene-b3027
OG0006113										gene-MSMEI_RS17705		
OG0006114						gene-PA1268						
OG0006115						gene-PA1440						
OG0006116										gene-MSMEI_RS16930		
OG0006117										gene-MSMEI_RS05490		
OG0006118	gene-SERP0736											
OG0006119		gene-CCNA_03069										
OG0006120										gene-MSMEI_RS28150		
OG0006121												gene-b1235
OG0006122						gene-PA0850						
OG0006123								gene-Y11_RS23455				
OG0006124								gene-Y11_RS02500				
OG0006125			gene-NRS_832									
OG0006126						gene-PA0172						
OG0006127							gene-NWMN_RS01710					
OG0006128										gene-MSMEI_RS19310		
OG0006129								gene-Y11_RS07045				
OG0006130										gene-MSMEI_RS28980		
OG0006131								gene-Y11_RS20495				
OG0006132										gene-MSMEI_RS00255		
OG0006133						gene-PA4795						
OG0006134										gene-MSMEI_RS35970		
OG0006135		gene-CCNA_02922										
OG0006136										gene-MSMEI_RS18095		
OG0006137												gene-b1228
OG0006138										gene-MSMEI_RS17455		
OG0006139	gene-SERP0822											
OG0006140										gene-MSMEI_RS08805		
OG0006141										gene-MSMEI_RS08135		
OG0006142						gene-PA2568						
OG0006143						gene-PA0252						
OG0006144		gene-CCNA_00920										
OG0006145		gene-CCNA_02298										
OG0006146		gene-CCNA_01265										
OG0006147		gene-CCNA_03914										
OG0006148										gene-MSMEI_RS35315		
OG0006149		gene-CCNA_03937										
OG0006150		gene-CCNA_02682										
OG0006151				gene-FTB24_10105								
OG0006152						gene-PA2955						
OG0006153				gene-FTB24_06090								
OG0006154		gene-CCNA_00038										
OG0006155						gene-PA5042						
OG0006156												gene-b4538
OG0006157			gene-NRS_55									
OG0006158										gene-MSMEI_RS03650		
OG0006159				gene-FTB24_06625								
OG0006160												gene-b3623
OG0006161										gene-MSMEI_RS18810		
OG0006162		gene-CCNA_01029										
OG0006163	gene-SERP0056											
OG0006164		gene-CCNA_02025										
OG0006165						gene-PA5002						
OG0006166				gene-FTB24_13090								
OG0006167		gene-CCNA_02950										
OG0006168		gene-CCNA_02732										
OG0006169												gene-b1793
OG0006170		gene-CCNA_00594										
OG0006171		gene-CCNA_00636										
OG0006172				gene-FTB24_15560								
OG0006173										gene-MSMEI_RS32980		
OG0006174	gene-SERP1590											
OG0006175						gene-PA3278						
OG0006176				gene-FTB24_03155								
OG0006177		gene-CCNA_00605										
OG0006178				gene-FTB24_04795								
OG0006179												gene-b0278
OG0006180				gene-FTB24_04420								
OG0006181						gene-PA4724.1						
OG0006182		gene-CCNA_03814										
OG0006183		gene-CCNA_00135										
OG0006184								gene-Y11_RS08155				
OG0006185				gene-FTB24_03820								
OG0006186				gene-FTB24_08900								
OG0006187												gene-b0991
OG0006188										gene-MSMEI_RS04675		
OG0006189				gene-FTB24_01990								
OG0006190										gene-MSMEI_RS30955		
OG0006191												gene-b4251
OG0006192		gene-CCNA_03799										
OG0006193						gene-PA2143						
OG0006194		gene-CCNA_01963										
OG0006195						gene-PA3886a						
OG0006196				gene-FTB24_06330								
OG0006197								gene-Y11_RS23775				
OG0006198						gene-PA0657						
OG0006199										gene-MSMEI_RS28985		
OG0006200												gene-b4787
OG0006201			gene-NRS_810									
OG0006202												gene-b3818
OG0006203										gene-MSMEI_RS20060		
OG0006204												gene-b4023
OG0006205	gene-SERP1599											
OG0006206										gene-MSMEI_RS22065		
OG0006207						gene-PA0442						
OG0006208								gene-Y11_RS07920				
OG0006209								gene-Y11_RS11400				
OG0006210										gene-MSMEI_RS22960		
OG0006211						gene-PA5402						
OG0006212						gene-PA2805						
OG0006213									gene-Y11_RS20855			
OG0006214		gene-CCNA_03924										
OG0006215										gene-MSMEI_RS09275		
OG0006216						gene-PA2874						
OG0006217		gene-CCNA_01743										
OG0006218				gene-FTB24_17365								
OG0006219												gene-b4812
OG0006220		gene-CCNA_03863										
OG0006221				gene-FTB24_15960								
OG0006222				gene-FTB24_17250								
OG0006223				gene-FTB24_13060								
OG0006224												gene-b4509
OG0006225												gene-b3675
OG0006226		gene-CCNA_03995										
OG0006227				gene-FTB24_03045								
OG0006228										gene-MSMEI_RS35155		
OG0006229						gene-PA4223						
OG0006230										gene-MSMEI_RS31390		
OG0006231		gene-CCNA_03376										
OG0006232										gene-MSMEI_RS22305		
OG0006233		gene-CCNA_02300										
OG0006234										gene-MSMEI_RS26960		
OG0006235										gene-MSMEI_RS02535		
OG0006236	gene-SERP0050											
OG0006237						gene-PA4584						
OG0006238										gene-MSMEI_RS12090		
OG0006239										gene-MSMEI_RS13060		
OG0006240										gene-MSMEI_RS02250		
OG0006241										gene-MSMEI_RS11600		
OG0006242						gene-PA0845						
OG0006243		gene-CCNA_02091										
OG0006244		gene-CCNA_02667										
OG0006245				gene-FTB24_14115								
OG0006246		gene-CCNA_01445										
OG0006247												gene-b4385
OG0006248										gene-MSMEI_RS20575		
OG0006249						gene-PA3106						
OG0006250										gene-MSMEI_RS14935		
OG0006251						gene-PA0860						
OG0006252										gene-MSMEI_RS24125		
OG0006253		gene-CCNA_02711										
OG0006254						gene-PA0716						
OG0006255								gene-Y11_RS08105				
OG0006256				gene-FTB24_13265								
OG0006257						gene-PA5561						
OG0006258										gene-MSMEI_RS07505		
OG0006259								gene-Y11_RS12620				
OG0006260	gene-SERP0091											
OG0006261				gene-FTB24_12170								
OG0006262										gene-MSMEI_RS13210		
OG0006263												gene-b2853
OG0006264		gene-CCNA_00684										
OG0006265			gene-NRS_1515									
OG0006266	gene-SERP1833											
OG0006267						gene-PA3880						
OG0006268						gene-PA0096						
OG0006269						gene-PA5256						
OG0006270		gene-CCNA_02963										
OG0006271												gene-b1121
OG0006272	gene-SERP1553											
OG0006273								gene-Y11_RS06350				
OG0006274		gene-CCNA_03691										
OG0006275		gene-CCNA_03404										
OG0006276												gene-b0702
OG0006277				gene-FTB24_00915								
OG0006278										gene-MSMEI_RS29800		
OG0006279						gene-PA4535						
OG0006280										gene-MSMEI_RS28485		
OG0006281				gene-FTB24_14020								
OG0006282						gene-PA2459						
OG0006283						gene-PA0545						
OG0006284										gene-MSMEI_RS33055		
OG0006285												gene-b4669
OG0006286										gene-MSMEI_RS15920		
OG0006287						gene-PA3010						
OG0006288										gene-MSMEI_RS26135		
OG0006289		gene-CCNA_01519										
OG0006290		gene-CCNA_01709										
OG0006291				gene-FTB24_15675								
OG0006292						gene-PA1892						
OG0006293												gene-b0329
OG0006294						gene-PA2470						
OG0006295										gene-MSMEI_RS31705		
OG0006296		gene-CCNA_00040										
OG0006297		gene-CCNA_00945										
OG0006298										gene-MSMEI_RS36230		
OG0006299		gene-CCNA_03985										
OG0006300						gene-PA3259						
OG0006301						gene-PA1545						
OG0006302										gene-MSMEI_RS16285		
OG0006303										gene-MSMEI_RS35695		
OG0006304								gene-Y11_RS09245				
OG0006305				gene-FTB24_08190								
OG0006306										gene-MSMEI_RS18225		
OG0006307		gene-CCNA_02345										
OG0006308		gene-CCNA_03590										
OG0006309						gene-PA4871						
OG0006310								gene-Y11_RS21405				
OG0006311						gene-PA0737						
OG0006312										gene-MSMEI_RS20865		
OG0006313							gene-NWMN_RS11070					
OG0006314												gene-b4487
OG0006315				gene-FTB24_02855								
OG0006316				gene-FTB24_10550								
OG0006317										gene-MSMEI_RS03480		
OG0006318												gene-b1138
OG0006319						gene-PA0971						
OG0006320												gene-b3446
OG0006321										gene-MSMEI_RS27865		
OG0006322						gene-PA4642						
OG0006323										gene-MSMEI_RS13700		
OG0006324		gene-CCNA_01117										
OG0006325		gene-CCNA_00099										
OG0006326										gene-MSMEI_RS04135		
OG0006327	gene-SERP2291											
OG0006328						gene-PA0027						
OG0006329						gene-PA5418						
OG0006330						gene-PA4297						
OG0006331										gene-MSMEI_RS31105		
OG0006332												gene-b4746
OG0006333				gene-FTB24_01075								
OG0006334		gene-CCNA_00949										
OG0006335				gene-FTB24_04005								
OG0006336	gene-SERP2477											
OG0006337												gene-b4048
OG0006338												gene-b4246
OG0006339						gene-PA0921						
OG0006340				gene-FTB24_12225								
OG0006341				gene-FTB24_02425								
OG0006342						gene-PA4531						
OG0006343											gene-SAURSH1000_RS13265	
OG0006344								gene-Y11_RS14500				
OG0006345		gene-CCNA_02234										
OG0006346						gene-PA1112b						
OG0006347								gene-Y11_RS23405				
OG0006348						gene-PA1547						
OG0006349										gene-MSMEI_RS25495		
OG0006350				gene-FTB24_01520								
OG0006351										gene-MSMEI_RS09575		
OG0006352							gene-NWMN_RS01645					
OG0006353						gene-PA2095						
OG0006354										gene-MSMEI_RS00040		
OG0006355												gene-b4357
OG0006356								gene-Y11_RS12610				
OG0006357										gene-MSMEI_RS08020		
OG0006358						gene-PA2895						
OG0006359				gene-FTB24_04820								
OG0006360				gene-FTB24_15350								
OG0006361				gene-FTB24_03635								
OG0006362		gene-CCNA_00845										
OG0006363										gene-MSMEI_RS15870		
OG0006364		gene-CCNA_02742										
OG0006365										gene-MSMEI_RS24760		
OG0006366				gene-FTB24_07835								
OG0006367		gene-CCNA_00126										
OG0006368										gene-MSMEI_RS22330		
OG0006369		gene-CCNA_00622										
OG0006370										gene-MSMEI_RS31560		
OG0006371								gene-Y11_RS01565				
OG0006372										gene-MSMEI_RS01140		
OG0006373										gene-MSMEI_RS17610		
OG0006374				gene-FTB24_00565								
OG0006375				gene-FTB24_17030								
OG0006376										gene-MSMEI_RS12700		
OG0006377						gene-PA4471						
OG0006378				gene-FTB24_15210								
OG0006379				gene-FTB24_10515								
OG0006380												gene-b4731
OG0006381										gene-MSMEI_RS33425		
OG0006382										gene-MSMEI_RS14915		
OG0006383						gene-PA3293						
OG0006384						gene-PA1572						
OG0006385						gene-PA0941						
OG0006386				gene-FTB24_17955								
OG0006387						gene-PA1035						
OG0006388				gene-FTB24_08650								
OG0006389				gene-FTB24_12005								
OG0006390										gene-MSMEI_RS15535		
OG0006391										gene-MSMEI_RS16290		
OG0006392								gene-Y11_RS03545				
OG0006393										gene-MSMEI_RS33695		
OG0006394										gene-MSMEI_RS35750		
OG0006395		gene-CCNA_02800										
OG0006396		gene-CCNA_03913										
OG0006397		gene-CCNA_02619										
OG0006398										gene-MSMEI_RS23720		
OG0006399										gene-MSMEI_RS08855		
OG0006400		gene-CCNA_01211										
OG0006401		gene-CCNA_01892										
OG0006402												gene-b2669
OG0006403		gene-CCNA_02893										
OG0006404										gene-MSMEI_RS16730		
OG0006405	gene-SERP1507											
OG0006406								gene-Y11_RS11390				
OG0006407						gene-PA0505						
OG0006408						gene-PA1383						
OG0006409				gene-FTB24_03815								
OG0006410												gene-b1955
OG0006411		gene-CCNA_00364										
OG0006412		gene-CCNA_02309										
OG0006413				gene-FTB24_05010								
OG0006414						gene-PA0460						
OG0006415										gene-MSMEI_RS28995		
OG0006416										gene-MSMEI_RS05585		
OG0006417											gene-SAURSH1000_RS03800	
OG0006418		gene-CCNA_03147										
OG0006419		gene-CCNA_03890										
OG0006420				gene-FTB24_01750								
OG0006421										gene-MSMEI_RS30905		
OG0006422										gene-MSMEI_RS12910		
OG0006423										gene-MSMEI_RS07865		
OG0006424	gene-SERP1922											
OG0006425												gene-b2848
OG0006426	gene-SERP1975											
OG0006427					gene-FTB24_19330							
OG0006428		gene-CCNA_03977										
OG0006429						gene-PA1254						
OG0006430										gene-MSMEI_RS06375		
OG0006431										gene-MSMEI_RS31155		
OG0006432		gene-CCNA_01784										
OG0006433						gene-PA0339						
OG0006434										gene-MSMEI_RS04830		
OG0006435		gene-CCNA_02794										
OG0006436				gene-FTB24_10215								
OG0006437	gene-SERP1458											
OG0006438		gene-CCNA_02604										
OG0006439		gene-CCNA_01682										
OG0006440				gene-FTB24_13505								
OG0006441										gene-MSMEI_RS10635		
OG0006442				gene-FTB24_00255								
OG0006443												gene-b4751
OG0006444							gene-NWMN_RS01665					
OG0006445		gene-CCNA_03987										
OG0006446										gene-MSMEI_RS26110		
OG0006447		gene-CCNA_03472										
OG0006448			gene-NRS_829									
OG0006449										gene-MSMEI_RS30585		
OG0006450		gene-CCNA_01120										
OG0006451				gene-FTB24_07215								
OG0006452						gene-PA0946						
OG0006453		gene-CCNA_03299										
OG0006454												gene-b4667
OG0006455						gene-PA3577						
OG0006456						gene-PA0671						
OG0006457		gene-CCNA_00814										
OG0006458						gene-PA0042						
OG0006459										gene-MSMEI_RS22080		
OG0006460				gene-FTB24_05995								
OG0006461								gene-Y11_RS16830				
OG0006462								gene-Y11_RS02205				
OG0006463								gene-Y11_RS09545				
OG0006464				gene-FTB24_04245								
OG0006465		gene-CCNA_02436										
OG0006466						gene-PA2309						
OG0006467		gene-CCNA_03673										
OG0006468										gene-MSMEI_RS26195		
OG0006469				gene-FTB24_12805								
OG0006470										gene-MSMEI_RS33115		
OG0006471			gene-NRS_98									
OG0006472				gene-FTB24_13660								
OG0006473												gene-b2055
OG0006474												gene-b3220
OG0006475	gene-SERP0622											
OG0006476						gene-PA0533						
OG0006477		gene-CCNA_01036										
OG0006478				gene-FTB24_16585								
OG0006479										gene-MSMEI_RS31490		
OG0006480												gene-b0513
OG0006481										gene-MSMEI_RS11105		
OG0006482												gene-b2446
OG0006483										gene-MSMEI_RS36130		
OG0006484										gene-MSMEI_RS34795		
OG0006485										gene-MSMEI_RS20990		
OG0006486						gene-PA4373						
OG0006487										gene-MSMEI_RS35550		
OG0006488										gene-MSMEI_RS36205		
OG0006489				gene-FTB24_15580								
OG0006490								gene-Y11_RS03040				
OG0006491						gene-PA1044						
OG0006492						gene-PA4014						
OG0006493						gene-PA2662						
OG0006494						gene-PA2173						
OG0006495		gene-CCNA_02804										
OG0006496						gene-PA5271						
OG0006497	gene-SERP1502											
OG0006498	gene-SERP1496											
OG0006499								gene-Y11_RS17850				
OG0006500		gene-CCNA_02295										
OG0006501												gene-b2627
OG0006502					gene-FTB24_19415							
OG0006503										gene-MSMEI_RS28955		
OG0006504												gene-b0279
OG0006505		gene-CCNA_03773										
OG0006506										gene-MSMEI_RS28755		
OG0006507				gene-FTB24_09300								
OG0006508	gene-SERP2458											
OG0006509										gene-MSMEI_RS06125		
OG0006510												gene-b1164
OG0006511										gene-MSMEI_RS28005		
OG0006512						gene-PA5269						
OG0006513								gene-Y11_RS12665				
OG0006514										gene-MSMEI_RS03405		
OG0006515	gene-SERP1589											
OG0006516										gene-MSMEI_RS04255		
OG0006517	gene-SERP2546											
OG0006518				gene-FTB24_02350								
OG0006519						gene-PA4884						
OG0006520	gene-SERP0461											
OG0006521		gene-CCNA_03309										
OG0006522						gene-PA2036						
OG0006523		gene-CCNA_01156										
OG0006524						gene-PA5113						
OG0006525												gene-b2045
OG0006526								gene-Y11_RS02720				
OG0006527										gene-MSMEI_RS13575		
OG0006528						gene-PA5330						
OG0006529								gene-Y11_RS07595				
OG0006530				gene-FTB24_16275								
OG0006531				gene-FTB24_17370								
OG0006532				gene-FTB24_02110								
OG0006533						gene-PA5001						
OG0006534				gene-FTB24_12525								
OG0006535				gene-FTB24_09410								
OG0006536				gene-FTB24_13705								
OG0006537										gene-MSMEI_RS33675		
OG0006538						gene-PA1578						
OG0006539						gene-PA2724						
OG0006540				gene-FTB24_15170								
OG0006541		gene-CCNA_03894										
OG0006542		gene-CCNA_03886										
OG0006543		gene-CCNA_03959										
OG0006544				gene-FTB24_09125								
OG0006545										gene-MSMEI_RS03900		
OG0006546	gene-SERP1608											
OG0006547				gene-FTB24_14780								
OG0006548		gene-CCNA_02523										
OG0006549										gene-MSMEI_RS13535		
OG0006550		gene-CCNA_02644										
OG0006551												gene-b2111
OG0006552										gene-MSMEI_RS13780		
OG0006553										gene-MSMEI_RS20820		
OG0006554		gene-CCNA_02864										
OG0006555						gene-PA2919						
OG0006556				gene-FTB24_09065								
OG0006557			gene-NRS_826									
OG0006558						gene-PA0052						
OG0006559									gene-Y11_RS20975			
OG0006560	gene-SERP2478											
OG0006561										gene-MSMEI_RS33805		
OG0006562								gene-Y11_RS00070				
OG0006563		gene-CCNA_03420										
OG0006564												gene-b4732
OG0006565												gene-b4455
OG0006566	gene-SERP2403											
OG0006567				gene-FTB24_17555								
OG0006568												gene-b3427
OG0006569						gene-PA3335						
OG0006570			gene-NRS_823									
OG0006571	gene-SERP0023											
OG0006572	gene-SERP2444											
OG0006573												gene-b2376
OG0006574							gene-NWMN_RS05875					
OG0006575						gene-PA0093						
OG0006576										gene-MSMEI_RS18130		
OG0006577				gene-FTB24_09105								
OG0006578								gene-Y11_RS16825				
OG0006579						gene-PA2358						
OG0006580						gene-PA1889						
OG0006581									gene-Y11_RS20905			
OG0006582						gene-PA3716						
OG0006583		gene-CCNA_02285										
OG0006584						gene-PA4621						
OG0006585												gene-b0276
OG0006586	gene-SERP2460											
OG0006587		gene-CCNA_03290										
OG0006588				gene-FTB24_00510								
OG0006589												gene-b1196
OG0006590												gene-b0650
OG0006591		gene-CCNA_02310										
OG0006592										gene-MSMEI_RS12465		
OG0006593								gene-Y11_RS20155				
OG0006594										gene-MSMEI_RS31120		
OG0006595												gene-b4593
OG0006596		gene-CCNA_01991										
OG0006597										gene-MSMEI_RS08865		
OG0006598												gene-b0791
OG0006599				gene-FTB24_03035								
OG0006600										gene-MSMEI_RS01370		
OG0006601												gene-b4157
OG0006602												gene-b2940
OG0006603		gene-CCNA_01024										
OG0006604										gene-MSMEI_RS30365		
OG0006605										gene-MSMEI_RS08525		
OG0006606						gene-PA3484						
OG0006607						gene-PA2441						
OG0006608						gene-PA2075						
OG0006609										gene-MSMEI_RS06045		
OG0006610						gene-PA4857						
OG0006611						gene-PA1066						
OG0006612						gene-PA4108a						
OG0006613				gene-FTB24_05005								
OG0006614										gene-MSMEI_RS30405		
OG0006615												gene-b1115
OG0006616			gene-NRS_84									
OG0006617		gene-CCNA_01526										
OG0006618										gene-MSMEI_RS35405		
OG0006619						gene-PA2287						
OG0006620								gene-Y11_RS02800				
OG0006621		gene-CCNA_02515										
OG0006622				gene-FTB24_12125								
OG0006623	gene-SERP2318											
OG0006624				gene-FTB24_03235								
OG0006625										gene-MSMEI_RS06870		
OG0006626								gene-Y11_RS10110				
OG0006627		gene-CCNA_01842										
OG0006628						gene-PA0286						
OG0006629						gene-PA1577						
OG0006630												gene-b4729
OG0006631		gene-CCNA_02766										
OG0006632										gene-MSMEI_RS35530		
OG0006633												gene-b4777
OG0006634								gene-Y11_RS14600				
OG0006635												gene-b1388
OG0006636				gene-FTB24_10775								
OG0006637				gene-FTB24_10585								
OG0006638						gene-PA3001						
OG0006639										gene-MSMEI_RS16025		
OG0006640			gene-NRS_1453									
OG0006641				gene-FTB24_18600								
OG0006642				gene-FTB24_01995								
OG0006643		gene-CCNA_03939										
OG0006644				gene-FTB24_02565								
OG0006645						gene-PA4683						
OG0006646										gene-MSMEI_RS16390		
OG0006647								gene-Y11_RS03110				
OG0006648										gene-MSMEI_RS31500		
OG0006649		gene-CCNA_03991										
OG0006650						gene-PA1193						
OG0006651												gene-b1319
OG0006652						gene-PA0012						
OG0006653										gene-MSMEI_RS00230		
OG0006654												gene-b2870
OG0006655				gene-FTB24_07405								
OG0006656				gene-FTB24_07320								
OG0006657		gene-CCNA_00065										
OG0006658		gene-CCNA_03216										
OG0006659	gene-SERP1547											
OG0006660	gene-SERP2527											
OG0006661						gene-PA0794						
OG0006662								gene-Y11_RS21300				
OG0006663				gene-FTB24_16545								
OG0006664						gene-PA0100						
OG0006665				gene-FTB24_12870								
OG0006666												gene-b3049
OG0006667										gene-MSMEI_RS25450		
OG0006668		gene-CCNA_01125										
OG0006669												gene-b4133
OG0006670							gene-NWMN_RS10970					
OG0006671				gene-FTB24_08400								
OG0006672										gene-MSMEI_RS14855		
OG0006673						gene-PA3926						
OG0006674						gene-PA2404						
OG0006675										gene-MSMEI_RS23260		
OG0006676										gene-MSMEI_RS31735		
OG0006677										gene-MSMEI_RS36115		
OG0006678				gene-FTB24_10880								
OG0006679				gene-FTB24_14715								
OG0006680	gene-SERP2298											
OG0006681										gene-MSMEI_RS04700		
OG0006682				gene-FTB24_03645								
OG0006683												gene-b1229
OG0006684						gene-PA3041						
OG0006685										gene-MSMEI_RS26990		
OG0006686												gene-b2097
OG0006687				gene-FTB24_12010								
OG0006688										gene-MSMEI_RS18050		
OG0006689				gene-FTB24_17835								
OG0006690												gene-b2631
OG0006691										gene-MSMEI_RS26345		
OG0006692						gene-PA2440						
OG0006693		gene-CCNA_02279										
OG0006694						gene-PA3511						
OG0006695												gene-b2447
OG0006696								gene-Y11_RS10175				
OG0006697												gene-b1141
OG0006698						gene-PA3039						
OG0006699										gene-MSMEI_RS14185		
OG0006700												gene-b4801
OG0006701		gene-CCNA_03900										
OG0006702								gene-Y11_RS11605				
OG0006703										gene-MSMEI_RS04080		
OG0006704												gene-b1144
OG0006705										gene-MSMEI_RS04885		
OG0006706	gene-SERP0759											
OG0006707									gene-Y11_RS20740			
OG0006708										gene-MSMEI_RS26860		
OG0006709	gene-SERP0058											
OG0006710				gene-FTB24_10200								
OG0006711							gene-NWMN_RS16070					
OG0006712	gene-SERP1929											
OG0006713										gene-MSMEI_RS12835		
OG0006714										gene-MSMEI_RS26865		
OG0006715						gene-PA5120						
OG0006716						gene-PA0171						
OG0006717										gene-MSMEI_RS01050		
OG0006718						gene-PA2115						
OG0006719				gene-FTB24_07795								
OG0006720		gene-CCNA_02500										
OG0006721										gene-MSMEI_RS09065		
OG0006722		gene-CCNA_02796										
OG0006723		gene-CCNA_00448										
OG0006724										gene-MSMEI_RS25775		
OG0006725		gene-CCNA_01479										
OG0006726										gene-MSMEI_RS00325		
OG0006727								gene-Y11_RS09135				
OG0006728	gene-SERP1651											
OG0006729				gene-FTB24_02520								
OG0006730										gene-MSMEI_RS25340		
OG0006731				gene-FTB24_17990								
OG0006732										gene-MSMEI_RS15560		
OG0006733												gene-b2358
OG0006734						gene-PA2435						
OG0006735		gene-CCNA_02770										
OG0006736										gene-MSMEI_RS10680		
OG0006737												gene-b2649
OG0006738										gene-MSMEI_RS04730		
OG0006739								gene-Y11_RS09960				
OG0006740		gene-CCNA_00743										
OG0006741							gene-NWMN_RS10825					
OG0006742						gene-PA4590						
OG0006743										gene-MSMEI_RS14885		
OG0006744	gene-SERP1142											
OG0006745										gene-MSMEI_RS07915		
OG0006746										gene-MSMEI_RS30645		
OG0006747												gene-b2360
OG0006748								gene-Y11_RS08830				
OG0006749										gene-MSMEI_RS32435		
OG0006750								gene-Y11_RS12265				
OG0006751		gene-CCNA_03978										
OG0006752				gene-FTB24_16970								
OG0006753												gene-b0390
OG0006754		gene-CCNA_00440										
OG0006755										gene-MSMEI_RS25215		
OG0006756										gene-MSMEI_RS14705		
OG0006757				gene-FTB24_07270								
OG0006758				gene-FTB24_09270								
OG0006759								gene-Y11_RS04520				
OG0006760				gene-FTB24_16590								
OG0006761				gene-FTB24_13065								
OG0006762										gene-MSMEI_RS16490		
OG0006763		gene-CCNA_01072										
OG0006764										gene-MSMEI_RS25750		
OG0006765				gene-FTB24_07395								
OG0006766										gene-MSMEI_RS06250		
OG0006767		gene-CCNA_03947										
OG0006768										gene-MSMEI_RS18740		
OG0006769										gene-MSMEI_RS22055		
OG0006770										gene-MSMEI_RS30190		
OG0006771										gene-MSMEI_RS09410		
OG0006772	gene-SERP1525											
OG0006773						gene-PA0015						
OG0006774						gene-PA0384						
OG0006775						gene-PA1743						
OG0006776										gene-MSMEI_RS03440		
OG0006777										gene-MSMEI_RS29555		
OG0006778												gene-b2275
OG0006779				gene-FTB24_15695								
OG0006780		gene-CCNA_01480										
OG0006781				gene-FTB24_17130								
OG0006782		gene-CCNA_00768										
OG0006783										gene-MSMEI_RS32590		
OG0006784								gene-Y11_RS23200				
OG0006785						gene-PA3352						
OG0006786						gene-PA4298						
OG0006787								gene-Y11_RS10105				
OG0006788	gene-SERP1641											
OG0006789				gene-FTB24_05535								
OG0006790						gene-PA0522						
OG0006791												gene-b1567
OG0006792								gene-Y11_RS12745				
OG0006793						gene-PA4754						
OG0006794												gene-b4766
OG0006795										gene-MSMEI_RS15105		
OG0006796										gene-MSMEI_RS27860		
OG0006797										gene-MSMEI_RS31710		
OG0006798										gene-MSMEI_RS25080		
OG0006799												gene-b4741
OG0006800				gene-FTB24_03585								
OG0006801						gene-PA3231						
OG0006802				gene-FTB24_00480								
OG0006803				gene-FTB24_08375								
OG0006804				gene-FTB24_15485								
OG0006805		gene-CCNA_00613										
OG0006806								gene-Y11_RS06500				
OG0006807										gene-MSMEI_RS00385		
OG0006808						gene-PA2170						
OG0006809										gene-MSMEI_RS17800		
OG0006810						gene-PA1114						
OG0006811		gene-CCNA_00944										
OG0006812		gene-CCNA_03919										
OG0006813		gene-CCNA_03395										
OG0006814												gene-b1810
OG0006815						gene-PA0823						
OG0006816		gene-CCNA_03982										
OG0006817			gene-NRS_825									
OG0006818						gene-PA2486						
OG0006819				gene-FTB24_17970								
OG0006820							gene-NWMN_RS10900					
OG0006821				gene-FTB24_01680								
OG0006822		gene-CCNA_00247										
OG0006823								gene-Y11_RS15230				
OG0006824				gene-FTB24_17005								
OG0006825	gene-SERP0492											
OG0006826		gene-CCNA_02565										
OG0006827										gene-MSMEI_RS09680		
OG0006828												gene-b1797
OG0006829	gene-SERP1563											
OG0006830										gene-MSMEI_RS35495		
OG0006831						gene-PA5093						
OG0006832										gene-MSMEI_RS35250		
OG0006833						gene-PA2660						
OG0006834												gene-b4743
OG0006835												gene-b1575
OG0006836		gene-CCNA_02672										
OG0006837		gene-CCNA_00314										
OG0006838												gene-b4663
OG0006839										gene-MSMEI_RS30205		
OG0006840		gene-CCNA_00228										
OG0006841	gene-SERP1597											
OG0006842												gene-b4684
OG0006843										gene-MSMEI_RS05425		
OG0006844										gene-MSMEI_RS35420		
OG0006845										gene-MSMEI_RS34180		
OG0006846		gene-CCNA_00546										
OG0006847				gene-FTB24_00630								
OG0006848										gene-MSMEI_RS03215		
OG0006849		gene-CCNA_00708										
OG0006850										gene-MSMEI_RS12855		
OG0006851	gene-SERP2093											
OG0006852											gene-SAURSH1000_RS09250	
OG0006853										gene-MSMEI_RS36140		
OG0006854										gene-MSMEI_RS16600		
OG0006855								gene-Y11_RS23500				
