Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA0834	46	87	71	64	host	gene-PA0834
gene-PA3581	97	251	55	66	host	glpF
gene-PA4545	383	907	763	505	host	comL
gene-PA1807	54	132	112	105	host	gene-PA1807
gene-PA0641	38	91	73	68	host	gene-PA0641
gene-PA0262	96	226	234	182	host	gene-PA0262
gene-PA0091	171	314	546	445	host	vgrG1
gene-PA1564	28	49	31	28	host	gene-PA1564
gene-PA3503	2	8	3	3	host	gene-PA3503
gene-PA1040	36	105	98	79	host	gene-PA1040
gene-PA4927	21	39	37	49	host	gene-PA4927
gene-PA1563	28	110	93	72	host	gene-PA1563
gene-PA1294	87	167	177	114	host	rnd
gene-PA5193	83	202	191	192	host	yrfI
gene-PA3081	39	73	61	35	host	gene-PA3081
gene-PA4838	15	35	32	14	host	gene-PA4838
gene-PA4713	9	26	26	20	host	gene-PA4713
gene-PA1924	3	6	3	6	host	gene-PA1924
gene-PA1124	46	90	76	54	host	dgt
gene-PA1712	51	93	103	98	host	exsB
gene-PA4207	26	60	93	75	host	mexI
gene-PA2826	38	54	36	38	host	gene-PA2826
gene-PA3540	8	18	22	19	host	algD
gene-PA5205	10	31	36	16	host	gene-PA5205
gene-PA3108	254	576	535	376	host	purF
gene-PA5322	368	851	690	550	host	algC
gene-PA0687	3	3	5	13	host	gene-PA0687
gene-PA4621	78	149	175	106	host	gene-PA4621
gene-PA3891	10	30	30	16	host	gene-PA3891
gene-PA3162	3034	4642	3945	3467	host	rpsA
gene-PA3841	23	56	93	55	host	exoS
gene-PA2974	132	264	158	162	host	gene-PA2974
gene-PA2024	10	30	26	18	host	gene-PA2024
gene-PA0959	64	117	146	121	host	gene-PA0959
gene-PA5121	102	186	216	224	host	gene-PA5121
gene-PA4238	2674	16474	3113	2530	host	rpoA
gene-PA0663	84	269	230	257	host	gene-PA0663
gene-PA1613	128	355	319	255	host	gene-PA1613
gene-PA4749	601	1176	920	777	host	glmM
gene-PA0454	92	155	144	144	host	gene-PA0454
gene-PA2725	80	212	207	171	host	gene-PA2725
gene-PA1022	10	27	42	28	host	gene-PA1022
gene-PA1918	4	6	7	5	host	gene-PA1918
gene-PA2143	3	2	2	0	host	gene-PA2143
gene-PA2753	10	45	95	68	host	gene-PA2753
gene-PA4098	1	19	12	15	host	gene-PA4098
gene-PA0492	100	232	125	87	host	gene-PA0492
gene-PA2852.1	317	453	754	518	host	gene-PA2852.1
gene-PA3273	5	8	10	8	host	gene-PA3273
gene-PA0234	15	20	32	27	host	gene-PA0234
gene-PA2132	1	0	4	2	host	cupA5
gene-PA0433	9	25	22	22	host	gene-PA0433
gene-F358_gp63	1053	1350	1635	1774	phage	gene-F358_gp63
gene-PA3184	77	155	126	105	host	gene-PA3184
gene-PA0766	412	961	958	778	host	mucD
gene-PA0319	68	204	136	117	host	gene-PA0319
gene-PA3865	24	55	42	38	host	gene-PA3865
gene-PA3941	23	57	70	48	host	gene-PA3941
gene-PA1352	4	7	9	6	host	gene-PA1352
gene-PA1870	8	17	6	5	host	gene-PA1870
gene-PA4801	22	46	26	37	host	gene-PA4801
gene-PA4594	25	59	47	45	host	gene-PA4594
gene-PA3127	6	25	29	13	host	gene-PA3127
gene-PA3800	400	782	647	535	host	gene-PA3800
gene-PA0272	11	60	39	46	host	gene-PA0272
gene-PA0326	10	30	26	22	host	gene-PA0326
gene-PA5508	150	297	213	181	host	gene-PA5508
gene-PA5014	729	1706	1432	1048	host	glnE
gene-PA0465	22	42	35	22	host	creD
gene-PA2461	77	160	176	173	host	gene-PA2461
gene-PA0479	9	36	52	20	host	gene-PA0479
gene-PA0315	29	72	48	45	host	gene-PA0315
gene-PA0252	12	9	6	8	host	gene-PA0252
gene-PA2074	3	8	2	10	host	gene-PA2074
gene-PA3733	47	95	86	62	host	gene-PA3733
gene-PA2265	67	128	128	110	host	gene-PA2265
gene-PA2904	39	88	71	62	host	cobI
gene-PA0107	2	13	8	7	host	gene-PA0107
gene-PA4707	16	36	31	38	host	gene-PA4707
gene-PA3004	40	105	95	71	host	gene-PA3004
gene-PA4981	13	23	32	24	host	gene-PA4981
gene-PA4605	12	17	5	11	host	gene-PA4605
gene-PA3322	24	111	106	57	host	gene-PA3322
gene-PA2286	11	25	25	25	host	gene-PA2286
gene-PA2636	9	6	15	6	host	gene-PA2636
gene-PA1491	23	60	47	31	host	gene-PA1491
gene-PA2334	2	4	17	6	host	gene-PA2334
gene-PA2153	5	9	10	11	host	glgB
gene-PA0596	78	170	204	157	host	gene-PA0596
gene-PA0909	3	2	6	6	host	gene-PA0909
gene-PA2062	12	12	23	21	host	gene-PA2062
gene-PA3347	15	44	47	32	host	gene-PA3347
gene-PA1805	360	838	675	544	host	ppiD
gene-PA4277.3	4537	5422	4415	3664	host	gene-PA4277.3
gene-PA0568	34	70	72	47	host	gene-PA0568
gene-PA5155	27	87	45	25	host	gene-PA5155
gene-PA1864	5	20	20	14	host	gene-PA1864
gene-PA2051	1	3	0	6	host	gene-PA2051
gene-PA0394	61	139	150	109	host	gene-PA0394
gene-PA3665	40	95	102	95	host	gene-PA3665
gene-PA2509	3	5	1	3	host	catB
gene-PA1013	138	233	218	190	host	purC
gene-PA4569	206	600	506	525	host	ispB
gene-PA0288	4	6	4	5	host	gpuA
gene-PA1457	187	374	365	302	host	cheZ
gene-PA3518	4	12	5	8	host	gene-PA3518
gene-PA0513	13	14	12	13	host	gene-PA0513
gene-PA2760	280	449	311	285	host	gene-PA2760
gene-PA1374	6	14	16	12	host	gene-PA1374
gene-PA3748	56	150	163	124	host	gene-PA3748
gene-PA4909	5	11	11	9	host	gene-PA4909
gene-PA4682	4	10	12	7	host	gene-PA4682
gene-PA1118	37	102	77	64	host	gene-PA1118
gene-PA3147	324	724	823	596	host	wbpJ
gene-PA1769	310	885	706	669	host	gene-PA1769
gene-PA5570	531	892	572	629	host	rpmH
gene-PA2077	11	12	27	9	host	gene-PA2077
gene-PA0628	19	25	34	32	host	gene-PA0628
gene-PA2158	3	5	11	13	host	gene-PA2158
gene-PA5500	58	148	199	140	host	znuC
gene-PA4294	2	22	6	16	host	gene-PA4294
gene-PA4175	33	89	67	55	host	piv
gene-PA0012	17	36	32	12	host	gene-PA0012
gene-PA1818	150	327	262	198	host	ldcA
gene-PA3197	55	131	106	71	host	gene-PA3197
gene-PA0074	260	528	763	620	host	ppkA
gene-PA2736	93	233	199	191	host	gene-PA2736
gene-PA3754	81	225	230	151	host	gene-PA3754
gene-PA0025	32	79	80	86	host	aroE
gene-PA2122	8	22	11	14	host	gene-PA2122
gene-PA0243	26	64	46	41	host	gene-PA0243
gene-PA1398	13	35	29	18	host	gene-PA1398
gene-PA1065	8	22	30	18	host	gene-PA1065
gene-PA1014	114	287	205	175	host	gene-PA1014
gene-PA5256	89	209	193	159	host	dsbH
gene-PA1071	98	280	71	72	host	braF
gene-PA0651	185	392	292	219	host	trpC
gene-PA2002	9	25	30	8	host	gene-PA2002
gene-PA3025	6	32	27	18	host	gene-PA3025
gene-PA1108	1	8	7	13	host	gene-PA1108
gene-PA0984	34	67	79	67	host	gene-PA0984
gene-PA5309	93	169	149	99	host	gene-PA5309
gene-PA1497	5	12	10	12	host	gene-PA1497
gene-PA2109	2	4	6	5	host	gene-PA2109
gene-PA0033	4	19	16	10	host	gene-PA0033
gene-PA2299	4	16	25	12	host	gene-PA2299
gene-PA3831	150	312	259	223	host	pepA
gene-PA5526	109	231	299	225	host	gene-PA5526
gene-PA4914	4	24	21	11	host	gene-PA4914
gene-PA3979	61	141	91	74	host	gene-PA3979
gene-PA0224	31	93	47	43	host	gene-PA0224
gene-PA3289	3	8	9	4	host	gene-PA3289
gene-PA2819	657	1016	758	530	host	gene-PA2819
gene-PA3997	305	670	510	450	host	lipB
gene-PA5331	219	510	427	312	host	pyrE
gene-PA4303	3	10	9	16	host	tadZ
gene-PA2888	9	12	9	14	host	atuC
gene-PA2382	19	46	60	72	host	lldA
gene-PA2885	31	68	100	73	host	atuR
gene-PA5180	31	83	52	36	host	gene-PA5180
gene-PA0422	46	98	78	68	host	gene-PA0422
gene-PA0724	7	18	26	10	host	gene-PA0724
gene-PA1472	17	26	19	15	host	gene-PA1472
gene-PA5037	161	369	347	398	host	gene-PA5037
gene-PA4382	7	22	20	22	host	gene-PA4382
gene-PA1765	12	24	16	18	host	gene-PA1765
gene-PA5098	6	17	11	12	host	hutH
gene-PA3908	81	188	266	201	host	gene-PA3908
gene-PA2001	14	27	37	31	host	atoB
gene-PA0103	9	24	34	25	host	gene-PA0103
gene-PA0061	15	43	37	26	host	gene-PA0061
gene-PA3456	38	74	74	86	host	gene-PA3456
gene-PA2736.1	562	467	396	407	host	gene-PA2736.1
gene-PA1251	5	25	63	41	host	gene-PA1251
gene-PA2612	165	279	229	196	host	serS
gene-PA5491	317	722	623	372	host	gene-PA5491
gene-PA2752	1	10	35	30	host	gene-PA2752
gene-PA4634	31	76	71	58	host	gene-PA4634
gene-PA2844	19	31	21	31	host	gene-PA2844
gene-PA0050	3	13	17	23	host	gene-PA0050
gene-PA4576	282	700	711	528	host	gene-PA4576
gene-PA0529	18	66	71	29	host	gene-PA0529
gene-PA1723	77	214	209	146	host	pscJ
gene-PA1237	2	4	2	6	host	gene-PA1237
gene-PA2050	0	3	1	2	host	gene-PA2050
gene-PA0432	475	1052	1080	914	host	sahH
gene-PA0373	295	701	494	341	host	ftsY
gene-F358_gp30	1072	1716	10449	10157	phage	gene-F358_gp30
gene-PA0990	8	40	29	40	host	gene-PA0990
gene-PA2860	23	90	110	100	host	gene-PA2860
gene-PA2785	0	1	3	2	host	gene-PA2785
gene-PA0730	182	387	341	344	host	gene-PA0730
gene-PA4522	25	98	91	59	host	ampD
gene-PA5163	186	424	364	319	host	rmlA
gene-PA4433	880	1665	1146	1017	host	rplM
gene-PA0882	5	12	12	7	host	gene-PA0882
gene-PA2563	26	46	43	42	host	gene-PA2563
gene-PA3386	10	20	30	31	host	gene-PA3386
gene-PA0633	7	16	14	19	host	gene-PA0633
gene-PA5530	126	264	530	522	host	gene-PA5530
gene-PA3774	1	1	7	1	host	gene-PA3774
gene-PA1869	18	27	33	35	host	gene-PA1869
gene-PA3248	41	73	58	47	host	gene-PA3248
gene-PA0426	500	1013	954	747	host	mexB
gene-PA2094	5	11	12	12	host	gene-PA2094
gene-PA4835	6	22	34	26	host	gene-PA4835
gene-PA3339	57	118	126	130	host	plpD
gene-PA0636	59	73	72	88	host	gene-PA0636
gene-PA2605	12	30	18	22	host	gene-PA2605
gene-PA0450	22	40	53	43	host	gene-PA0450
gene-PA5189	14	39	37	17	host	gene-PA5189
gene-PA0079	99	185	246	184	host	gene-PA0079
gene-PA4361	23	58	62	47	host	gene-PA4361
gene-PA3403	18	19	23	26	host	gene-PA3403
gene-PA0098	19	21	39	24	host	gene-PA0098
gene-PA4758.1	50	143	80	68	host	gene-PA4758.1
gene-PA3044	10	21	16	21	host	gene-PA3044
gene-PA2583	188	338	366	302	host	gene-PA2583
gene-PA3294	44	94	136	98	host	gene-PA3294
gene-PA1995	18	26	33	18	host	gene-PA1995
gene-PA1739	10	31	19	23	host	gene-PA1739
gene-PA1931	4	12	17	16	host	gene-PA1931
gene-PA2566	10	22	31	20	host	gene-PA2566
gene-PA4793	28	97	106	67	host	gene-PA4793
gene-PA2915	15	31	41	15	host	gene-PA2915
gene-PA3806	492	911	742	606	host	gene-PA3806
gene-PA4454	212	379	340	333	host	gene-PA4454
gene-PA5021	106	277	314	293	host	gene-PA5021
gene-PA4750	302	646	442	303	host	folP
gene-PA4020	132	216	248	186	host	mpl
gene-PA1904	1	8	7	3	host	phzF2
gene-PA2672	3	4	2	3	host	gene-PA2672
gene-PA2903	103	185	235	245	host	cobJ
gene-PA1608	35	79	91	75	host	gene-PA1608
gene-PA0478	10	23	32	27	host	gene-PA0478
gene-PA2647	318	645	552	495	host	nuoL
gene-PA3310	49	92	234	124	host	gene-PA3310
gene-PA5387	4	5	3	5	host	cdhC
gene-PA4072	5	15	11	10	host	gene-PA4072
gene-PA4635	5	23	27	25	host	gene-PA4635
gene-PA1142	20	52	44	51	host	gene-PA1142
gene-PA3909	5	18	17	16	host	eddB
gene-PA1880	19	45	24	24	host	gene-PA1880
gene-PA3151	122	292	379	313	host	hisF2
gene-PA4471	2	2	6	5	host	gene-PA4471
gene-PA1303	19	29	24	20	host	gene-PA1303
gene-PA4290	58	162	62	23	host	gene-PA4290
gene-PA4735	246	504	502	413	host	gene-PA4735
gene-PA5000	208	524	375	350	host	wapR
gene-F358_gp05	1120	2028	3174	3188	phage	gene-F358_gp05
gene-PA5197	46	92	89	54	host	rimK
gene-PA4370	89	167	223	237	host	icmP
gene-PA2677	11	27	15	18	host	gene-PA2677
gene-PA0062	10	16	21	15	host	gene-PA0062
gene-PA5311	23	66	53	29	host	gene-PA5311
gene-PA0415	39	81	75	53	host	chpC
gene-PA4570	9	15	21	8	host	gene-PA4570
gene-PA1813	38	124	75	81	host	gene-PA1813
gene-PA0197	3	14	13	15	host	tonB2
gene-PA2441	25	31	51	27	host	gene-PA2441
gene-PA4823	0	1	1	0	host	gene-PA4823
gene-PA0829	2	11	9	6	host	gene-PA0829
gene-PA1341	64	109	78	61	host	gene-PA1341
gene-PA4704.1	17	56	78	63	host	prrF1
gene-PA2604	103	193	210	182	host	gene-PA2604
gene-PA0887	340	961	239	150	host	acsA
gene-PA1920	13	37	62	45	host	nrdD
gene-PA2416	2	19	16	16	host	treA
gene-PA3829	16	24	29	32	host	gene-PA3829
gene-PA1026	13	51	59	40	host	gene-PA1026
gene-PA2294	2	6	9	3	host	gene-PA2294
gene-PA5303	58	208	559	378	host	gene-PA5303
gene-PA5269	27	83	42	46	host	gene-PA5269
gene-PA2911	38	87	71	71	host	gene-PA2911
gene-PA2491	172	327	215	196	host	gene-PA2491
gene-PA5274	231	550	454	430	host	rnk
gene-PA2967	203	408	413	346	host	fabG
gene-PA1909	4	9	10	16	host	gene-PA1909
gene-PA2346	5	15	7	2	host	gene-PA2346
gene-PA5145	20	40	47	31	host	gene-PA5145
gene-PA3401	28	61	40	45	host	gene-PA3401
gene-PA1685	51	129	93	84	host	masA
gene-PA1865	66	145	92	60	host	gene-PA1865
gene-PA1431	94	220	272	251	host	rsaL
gene-PA0579	321	603	381	299	host	rpsU
gene-PA5289	19	24	24	14	host	gene-PA5289
gene-PA1916	5	11	9	5	host	gene-PA1916
gene-PA5402	82	183	167	129	host	gene-PA5402
gene-PA3145	211	424	526	447	host	wbpL
gene-PA4337	3	9	31	22	host	gene-PA4337
gene-PA0263	8	21	15	17	host	hcpC
gene-PA1709	57	73	89	50	host	popD
gene-PA0911	5	5	10	7	host	gene-PA0911
gene-PA0739	17	38	44	25	host	gene-PA0739
gene-PA1278	40	80	81	59	host	cobP
gene-PA4727	214	496	356	372	host	pcnB
gene-PA3592	2	1	7	4	host	gene-PA3592
gene-PA1214	2	3	2	3	host	gene-PA1214
gene-PA4484	151	383	292	230	host	gatB
gene-PA4758	138	244	248	217	host	carA
gene-PA4926	2	27	25	18	host	gene-PA4926
gene-PA2667	63	126	65	63	host	gene-PA2667
gene-PA5569	597	1111	949	810	host	rnpA
gene-PA1281	30	71	79	71	host	cobV
gene-PA0495	43	123	69	43	host	gene-PA0495
gene-PA3484	64	120	121	96	host	gene-PA3484
gene-PA2195	12	39	58	52	host	hcnC
gene-PA4754	80	214	235	165	host	gene-PA4754
gene-PA3703	67	123	122	95	host	wspF
gene-PA4724.1	38	151	106	88	host	gene-PA4724.1
gene-PA5310	51	155	105	100	host	gene-PA5310
gene-PA3775	2	12	13	4	host	gene-PA3775
gene-PA1402	5	3	22	13	host	gene-PA1402
gene-PA4081	8	18	20	19	host	cupB6
gene-PA5125	70	97	127	64	host	ntrC
gene-PA3372	6	14	19	17	host	gene-PA3372
gene-PA0157	34	68	68	49	host	gene-PA0157
gene-PA5536	1	8	7	4	host	gene-PA5536
gene-PA1558	14	10	7	5	host	gene-PA1558
gene-PA1359	27	58	42	40	host	gene-PA1359
gene-PA4364	13	36	22	42	host	gene-PA4364
gene-PA2207	9	23	27	7	host	gene-PA2207
gene-PA4229	1	4	3	7	host	pchC
gene-PA5243	292	685	793	754	host	hemB
gene-PA3817	276	560	326	233	host	gene-PA3817
gene-PA3886	27	59	74	69	host	gene-PA3886
gene-PA4748	1622	3785	2465	2079	host	tpiA
gene-PA5551	67	211	179	181	host	gene-PA5551
gene-PA3658	165	373	243	232	host	glnD
gene-PA0049	14	19	19	10	host	gene-PA0049
gene-PA0176	22	34	41	31	host	aer2
gene-PA1231	1	5	14	3	host	gene-PA1231
gene-PA0431	142	243	225	212	host	gene-PA0431
gene-PA2108	11	13	16	10	host	gene-PA2108
gene-PA0865	127	281	498	374	host	hpd
gene-PA1692	7	21	5	12	host	gene-PA1692
gene-PA3654	349	711	1072	853	host	pyrH
gene-PA1763	14	34	35	19	host	gene-PA1763
gene-PA3109	184	415	205	212	host	gene-PA3109
gene-PA0770	350	684	324	272	host	rnc
gene-PA4759	122	245	264	179	host	dapB
gene-PA1153	10	21	24	21	host	gene-PA1153
gene-PA1030.1	0	3	5	10	host	gene-PA1030.1
gene-PA1696	24	48	81	52	host	pscO
gene-PA4372	49	115	138	91	host	gene-PA4372
gene-PA4239	2219	3440	2700	2304	host	rpsD
gene-PA0154	29	83	64	43	host	pcaG
gene-PA5132	30	63	34	42	host	gene-PA5132
gene-PA1656	102	217	358	298	host	gene-PA1656
gene-PA1831	71	186	186	171	host	gene-PA1831
gene-PA4132	65	119	196	160	host	gene-PA4132
gene-PA5148	57	103	108	65	host	gene-PA5148
gene-PA4277.1	398	648	482	415	host	gene-PA4277.1
gene-PA2580	9	25	25	18	host	gene-PA2580
gene-PA1671	22	70	82	54	host	stk1
gene-PA2616	152	405	350	297	host	trxB1
gene-PA4451	343	619	321	303	host	gene-PA4451
gene-PA4665	168	315	262	180	host	prfA
gene-PA0403	87	181	168	138	host	pyrR
gene-PA0839	25	47	40	53	host	gene-PA0839
gene-PA2257	1	6	3	4	host	pvcD
gene-PA1213	1	4	11	7	host	gene-PA1213
gene-PA1625	76	146	147	133	host	gene-PA1625
gene-PA2611	149	333	249	202	host	cysG
gene-PA4223	5	8	12	9	host	gene-PA4223
gene-PA4334	24	43	47	27	host	gene-PA4334
gene-PA2740	178	309	193	184	host	pheS
gene-PA0521	7	12	22	25	host	gene-PA0521
gene-PA4584	53	82	111	107	host	gene-PA4584
gene-PA1906	15	49	15	27	host	gene-PA1906
gene-PA1162	121	272	222	167	host	dapE
gene-PA0546	859	2257	1805	1724	host	metK
gene-PA3977	106	285	205	165	host	hemL
gene-PA4711	15	23	43	36	host	gene-PA4711
gene-PA4780	104	221	168	206	host	gene-PA4780
gene-PA4510	10	33	25	24	host	gene-PA4510
gene-PA0449	26	42	45	26	host	gene-PA0449
gene-PA0674	3	3	5	6	host	vreA
gene-PA1559	77	184	108	87	host	gene-PA1559
gene-PA2731	59	91	140	110	host	gene-PA2731
gene-PA3843	4	15	15	8	host	gene-PA3843
gene-PA0296	486	1010	731	539	host	spuI
gene-PA1056	119	277	262	258	host	gene-PA1056
gene-PA1664	2	4	4	0	host	gene-PA1664
gene-PA2498	1	1	8	6	host	gene-PA2498
gene-PA3291	38	39	93	72	host	gene-PA3291
gene-PA3094.2	283	427	271	251	host	gene-PA3094.2
gene-PA5365	20	34	34	28	host	phoU
gene-PA1726	108	253	111	136	host	bglX
gene-PA2836	6	4	6	2	host	gene-PA2836
gene-PA2533	48	106	115	97	host	gene-PA2533
gene-PA3743	970	1865	1962	1807	host	trmD
gene-PA2532	63	125	70	68	host	tpx
gene-PA0143	27	89	130	85	host	nuh
gene-PA0193	2	2	5	5	host	gene-PA0193
gene-PA2552	9	32	21	13	host	gene-PA2552
gene-PA1539	26	81	94	76	host	gene-PA1539
gene-PA3368.1	48	88	60	67	host	gene-PA3368.1
gene-PA3839	53	157	223	204	host	gene-PA3839
gene-PA1498	7	11	24	7	host	pykF
gene-PA1316	17	43	47	34	host	gene-PA1316
gene-PA0093	121	223	351	293	host	gene-PA0093
gene-PA0386	43	115	66	51	host	gene-PA0386
gene-PA1465	19	57	37	40	host	gene-PA1465
gene-PA1267	4	13	6	9	host	gene-PA1267
gene-PA0535	20	63	46	48	host	gene-PA0535
gene-PA1861	55	92	96	73	host	modC
gene-PA0141	38	78	110	94	host	gene-PA0141
gene-PA5433	9	26	19	10	host	gene-PA5433
gene-PA2705	49	94	72	58	host	gene-PA2705
gene-PA1635	3	4	16	12	host	kdpC
gene-PA1173	7	11	10	5	host	napB
gene-PA2413	3	7	6	5	host	pvdH
gene-PA3623	213	518	582	422	host	gene-PA3623
gene-PA5249	40	92	93	83	host	gene-PA5249
gene-PA3104	96	331	319	279	host	xcpP
gene-PA5373	113	229	244	2906	host	betB
gene-PA4470	9	30	25	27	host	fumC1
gene-PA1958	25	62	80	44	host	gene-PA1958
gene-PA0256	20	55	69	36	host	gene-PA0256
gene-PA1412	5	3	16	11	host	gene-PA1412
gene-PA0088	166	372	500	470	host	gene-PA0088
gene-PA4853	206	471	403	401	host	fis
gene-PA1820	48	125	125	88	host	nhaB
gene-PA0158	201	405	363	315	host	gene-PA0158
gene-PA0580	107	283	304	294	host	gcp
gene-PA4422	59	143	155	111	host	gene-PA4422
gene-PA4280	93	260	308	300	host	birA
gene-PA2727	80	197	132	96	host	gene-PA2727
gene-PA1119	23	53	74	34	host	yfiB
gene-PA0584	30	98	82	76	host	cca
gene-PA1390	16	54	52	41	host	gene-PA1390
gene-PA4231	7	11	17	18	host	pchA
gene-PA0524	52	129	96	86	host	norB
gene-F358_gp60	1919	3601	5187	4839	phage	gene-F358_gp60
gene-PA5394	28	69	55	59	host	cls
gene-PA1096	111	228	218	194	host	gene-PA1096
gene-PA4719	180	441	510	464	host	gene-PA4719
gene-PA5170	390	1187	2364	2320	host	arcD
gene-PA1734	10	20	26	15	host	gene-PA1734
gene-PA0038	11	31	34	39	host	gene-PA0038
gene-PA3373	27	40	29	33	host	gene-PA3373
gene-PA4128	3	21	21	8	host	gene-PA4128
gene-PA0211	2	8	3	8	host	mdcD
gene-PA1648	6	21	9	13	host	gene-PA1648
gene-PA4660	53	117	121	124	host	phr
gene-PA2183	1	8	2	10	host	gene-PA2183
gene-PA4905	13	32	38	16	host	vanB
gene-PA0793	12	31	37	26	host	gene-PA0793
gene-PA5420	4	13	19	12	host	purU2
gene-F358_gp15	2081	4542	2989	2723	phage	gene-F358_gp15
gene-PA0399	65	137	136	107	host	gene-PA0399
gene-PA3972	17	43	78	44	host	gene-PA3972
gene-PA2779	10	32	34	18	host	gene-PA2779
gene-PA4109	21	48	46	53	host	ampR
gene-PA1296	70	161	211	185	host	gene-PA1296
gene-PA4214	5	14	12	6	host	phzE1
gene-PA5547	40	78	59	66	host	gene-PA5547
gene-PA2058	6	13	9	5	host	gene-PA2058
gene-PA5427	58	182	333	304	host	adhA
gene-PA3605	39	91	83	77	host	gene-PA3605
gene-PA3980	238	635	563	486	host	gene-PA3980
gene-PA0727	26	39	40	36	host	gene-PA0727
gene-PA0741	9	18	25	31	host	gene-PA0741
gene-PA2387	22	92	159	100	host	fpvI
gene-PA2897	89	190	183	136	host	gene-PA2897
gene-PA0817	10	18	7	11	host	gene-PA0817
gene-PA0429	443	975	603	441	host	gene-PA0429
gene-PA0340	140	385	314	302	host	gene-PA0340
gene-PA3455	53	124	78	54	host	gene-PA3455
gene-PA4804	35	70	99	92	host	gene-PA4804
gene-PA4354	19	46	39	39	host	gene-PA4354
gene-PA4932	875	1136	960	874	host	rplI
gene-PA1534	99	171	111	97	host	recR
gene-PA0089	87	167	284	281	host	gene-PA0089
gene-PA2763	1	6	4	2	host	gene-PA2763
gene-PA0833	146	251	238	179	host	gene-PA0833
gene-PA1109	13	45	41	33	host	gene-PA1109
gene-PA3917	20	45	46	16	host	moaD
gene-PA1306	106	234	177	131	host	gene-PA1306
gene-PA4348	312	1027	1115	977	host	gene-PA4348
gene-PA1891	2	3	9	10	host	gene-PA1891
gene-PA3974	101	258	265	216	host	ladS
gene-PA0976	71	143	150	118	host	gene-PA0976
gene-PA2243	5	13	16	13	host	pslM
gene-PA3834	499	936	768	594	host	valS
gene-PA1183	21	50	24	24	host	dctA
gene-PA0941	4	5	13	4	host	gene-PA0941
gene-PA4222	11	18	14	10	host	gene-PA4222
gene-PA3905	104	167	164	127	host	gene-PA3905
gene-PA4113	21	47	64	39	host	gene-PA4113
gene-PA2241	46	102	111	92	host	pslK
gene-PA4289	9	35	29	15	host	gene-PA4289
gene-PA2289	98	229	144	122	host	gene-PA2289
gene-PA3316	11	22	19	22	host	gene-PA3316
gene-PA1051	106	241	50	57	host	gene-PA1051
gene-PA2273	13	21	27	19	host	soxR
gene-PA4920	45	95	116	104	host	nadE
gene-PA4482	84	254	203	160	host	gatC
gene-PA0777	16	31	26	18	host	gene-PA0777
gene-PA2186	0	1	10	4	host	gene-PA2186
gene-PA2015	43	104	155	104	host	liuA
gene-PA0064	51	128	128	112	host	gene-PA0064
gene-PA2056	21	37	50	34	host	gene-PA2056
gene-PA1168	1	7	1	1	host	gene-PA1168
gene-PA0208	24	54	39	27	host	mdcA
gene-PA4059	11	18	31	18	host	gene-PA4059
gene-PA5089	42	106	128	100	host	gene-PA5089
gene-PA3440	40	77	63	61	host	gene-PA3440
gene-PA3287	7	12	12	12	host	gene-PA3287
gene-PA0463	30	85	55	48	host	creB
gene-PA2730	129	238	287	283	host	gene-PA2730
gene-PA5060	147	274	182	154	host	phaF
gene-PA2876	28	67	49	35	host	pyrF
gene-PA4774	43	88	63	60	host	gene-PA4774
gene-PA1760	80	208	92	63	host	gene-PA1760
gene-PA0261	10	26	22	25	host	gene-PA0261
gene-PA1775	378	950	730	621	host	cmpX
gene-PA1354	2	3	4	9	host	gene-PA1354
gene-PA1027	24	53	58	28	host	gene-PA1027
gene-PA2683	21	35	22	29	host	gene-PA2683
gene-PA4792	11	15	25	27	host	gene-PA4792
gene-PA2558	26	52	40	41	host	gene-PA2558
gene-PA4991	59	139	135	101	host	gene-PA4991
gene-PA3341	50	151	155	119	host	gene-PA3341
gene-PA2177	13	23	31	20	host	gene-PA2177
gene-PA5053	50	115	109	80	host	hslV
gene-PA3069	9	20	15	18	host	gene-PA3069
gene-PA5521	23	62	63	60	host	gene-PA5521
gene-PA4968	497	1062	551	484	host	gene-PA4968
gene-PA2758	10	31	21	12	host	gene-PA2758
gene-PA0130	48	76	56	49	host	gene-PA0130
gene-PA4581	51	95	116	85	host	rtcR
gene-PA1004	176	436	417	327	host	nadA
gene-PA5516	54	108	95	71	host	pdxY
gene-PA4179	37	48	37	31	host	gene-PA4179
gene-PA3433	13	19	28	16	host	gene-PA3433
gene-PA2137	1	10	11	4	host	gene-PA2137
gene-PA3011	387	750	639	583	host	topA
gene-PA3107	106	198	218	168	host	metZ
gene-PA4155	5	9	2	6	host	gene-PA4155
gene-PA1147	16	34	47	35	host	gene-PA1147
gene-PA5537	6	13	10	20	host	gene-PA5537
gene-PA2942	31	59	46	52	host	gene-PA2942
gene-PA5085	25	57	49	32	host	gene-PA5085
gene-PA0904	231	555	444	400	host	lysC
gene-PA3375	3	6	6	5	host	gene-PA3375
gene-PA0863	11	13	12	23	host	gene-PA0863
gene-PA4949	176	330	343	296	host	gene-PA4949
gene-PA2304	9	13	24	27	host	ambC
gene-PA1761	9	11	18	9	host	gene-PA1761
gene-PA3825	29	65	61	59	host	gene-PA3825
gene-PA4274	962	1429	1161	995	host	rplK
gene-PA0439	11	15	16	18	host	gene-PA0439
gene-PA3132	8	4	21	11	host	gene-PA3132
gene-PA2399	70	144	148	120	host	pvdD
gene-PA3042	4	8	4	6	host	gene-PA3042
