Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA1573	57	27	53	90	host	gene-PA1573
gene-PA5008	375	225	401	469	host	gene-PA5008
pykA	238	155	233	284	host	pykA
gene-JG024_gp62	1010	952	5008	7784	phage	gene-JG024_gp62
gene-PA4844	33	23	23	38	host	gene-PA4844
gene-PA1522	88	50	110	123	host	gene-PA1522
glmS	165	109	159	202	host	glmS
gene-PA5001	689	402	541	868	host	gene-PA5001
dnaQ	242	148	246	398	host	dnaQ
gene-PA0715	652	443	590	980	host	gene-PA0715
gene-PA3306	46	34	72	115	host	gene-PA3306
hcnB	29	21	49	92	host	hcnB
rplJ	996	951	865	993	host	rplJ
gene-PA2913	37	23	28	26	host	gene-PA2913
gene-PA0668.2	8891	16421	10101	10506	host	gene-PA0668.2
gene-PA1668	109	72	72	92	host	gene-PA1668
oprN	5	9	18	19	host	oprN
gene-PA4013	39	38	50	90	host	gene-PA4013
gene-PA0365	14	7	6	22	host	gene-PA0365
gene-JG024_gp81	1498	1450	4914	6831	phage	gene-JG024_gp81
gene-PA4794	42	41	63	97	host	gene-PA4794
gene-PA0125	70	50	131	167	host	gene-PA0125
ptsN	650	442	965	1068	host	ptsN
ureF	10	7	13	21	host	ureF
gene-PA1917	1	2	9	6	host	gene-PA1917
pldA	171	136	212	302	host	pldA
crc	1851	1168	2256	2470	host	crc
foxA	32	18	34	41	host	foxA
gene-PA2618	74	44	96	107	host	gene-PA2618
gene-PA2528	104	75	104	145	host	gene-PA2528
gene-PA0539	35	20	36	33	host	gene-PA0539
gene-PA3386	14	25	51	66	host	gene-PA3386
gene-PA5307	194	162	297	426	host	gene-PA5307
gene-PA3638	95	65	87	120	host	gene-PA3638
gene-PA1419	82	57	72	93	host	gene-PA1419
gene-PA2921	21	11	29	37	host	gene-PA2921
rhlI	108	76	196	217	host	rhlI
gene-JG005_00016	1522	1343	2048	3157	phage	gene-JG005_00016
gene-PA3044	22	20	18	22	host	gene-PA3044
cyoD	26	21	64	98	host	cyoD
gene-PA1888	30	15	45	55	host	gene-PA1888
gene-PA4583	66	34	174	195	host	gene-PA4583
gene-PA4113	66	42	56	93	host	gene-PA4113
gabD	559	373	403	557	host	gabD
ponA	1099	654	1209	1460	host	ponA
gene-PA2049	144	103	125	175	host	gene-PA2049
ppiB	191	190	283	333	host	ppiB
greB	39	26	52	81	host	greB
gene-PA0308	89	54	101	154	host	gene-PA0308
atpA	2188	1694	2094	2734	host	atpA
phuT	18	20	49	59	host	phuT
gene-PA1123	44	36	59	110	host	gene-PA1123
gene-PA3764	458	243	456	519	host	gene-PA3764
gene-PA3374	26	22	33	47	host	gene-PA3374
gene-PA4584	74	62	142	209	host	gene-PA4584
gene-PA0404	112	90	92	114	host	gene-PA0404
gene-PA0389	144	95	166	254	host	gene-PA0389
gene-PA0589	23	15	48	57	host	gene-PA0589
gene-PA5371	140	121	182	291	host	gene-PA5371
aspP	254	161	252	370	host	aspP
gene-JG005_00156	3797	3581	6068	8170	phage	gene-JG005_00156
gene-PA1951	37	38	33	63	host	gene-PA1951
gene-PA3247	169	127	135	210	host	gene-PA3247
flgC	63	56	38	77	host	flgC
gene-PA2108	15	9	15	32	host	gene-PA2108
xcpP	269	192	343	407	host	xcpP
gene-PA1439	59	49	90	112	host	gene-PA1439
gene-PA1766	611	442	564	795	host	gene-PA1766
gene-PA2117	57	32	80	90	host	gene-PA2117
aruD	207	115	117	132	host	aruD
gene-PA1852	584	419	683	857	host	gene-PA1852
gene-PA4639	84	55	119	170	host	gene-PA4639
gene-PA5286	89	51	102	120	host	gene-PA5286
gene-PA0384	14	8	10	24	host	gene-PA0384
gene-PA1458	912	619	916	1400	host	gene-PA1458
gene-PA2430	12	6	13	17	host	gene-PA2430
gene-PA4541.3	16855	18019	32914	24357	host	gene-PA4541.3
ftsE	228	190	256	347	host	ftsE
gene-PA3106	164	97	117	139	host	gene-PA3106
gene-PA4908	7	2	6	7	host	gene-PA4908
himA	619	498	750	1287	host	himA
gene-PA0159	47	51	92	121	host	gene-PA0159
gene-PA2010	24	24	29	47	host	gene-PA2010
gene-PA0498	48	55	121	137	host	gene-PA0498
gene-PA5393	13	7	24	21	host	gene-PA5393
gene-PA1972	17	4	13	25	host	gene-PA1972
waaL	456	283	422	453	host	waaL
gene-PA1349	2	4	5	6	host	gene-PA1349
vfr	271	197	278	360	host	vfr
gene-PA4719	456	313	573	691	host	gene-PA4719
gene-PA0206	16	6	16	31	host	gene-PA0206
gene-PA2628	52	35	83	136	host	gene-PA2628
oprH	312	266	443	494	host	oprH
sodB	503	487	488	604	host	sodB
gene-PA2855	70	34	59	78	host	gene-PA2855
atoB	33	34	33	44	host	atoB
gene-PA2498	2	1	5	4	host	gene-PA2498
gene-PA2090	3	4	12	5	host	gene-PA2090
gene-PA0320	17	7	9	18	host	gene-PA0320
opdK	19	17	46	34	host	opdK
gene-JG024_gp71	2455	2333	5038	8217	phage	gene-JG024_gp71
gene-PA3368	112	110	93	107	host	gene-PA3368
gene-PA3180	13	8	31	42	host	gene-PA3180
gene-JG024_gp11	996	908	2088	3174	phage	gene-JG024_gp11
gene-PA0488	9	4	21	27	host	gene-PA0488
phoP	178	150	169	224	host	phoP
gene-PA4332	248	157	296	379	host	gene-PA4332
gene-PA0955	477	298	440	581	host	gene-PA0955
gene-PA0057	25	6	21	29	host	gene-PA0057
gene-PA3206	45	36	59	68	host	gene-PA3206
gene-PA4028	0	1	0	0	host	gene-PA4028
gene-PA0323	24	17	27	48	host	gene-PA0323
gene-PA2157	11	7	9	17	host	gene-PA2157
argF	172	114	159	226	host	argF
gene-PA0268	20	15	28	35	host	gene-PA0268
gene-PA4324	123	87	164	207	host	gene-PA4324
gene-PA0525	124	108	105	92	host	gene-PA0525
panC	110	54	87	125	host	panC
gene-PA0834	79	50	101	133	host	gene-PA0834
gabT	293	268	287	410	host	gabT
gene-PA2990	94	60	123	130	host	gene-PA2990
gene-PA2984	35	19	27	38	host	gene-PA2984
gene-PA3078	47	40	55	71	host	gene-PA3078
gene-PA4790	29	31	52	69	host	gene-PA4790
gene-PA0220	36	33	74	73	host	gene-PA0220
gene-JG005_00137	1664	1232	2057	3637	phage	gene-JG005_00137
gene-PA3817	522	394	434	582	host	gene-PA3817
gene-PA0887.1	27	17	38	45	host	gene-PA0887.1
gene-PA0095	230	211	327	422	host	gene-PA0095
gene-PA5346	504	288	452	520	host	gene-PA5346
gene-PA0122	47	25	57	99	host	gene-PA0122
gene-PA4887	101	50	74	128	host	gene-PA4887
gene-PA5390	15	17	26	27	host	gene-PA5390
pslI	128	122	169	251	host	pslI
gene-PA3311	31	16	37	44	host	gene-PA3311
pcnB	506	321	604	777	host	pcnB
gene-PA0663	171	140	257	282	host	gene-PA0663
gene-PA2703	6	10	11	10	host	gene-PA2703
pcaK	10	4	12	21	host	pcaK
gene-PA3664	96	53	103	156	host	gene-PA3664
gene-PA0177	10	6	8	15	host	gene-PA0177
gene-PA1131	13	11	19	28	host	gene-PA1131
rplL	951	928	865	1029	host	rplL
femI	61	32	35	48	host	femI
iscR	275	185	220	284	host	iscR
gene-PA0354	236	157	175	285	host	gene-PA0354
gene-PA4623	7	6	8	8	host	gene-PA4623
gene-PA1893	51	21	69	86	host	gene-PA1893
gene-PA0717	7	3	4	18	host	gene-PA0717
gene-PA2379	114	77	124	171	host	gene-PA2379
ldhA	63	51	51	73	host	ldhA
gene-PA2125	14	17	20	32	host	gene-PA2125
gene-PA2746	22	10	26	31	host	gene-PA2746
gene-PA0379	42	28	52	70	host	gene-PA0379
folX	132	73	86	121	host	folX
exsC	176	155	154	206	host	exsC
aspS	1374	928	1352	1791	host	aspS
gene-PA5471	114	51	105	155	host	gene-PA5471
chiC	20	19	19	19	host	chiC
gene-PA0982	221	154	273	330	host	gene-PA0982
gene-PA4372	84	57	107	173	host	gene-PA4372
gene-PA1558	8	7	12	23	host	gene-PA1558
mqoB	404	238	338	486	host	mqoB
gene-PA4011	96	64	116	140	host	gene-PA4011
gene-PA0201	72	59	102	117	host	gene-PA0201
gene-PA1095	585	445	815	1214	host	gene-PA1095
gene-PA2285	7	3	13	13	host	gene-PA2285
gene-PA3335	10	8	6	22	host	gene-PA3335
gene-PA0271	16	12	26	28	host	gene-PA0271
gene-PA4701	271	205	272	398	host	gene-PA4701
pvcA	6	16	13	14	host	pvcA
gene-PA0340	296	232	408	512	host	gene-PA0340
gene-PA4498	231	149	224	284	host	gene-PA4498
fumC2	74	63	172	197	host	fumC2
recQ	245	170	239	360	host	recQ
gene-PA4675	121	87	167	204	host	gene-PA4675
gene-JG005_00135	4324	3290	9027	10824	phage	gene-JG005_00135
gene-PA2821	79	80	104	163	host	gene-PA2821
gene-PA3274	11	6	21	23	host	gene-PA3274
katE	20	24	50	40	host	katE
gene-PA3340	333	233	366	472	host	gene-PA3340
aat	75	60	102	155	host	aat
aroP2	94	93	98	118	host	aroP2
gene-JG005_00088	6607	7239	7169	8691	phage	gene-JG005_00088
gene-PA5230	137	78	206	295	host	gene-PA5230
gene-PA2983	190	122	177	229	host	gene-PA2983
gene-PA3124	37	23	57	91	host	gene-PA3124
fabH2	5	7	7	20	host	fabH2
gene-PA3189	17	12	27	13	host	gene-PA3189
rimM	1714	1134	2047	2630	host	rimM
gene-PA1199	201	134	229	282	host	gene-PA1199
argR	178	120	135	194	host	argR
gene-PA2601	33	20	32	35	host	gene-PA2601
gene-PA0474	0	1	0	3	host	gene-PA0474
gene-PA3693	14	8	30	23	host	gene-PA3693
gene-PA3359	30	17	68	60	host	gene-PA3359
gene-PA4699	316	201	282	379	host	gene-PA4699
gene-PA3843	10	9	12	25	host	gene-PA3843
gene-PA0697	4	2	5	7	host	gene-PA0697
gene-PA0688	56	45	68	108	host	gene-PA0688
gene-PA5181	248	180	220	300	host	gene-PA5181
gene-PA2653	127	56	191	263	host	gene-PA2653
gene-PA5023	100	65	76	116	host	gene-PA5023
gene-PA2580	15	16	42	34	host	gene-PA2580
gene-PA2920	20	16	34	40	host	gene-PA2920
gene-PA5313	244	171	332	444	host	gene-PA5313
wbpY	101	68	152	166	host	wbpY
pcoB	31	12	20	32	host	pcoB
gene-PA4671	593	492	563	668	host	gene-PA4671
gene-PA2696	10	10	15	20	host	gene-PA2696
gene-PA1569	16	4	18	17	host	gene-PA1569
gene-PA1284	28	35	34	56	host	gene-PA1284
gene-PA0645	27	20	45	51	host	gene-PA0645
gene-PA4952	252	212	301	439	host	gene-PA4952
gene-PA5377	39	25	69	57	host	gene-PA5377
gene-PA4917	58	62	92	124	host	gene-PA4917
ospR	61	43	55	91	host	ospR
gene-PA1807	102	90	119	166	host	gene-PA1807
gene-PA1651	84	59	89	126	host	gene-PA1651
gene-PA5370	164	105	194	282	host	gene-PA5370
gene-PA0746	36	19	36	51	host	gene-PA0746
gene-PA2152	39	30	49	79	host	gene-PA2152
aqpZ	8	9	17	13	host	aqpZ
gene-JG024_gp37	148	158	1769	2489	phage	gene-JG024_gp37
plpD	136	79	136	173	host	plpD
gene-PA3991	25	29	38	30	host	gene-PA3991
dsbC	208	104	134	227	host	dsbC
sahH	785	568	922	1218	host	sahH
gene-PA1369	91	93	144	187	host	gene-PA1369
rhdA	188	132	178	257	host	rhdA
gene-PA1748	64	36	88	77	host	gene-PA1748
mexR	80	51	92	111	host	mexR
bacA	143	125	290	338	host	bacA
gene-PA4080	53	53	84	120	host	gene-PA4080
gene-PA5184	64	38	72	102	host	gene-PA5184
rnpB	1147	2773	998	1241	host	rnpB
gene-PA5146	548	314	496	688	host	gene-PA5146
fis	362	246	379	504	host	fis
hprA	57	37	37	50	host	hprA
gene-JG005_00160	5378	4600	10115	13276	phage	gene-JG005_00160
gene-PA5258	222	179	328	418	host	gene-PA5258
gene-PA2134	5	1	10	9	host	gene-PA2134
catA	4	4	3	4	host	catA
msuE	7	6	12	16	host	msuE
gene-PA1828	25	22	42	34	host	gene-PA1828
estA	332	258	308	420	host	estA
cyoB	113	98	199	338	host	cyoB
gene-PA3758	33	29	20	45	host	gene-PA3758
gene-PA0269	6	5	12	19	host	gene-PA0269
flgK	459	294	282	409	host	flgK
gene-PA2654	135	74	121	207	host	gene-PA2654
gene-PA4589	19	15	15	47	host	gene-PA4589
tpm	48	22	41	52	host	tpm
gene-PA1028	31	17	45	40	host	gene-PA1028
rpsP	899	785	1335	1613	host	rpsP
icmF1	563	357	686	798	host	icmF1
gene-PA0043	54	46	60	99	host	gene-PA0043
napA	63	27	57	75	host	napA
pta	183	118	207	356	host	pta
gene-PA2369	8	9	16	22	host	gene-PA2369
gene-PA1566	45	23	16	24	host	gene-PA1566
pqsH	59	43	86	108	host	pqsH
gene-PA5471.1	19	12	26	49	host	gene-PA5471.1
coxA	23	23	39	55	host	coxA
gene-PA0959	113	95	155	228	host	gene-PA0959
gene-PA4819	7	7	4	16	host	gene-PA4819
gene-PA5529	214	191	312	485	host	gene-PA5529
gene-JG005_00124	1806	1412	2573	2938	phage	gene-JG005_00124
sodM	11	4	17	18	host	sodM
gene-PA5397	9	4	18	27	host	gene-PA5397
gene-PA1006	62	48	49	99	host	gene-PA1006
gbuA	97	80	93	154	host	gbuA
gene-PA3135	28	15	37	52	host	gene-PA3135
arnE	12	12	16	14	host	arnE
gene-PA4950	154	118	182	208	host	gene-PA4950
gene-PA3133	13	14	20	21	host	gene-PA3133
gene-PA0617	15	15	24	26	host	gene-PA0617
hutC	44	24	60	76	host	hutC
mtr	79	51	100	146	host	mtr
gene-PA1623	111	75	121	111	host	gene-PA1623
gene-PA3301	60	45	76	92	host	gene-PA3301
gene-PA0071	429	307	558	687	host	gene-PA0071
gene-PA3184	118	77	130	180	host	gene-PA3184
rhlR	304	278	462	574	host	rhlR
rnhA	210	137	188	257	host	rnhA
gene-PA5473	74	76	207	323	host	gene-PA5473
gcvH1	54	62	112	129	host	gcvH1
atuF	19	6	7	17	host	atuF
rplI	725	711	642	738	host	rplI
gene-PA0223	21	12	10	18	host	gene-PA0223
gene-PA1214	3	3	5	7	host	gene-PA1214
gene-PA1627	50	31	77	87	host	gene-PA1627
uraA	132	103	177	195	host	uraA
gene-PA0636	50	57	90	101	host	gene-PA0636
gene-PA2773	39	15	36	67	host	gene-PA2773
gene-PA2726	21	14	27	50	host	gene-PA2726
gene-PA0251	17	10	11	35	host	gene-PA0251
gene-PA2564	20	18	29	31	host	gene-PA2564
gene-PA4277.2	2063	2267	2032	4331	host	gene-PA4277.2
gene-PA0319	142	121	143	194	host	gene-PA0319
gene-PA1459	242	146	189	338	host	gene-PA1459
gene-PA3865	42	29	68	46	host	gene-PA3865
gene-PA0170	149	90	101	211	host	gene-PA0170
gene-PA3278	234	254	680	818	host	gene-PA3278
gene-PA0542	70	60	94	114	host	gene-PA0542
gene-PA0573	27	17	29	52	host	gene-PA0573
rep	743	488	593	780	host	rep
algU	2762	2083	5721	7897	host	algU
alaS	1409	1045	1456	1932	host	alaS
gene-PA5246	44	28	60	80	host	gene-PA5246
ptsP	589	397	645	848	host	ptsP
gene-PA3501	3	0	0	1	host	gene-PA3501
gene-PA4335	56	30	67	58	host	gene-PA4335
gene-PA0136	13	9	19	25	host	gene-PA0136
gene-PA2780	9	5	15	31	host	gene-PA2780
gene-PA1395	43	31	52	62	host	gene-PA1395
amiA	18	13	27	22	host	amiA
mliC	52	40	56	79	host	mliC
pscF	61	62	46	47	host	pscF
gene-PA1550	89	56	160	173	host	gene-PA1550
hutG	16	16	23	38	host	hutG
gene-PA0237	7	2	6	13	host	gene-PA0237
mfd	286	209	290	388	host	mfd
gene-PA0759	188	120	246	321	host	gene-PA0759
gene-PA3726	145	92	138	219	host	gene-PA3726
gene-PA2526	309	144	325	326	host	gene-PA2526
cobA	30	13	33	35	host	cobA
gene-PA2581	295	180	271	384	host	gene-PA2581
gene-PA0554	86	74	137	182	host	gene-PA0554
gene-PA1831	138	130	244	266	host	gene-PA1831
gene-PA0804	61	38	62	92	host	gene-PA0804
gene-PA4852	618	411	636	910	host	gene-PA4852
gene-JG005_00150	1061	778	1413	1839	phage	gene-JG005_00150
gntR	38	37	60	63	host	gntR
gene-PA2911	54	34	65	75	host	gene-PA2911
gene-PA1765	27	16	30	28	host	gene-PA1765
gene-PA4940	185	124	167	335	host	gene-PA4940
ampDh2	96	89	104	156	host	ampDh2
gene-PA3490	49	40	41	65	host	gene-PA3490
gene-PA3233	34	19	20	26	host	gene-PA3233
gene-PA0690	306	260	432	605	host	gene-PA0690
hcpA	21	8	37	28	host	hcpA
gene-PA4062	40	21	36	52	host	gene-PA4062
hitA	110	78	121	145	host	hitA
gene-PA2543	261	156	285	399	host	gene-PA2543
tonB2	2	5	6	17	host	tonB2
gene-PA3806	845	529	580	885	host	gene-PA3806
pchB	2	0	2	2	host	pchB
gene-JG005_00038	1836	1527	11658	11569	phage	gene-JG005_00038
gene-PA2469	32	16	49	60	host	gene-PA2469
gene-PA0988	299	172	327	407	host	gene-PA0988
coaD	215	129	303	310	host	coaD
gene-PA2171	0	4	7	10	host	gene-PA2171
gene-PA0991	25	13	31	51	host	gene-PA0991
fepG	8	3	15	5	host	fepG
gene-PA2318	17	18	25	39	host	gene-PA2318
oxyR	299	215	340	394	host	oxyR
gene-PA2567	289	214	273	398	host	gene-PA2567
gene-PA3157	800	539	1290	1553	host	gene-PA3157
gene-PA3919	124	113	295	373	host	gene-PA3919
gene-PA1227	39	33	50	83	host	gene-PA1227
nadD	384	265	480	599	host	nadD
gene-PA0063	167	137	204	292	host	gene-PA0063
gene-PA1140	36	34	29	68	host	gene-PA1140
gene-JG005_00162	2785	2395	5658	10197	phage	gene-JG005_00162
gene-PA3649	523	440	624	866	host	gene-PA3649
spuC	426	278	242	380	host	spuC
atuA	13	7	5	30	host	atuA
algK	7	7	9	20	host	algK
armR	5	4	6	7	host	armR
gene-PA4163	115	65	125	135	host	gene-PA4163
gloA2	4	4	6	7	host	gloA2
gene-PA0109	8	3	7	17	host	gene-PA0109
gene-PA3819	202	118	354	545	host	gene-PA3819
gene-PA2594	38	19	50	46	host	gene-PA2594
ftsI	974	609	832	1052	host	ftsI
hutI	17	14	30	30	host	hutI
gene-PA1511	165	124	165	270	host	gene-PA1511
gene-PA1231	4	1	5	3	host	gene-PA1231
gene-PA5566	11	15	29	26	host	gene-PA5566
gene-PA2005	91	65	78	96	host	gene-PA2005
gene-PA1813	105	78	107	119	host	gene-PA1813
gene-PA1018	16	6	7	17	host	gene-PA1018
fliD	1936	1212	1935	2781	host	fliD
gene-PA4032	133	100	203	246	host	gene-PA4032
gene-PA4045	114	77	129	136	host	gene-PA4045
phoU	25	12	31	43	host	phoU
czcA	22	14	46	47	host	czcA
gene-PA2261	10	8	7	9	host	gene-PA2261
gene-PA1230	3	4	5	7	host	gene-PA1230
gene-PA0603	671	586	849	1254	host	gene-PA0603
gene-PA5160.1	5884	19530	4063	3285	host	gene-PA5160.1
gene-PA3091	36	24	66	82	host	gene-PA3091
thrB	456	356	666	877	host	thrB
gene-PA5402	190	118	202	247	host	gene-PA5402
gene-PA2047	27	10	27	40	host	gene-PA2047
gene-PA0781	40	25	29	30	host	gene-PA0781
gene-JG005_00158	1528	1560	1590	1847	phage	gene-JG005_00158
gene-PA5149.1	1222	742	1436	1519	host	gene-PA5149.1
gene-PA4137	30	14	28	40	host	gene-PA4137
ftsL	207	139	230	297	host	ftsL
bioF	32	27	43	44	host	bioF
gene-PA2329	9	11	14	19	host	gene-PA2329
opdB	8	8	9	15	host	opdB
gene-PA2490	12	4	14	9	host	gene-PA2490
gene-PA2465	151	88	104	99	host	gene-PA2465
gene-PA2568	73	55	113	172	host	gene-PA2568
gene-PA3343	98	78	107	131	host	gene-PA3343
gene-PA3375	9	2	5	8	host	gene-PA3375
carB	1088	728	846	1130	host	carB
gene-PA5136	299	185	412	452	host	gene-PA5136
gene-PA4960	348	205	266	400	host	gene-PA4960
gene-PA2183	3	10	12	12	host	gene-PA2183
aotJ	305	229	341	400	host	aotJ
gene-PA4041	32	31	52	57	host	gene-PA4041
gene-PA1340	102	74	73	76	host	gene-PA1340
queA	365	243	381	468	host	queA
mucC	199	174	441	593	host	mucC
gene-PA2266	35	41	69	66	host	gene-PA2266
fadD2	103	54	88	134	host	fadD2
fabZ	567	375	349	499	host	fabZ
gene-PA2312	8	7	9	11	host	gene-PA2312
gene-PA4333	442	329	390	563	host	gene-PA4333
gene-PA3454	21	12	20	32	host	gene-PA3454
gene-JG005_00094	5631	4416	6297	8251	phage	gene-JG005_00094
ssrA	12039	18083	6342	8785	host	ssrA
gene-PA2150	4	1	8	5	host	gene-PA2150
gene-PA1042	65	34	48	50	host	gene-PA1042
gene-PA1629	16	10	22	34	host	gene-PA1629
braZ	100	79	99	161	host	braZ
pslH	183	142	229	333	host	pslH
gene-PA1385	43	21	96	132	host	gene-PA1385
xseA	136	68	108	138	host	xseA
gene-PA0858	496	353	394	610	host	gene-PA0858
gene-PA0502	83	44	71	91	host	gene-PA0502
aruH	34	10	47	50	host	aruH
cueR	58	43	77	69	host	cueR
rbsC	104	91	67	126	host	rbsC
xylX	6	1	10	7	host	xylX
gene-PA5247	41	31	62	79	host	gene-PA5247
gene-PA0383	84	74	95	93	host	gene-PA0383
gene-JG005_00165	1280	1249	1669	2080	phage	gene-JG005_00165
gene-PA0951	163	134	291	347	host	gene-PA0951
ambB	90	66	121	159	host	ambB
gene-PA0881	16	5	12	12	host	gene-PA0881
gene-JG005_00151	4136	3939	6054	7715	phage	gene-JG005_00151
gene-PA5027	56	64	136	184	host	gene-PA5027
gene-PA0700	6	5	7	11	host	gene-PA0700
gene-PA5433	11	12	25	14	host	gene-PA5433
gene-PA2776	115	102	180	219	host	gene-PA2776
typA	1716	1124	1100	1469	host	typA
gene-PA1738	68	52	90	112	host	gene-PA1738
rubA2	58	43	56	93	host	rubA2
cupC2	17	10	16	22	host	cupC2
gene-PA3898	49	28	45	67	host	gene-PA3898
gene-PA4070	14	9	14	33	host	gene-PA4070
bioA	231	139	201	252	host	bioA
ccmB	150	126	180	240	host	ccmB
dksA	698	494	989	1356	host	dksA
hisE	225	144	181	288	host	hisE
gene-PA5022	415	219	339	473	host	gene-PA5022
nrdB	1272	1158	2148	3309	host	nrdB
gene-JG005_00175	1476	1412	1520	1939	phage	gene-JG005_00175
gene-PA5144	9	6	11	15	host	gene-PA5144
gene-JG005_00138	1391	1010	2245	2420	phage	gene-JG005_00138
pyrR	143	135	170	254	host	pyrR
sspB	101	89	139	189	host	sspB
gene-PA0492	237	168	210	226	host	gene-PA0492
gene-PA1679	165	123	238	341	host	gene-PA1679
gene-PA1149	1	1	5	8	host	gene-PA1149
gene-PA1061	97	65	54	84	host	gene-PA1061
gene-PA3070	132	100	142	191	host	gene-PA3070
adhC	122	79	158	219	host	adhC
cysN	354	228	393	596	host	cysN
trpS	222	130	280	434	host	trpS
gene-PA4684	229	149	209	276	host	gene-PA4684
gene-PA2652	134	108	175	220	host	gene-PA2652
gene-PA0310	172	132	160	243	host	gene-PA0310
gene-PA3741	38	39	81	93	host	gene-PA3741
gene-PA1689	256	154	299	372	host	gene-PA1689
mrcB	917	639	879	1208	host	mrcB
gene-PA3419	17	20	19	34	host	gene-PA3419
rpsR	666	615	750	1010	host	rpsR
gene-PA1508	9	0	6	10	host	gene-PA1508
gene-PA3360	22	11	48	33	host	gene-PA3360
waaG	486	305	386	584	host	waaG
rpmH	570	508	584	744	host	rpmH
mraY	631	379	609	777	host	mraY
gene-JG005_00082	1431	1232	2006	2899	phage	gene-JG005_00082
thiG	117	97	167	161	host	thiG
gene-PA4797	30	20	38	59	host	gene-PA4797
arnA	104	72	101	116	host	arnA
gene-PA3507	3	2	8	7	host	gene-PA3507
gene-PA1997	79	53	95	89	host	gene-PA1997
fklB	78	39	108	138	host	fklB
gene-PA2835	9	7	6	18	host	gene-PA2835
gene-PA4328	58	70	135	173	host	gene-PA4328
gene-PA4791	41	28	50	62	host	gene-PA4791
gene-PA0058	6	5	10	22	host	gene-PA0058
gene-PA3277	13	14	28	31	host	gene-PA3277
gene-PA2429	3	0	0	9	host	gene-PA2429
glyA3	346	248	392	516	host	glyA3
gene-PA1388	34	25	42	52	host	gene-PA1388
gene-PA2823	148	89	177	251	host	gene-PA2823
gene-PA1059	111	125	130	187	host	gene-PA1059
motD	153	123	112	179	host	motD
gene-PA2906	127	93	120	141	host	gene-PA2906
gene-PA2120	7	4	4	12	host	gene-PA2120
fha1	412	298	658	809	host	fha1
gene-PA2165	27	16	37	56	host	gene-PA2165
gene-PA4679	34	32	75	67	host	gene-PA4679
phzG1	8	3	11	18	host	phzG1
gene-PA0272	50	20	53	92	host	gene-PA0272
purA	620	464	712	971	host	purA
gene-PA1688	218	162	362	388	host	gene-PA1688
gene-PA2212	6	3	8	2	host	gene-PA2212
gene-PA1853	44	41	75	85	host	gene-PA1853
gene-PA1956	4	3	4	4	host	gene-PA1956
gene-PA4114	102	67	161	141	host	gene-PA4114
gene-PA1478	41	29	48	67	host	gene-PA1478
gene-PA1653	37	37	50	71	host	gene-PA1653
gene-PA2651	96	84	183	285	host	gene-PA2651
gene-PA3307	27	18	57	55	host	gene-PA3307
gene-PA3804	409	287	276	434	host	gene-PA3804
gene-PA1343	32	24	31	50	host	gene-PA1343
pqqD	12	10	11	15	host	pqqD
gene-PA4294	6	3	11	22	host	gene-PA4294
nqrA	408	247	490	514	host	nqrA
nuoG	902	583	702	1040	host	nuoG
gene-PA4029	148	94	141	179	host	gene-PA4029
gene-PA2453	51	38	51	74	host	gene-PA2453
gene-PA4726.1	18	8	42	34	host	gene-PA4726.1
gene-PA3055	49	28	52	53	host	gene-PA3055
gene-JG005_00022	2831	3085	7212	8446	phage	gene-JG005_00022
gene-PA1649	10	11	17	33	host	gene-PA1649
gene-PA5357	48	28	59	88	host	gene-PA5357
gene-PA0227	14	8	4	13	host	gene-PA0227
gene-PA1357	31	32	36	66	host	gene-PA1357
gene-PA1619	38	21	31	39	host	gene-PA1619
gene-PA3580	30	21	29	45	host	gene-PA3580
gene-PA3926	19	3	16	7	host	gene-PA3926
pqqA	0	0	1	1	host	pqqA
gene-PA3494	44	25	39	61	host	gene-PA3494
gene-PA4673	398	288	356	449	host	gene-PA4673
gene-PA0012	34	31	42	59	host	gene-PA0012
ppiD	617	437	580	744	host	ppiD
gene-PA4842	198	406	270	431	host	gene-PA4842
gene-PA5089	121	50	149	191	host	gene-PA5089
gene-PA4575	43	41	91	107	host	gene-PA4575
gene-PA3087	188	124	217	286	host	gene-PA3087
gene-PA0776	6	10	13	20	host	gene-PA0776
gene-PA1381	10	12	25	32	host	gene-PA1381
gene-PA0800	17	11	33	35	host	gene-PA0800
gene-PA1531	167	86	200	273	host	gene-PA1531
plsB	274	169	244	336	host	plsB
gene-JG005_00069	4374	5169	15566	16501	phage	gene-JG005_00069
gene-PA3697	86	49	116	104	host	gene-PA3697
gene-PA0948	70	34	68	126	host	gene-PA0948
gene-PA4698	72	48	80	104	host	gene-PA4698
rluD	333	191	229	330	host	rluD
gene-PA1244	39	32	29	65	host	gene-PA1244
gene-PA0623	12	13	18	28	host	gene-PA0623
pbpG	249	180	339	475	host	pbpG
accA	1359	817	1443	1773	host	accA
gene-PA4643	54	40	68	115	host	gene-PA4643
gene-PA2105	77	46	63	105	host	gene-PA2105
gene-PA2410	19	10	14	34	host	gene-PA2410
gene-PA3536	51	35	74	92	host	gene-PA3536
gene-PA2480	103	71	51	86	host	gene-PA2480
gene-PA5506	208	173	292	333	host	gene-PA5506
pcaR	40	23	56	82	host	pcaR
trpG	175	121	152	216	host	trpG
cobJ	211	136	198	209	host	cobJ
gene-PA1934	11	13	10	27	host	gene-PA1934
oprD	1037	830	1171	1515	host	oprD
gene-PA4625	2434	1382	807	1260	host	gene-PA4625
