# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196372_sorted.bam" "SRR17196375_sorted.bam" "SRR17196376_sorted.bam" "SRR17196373_sorted.bam" "SRR17196381_sorted.bam" "SRR17196368_sorted.bam" "SRR17196384_sorted.bam" "SRR17196370_sorted.bam" "SRR17196379_sorted.bam" "SRR17196369_sorted.bam" "SRR17196371_sorted.bam" "SRR17196367_sorted.bam" "SRR17196382_sorted.bam" "SRR17196365_sorted.bam" "SRR17196374_sorted.bam" "SRR17196378_sorted.bam" "SRR17196385_sorted.bam" "SRR17196380_sorted.bam" "SRR17196377_sorted.bam" "SRR17196383_sorted.bam" "SRR17196366_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196372_sorted.bam	SRR17196375_sorted.bam	SRR17196376_sorted.bam	SRR17196373_sorted.bam	SRR17196381_sorted.bam	SRR17196368_sorted.bam	SRR17196384_sorted.bam	SRR17196370_sorted.bam	SRR17196379_sorted.bam	SRR17196369_sorted.bam	SRR17196371_sorted.bam	SRR17196367_sorted.bam	SRR17196382_sorted.bam	SRR17196365_sorted.bam	SRR17196374_sorted.bam	SRR17196378_sorted.bam	SRR17196385_sorted.bam	SRR17196380_sorted.bam	SRR17196377_sorted.bam	SRR17196383_sorted.bam	SRR17196366_sorted.bam
gene-SAURSH1000_RS03535	NZ_CP059180.1	740623	740778	+	156	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
gene-SAURSH1000_RS03540	NZ_CP059180.1	740817	741788	+	972	42	88	112	276	21	422	34	351	58	30	327	292	13	219	324	103	11	26	152	26	89
gene-SAURSH1000_RS03545	NZ_CP059180.1	741775	742731	+	957	39	82	65	207	21	337	21	305	28	39	224	262	12	209	264	86	9	30	159	12	68
gene-SAURSH1000_RS03550	NZ_CP059180.1	742728	743489	+	762	54	78	116	340	32	382	29	379	48	41	349	354	27	239	328	133	13	29	161	12	75
gene-SAURSH1000_RS03555	NZ_CP059180.1	743608	744636	+	1029	211	273	541	1397	136	1549	154	1848	312	264	1891	1389	152	941	1593	480	98	221	976	161	375
gene-SAURSH1000_RS03560	NZ_CP059180.1	744953	745267	-	315	194	240	90	202	59	139	43	152	48	172	258	158	23	120	193	151	7	49	74	29	154
gene-SAURSH1000_RS03565	NZ_CP059180.1	745285	746208	-	924	511	632	220	673	132	514	135	360	102	473	753	469	51	397	604	415	27	137	299	97	451
gene-SAURSH1000_RS03570	NZ_CP059180.1	746335	746853	-	519	178	175	53	139	31	192	26	108	27	153	193	104	5	111	208	116	6	56	98	28	93
gene-SAURSH1000_RS03575	NZ_CP059180.1	746973	747851	+	879	235	279	79	217	78	306	84	230	55	176	342	160	20	154	334	224	15	51	199	39	166
gene-SAURSH1000_RS03580	NZ_CP059180.1	748005	748325	+	321	401	574	185	367	118	611	100	308	70	308	573	273	45	349	473	429	17	110	267	113	253
gene-SAURSH1000_RS03585	NZ_CP059180.1	748750	749874	+	1125	773	797	253	610	198	706	221	550	130	791	825	457	64	445	699	624	54	147	381	108	518
gene-SAURSH1000_RS03590	NZ_CP059180.1	750063	751289	-	1227	851	963	552	909	257	1155	281	786	207	883	1353	855	121	793	1081	955	70	212	594	154	1006
gene-SAURSH1000_RS03595	NZ_CP059180.1	751303	751797	-	495	132	162	99	121	41	160	48	126	28	133	203	113	13	119	179	150	12	35	90	26	98
gene-SAURSH1000_RS03600	NZ_CP059180.1	751815	752576	-	762	164	182	95	177	47	202	55	125	31	155	227	140	14	133	215	160	7	34	115	26	116
gene-SAURSH1000_RS03605	NZ_CP059180.1	752772	753842	-	1071	705	653	247	556	107	876	135	450	91	733	785	450	25	565	670	386	26	150	350	139	503
gene-SAURSH1000_RS03610	NZ_CP059180.1	754160	755215	+	1056	401	367	170	382	103	566	102	382	72	437	488	291	29	396	487	305	17	113	272	105	435
gene-SAURSH1000_RS03615	NZ_CP059180.1	755385	756026	-	642	171	245	127	286	58	354	49	225	53	239	338	232	22	205	252	219	13	66	141	55	235
gene-SAURSH1000_RS03620	NZ_CP059180.1	756170	756553	+	384	635	799	434	731	160	1435	193	580	189	593	1368	620	50	877	874	766	42	258	517	190	789
gene-SAURSH1000_RS03625	NZ_CP059180.1	756917	757999	+	1083	23	22	2	11	5	26	2	11	2	45	17	20	4	23	11	13	2	8	7	1	24
gene-SAURSH1000_RS03630	NZ_CP059180.1	757992	758666	+	675	7	11	3	10	6	10	2	10	1	16	8	9	1	5	9	9	0	0	6	0	15
gene-SAURSH1000_RS03635	NZ_CP059180.1	758727	759299	+	573	245	270	1336	1277	1291	2940	935	1309	1276	380	2989	1941	992	1627	3553	1451	490	1767	4550	747	3028
gene-SAURSH1000_RS03640	NZ_CP059180.1	759713	762244	+	2532	4921	4797	1686	2725	1175	4001	1405	3164	910	4864	4412	2890	561	3190	3242	3554	310	1024	2018	717	4102
gene-SAURSH1000_RS03645	NZ_CP059180.1	762286	762390	+	105	32	33	6	12	1	15	5	25	5	36	16	8	0	13	16	14	0	1	10	1	19
gene-SAURSH1000_RS03650	NZ_CP059180.1	762559	763669	+	1111	588	776	248	451	114	463	152	409	135	520	583	414	70	392	513	543	30	102	247	82	460
gene-SAURSH1000_RS03655	NZ_CP059180.1	763823	763930	+	108	6	6	5	4	0	4	0	4	1	3	5	3	0	2	5	3	0	0	2	0	6
gene-SAURSH1000_RS03660	NZ_CP059180.1	764078	764917	+	840	42	60	9	35	13	39	9	20	5	33	33	32	4	32	44	46	1	5	16	7	27
gene-SAURSH1000_RS03665	NZ_CP059180.1	765091	765741	+	651	119	117	40	118	40	161	34	94	23	121	154	85	11	68	218	136	5	21	166	14	106
gene-SAURSH1000_RS03670	NZ_CP059180.1	765738	765974	+	237	44	47	16	40	14	80	20	43	8	47	79	38	3	44	106	61	3	7	57	13	31
gene-SAURSH1000_RS03675	NZ_CP059180.1	766243	768228	+	1986	1093	1057	292	381	281	609	343	637	231	865	638	534	119	543	799	809	61	180	672	129	957
gene-SAURSH1000_RS03680	NZ_CP059180.1	768236	771082	+	2847	2012	2258	684	989	626	1310	648	1295	559	1496	1401	1183	280	1086	1506	1801	167	431	1240	243	1787
gene-SAURSH1000_RS03685	NZ_CP059180.1	771744	772676	+	933	463	527	218	438	111	460	155	449	99	492	640	435	53	337	614	473	24	105	364	62	547
gene-SAURSH1000_RS03690	NZ_CP059180.1	772682	773521	+	840	412	456	190	413	120	474	151	454	122	429	592	356	47	366	724	431	23	122	388	72	444
gene-SAURSH1000_RS03695	NZ_CP059180.1	773529	774014	+	486	197	221	140	201	72	254	81	242	70	174	329	201	30	163	369	285	18	90	217	42	202
gene-SAURSH1000_RS03700	NZ_CP059180.1	774022	775461	+	1440	663	743	286	561	203	671	195	612	142	597	834	515	69	448	954	702	48	154	545	137	547
gene-SAURSH1000_RS03705	NZ_CP059180.1	775528	776463	+	936	3168	2747	1122	2029	487	2354	587	1961	732	4053	3002	1928	294	2024	2217	1787	192	571	1127	429	2902
gene-SAURSH1000_RS03710	NZ_CP059180.1	777457	778368	+	912	426	342	165	281	109	340	106	341	96	442	341	308	37	257	375	325	30	85	230	55	549
gene-SAURSH1000_RS03715	NZ_CP059180.1	778365	779360	+	996	634	509	282	471	313	503	260	690	340	847	557	573	145	441	695	725	83	240	756	119	1020
gene-SAURSH1000_RS03720	NZ_CP059180.1	779470	780414	+	945	787	649	271	569	340	699	247	651	265	929	699	561	150	529	697	781	107	254	778	162	965
gene-SAURSH1000_RS03725	NZ_CP059180.1	780987	781574	+	588	1681	1652	3616	5444	446	8837	510	5036	1551	1897	7511	5483	725	5181	6189	1266	450	971	3347	627	2101
gene-SAURSH1000_RS03730	NZ_CP059180.1	781817	782719	-	903	182	138	96	180	98	221	60	192	100	330	174	198	31	137	323	158	22	82	340	49	256
gene-SAURSH1000_RS03735	NZ_CP059180.1	783422	784051	+	630	618	482	175	248	171	407	161	519	240	669	290	367	61	389	591	463	36	175	489	58	546
gene-SAURSH1000_RS03740	NZ_CP059180.1	784693	785706	+	1014	4266	3436	685	1689	2273	1545	1461	1512	1279	6568	1738	971	502	1118	3702	9135	238	1606	4605	627	12629
gene-SAURSH1000_RS03745	NZ_CP059180.1	785759	786769	+	1011	19849	16096	3225	4511	11790	4442	8662	3451	3875	27447	5283	3223	2724	3200	7650	30874	1230	10093	14708	5071	45997
gene-SAURSH1000_RS03750	NZ_CP059180.1	786908	788098	+	1191	6923	5347	642	1080	3727	1093	3040	1019	941	9391	1236	903	611	820	2233	9305	286	2665	5263	1054	13804
gene-SAURSH1000_RS03755	NZ_CP059180.1	788220	788981	+	762	6839	5455	674	1108	3644	1217	2973	1089	829	8974	1351	1132	573	1085	1885	9256	233	2509	4647	1000	12854
gene-SAURSH1000_RS03760	NZ_CP059180.1	788984	790501	+	1518	12800	9852	1289	1953	6633	2172	5248	1865	1271	16387	2523	1937	1016	1978	2795	16237	461	4521	7430	1873	22696
gene-SAURSH1000_RS03765	NZ_CP059180.1	790631	791935	+	1305	16297	14929	6285	9037	7983	10672	6863	7748	4400	19104	12789	8812	2352	8657	10961	19172	1220	6218	10648	3409	26702
gene-SAURSH1000_RS03770	NZ_CP059180.1	792275	792733	+	459	180	225	111	185	65	339	72	189	58	179	324	179	17	205	377	210	18	75	202	83	220
gene-SAURSH1000_RS03775	NZ_CP059180.1	792800	793033	+	234	657	885	543	997	223	1856	315	650	213	904	1853	876	89	1418	1379	733	51	316	762	293	959
gene-SAURSH1000_RS03780	NZ_CP059180.1	793149	793889	+	741	685	640	204	395	133	629	147	571	112	701	562	481	51	486	588	465	32	128	295	84	617
gene-SAURSH1000_RS03785	NZ_CP059180.1	793923	796295	+	2373	2849	2994	753	1577	565	2190	556	2003	475	2546	2107	1931	280	1875	1895	1860	166	373	1146	285	2593
gene-SAURSH1000_RS03790	NZ_CP059180.1	796317	796781	+	465	680	746	201	375	112	492	137	448	137	574	469	468	74	449	481	449	49	129	283	96	576
gene-SAURSH1000_RS03795	NZ_CP059180.1	796872	797233	+	362	35003	47133	45918	61239	28695	81776	44329	36026	38929	41718	80194	64964	52727	98271	64351	67408	45819	83051	58369	68087	59770
gene-SAURSH1000_RS03800	NZ_CP059180.1	797555	797836	+	282	13	15	7	8	4	20	3	14	2	15	19	14	2	18	27	13	1	6	14	1	20
gene-SAURSH1000_RS03805	NZ_CP059180.1	798103	798426	-	324	73	95	33	38	44	100	40	73	15	51	88	40	8	45	145	144	6	18	104	21	66
gene-SAURSH1000_RS03810	NZ_CP059180.1	798442	798588	-	147	47	55	19	26	24	46	16	33	6	41	69	26	4	28	78	70	2	17	45	12	43
gene-SAURSH1000_RS03815	NZ_CP059180.1	798780	799508	-	729	97	162	43	64	71	114	44	90	32	79	130	57	13	75	195	188	5	34	162	27	106
gene-SAURSH1000_RS03820	NZ_CP059180.1	799944	800099	+	156	1	3	0	0	1	2	1	1	0	0	2	0	0	0	2	0	0	1	0	0	0
gene-SAURSH1000_RS03825	NZ_CP059180.1	800107	800628	+	522	9	8	6	10	12	7	13	17	18	8	9	17	1	9	28	19	4	4	24	2	2
gene-SAURSH1000_RS03830	NZ_CP059180.1	800767	801297	+	531	49	91	24	38	24	80	26	61	27	29	47	49	9	49	74	70	9	10	48	5	38
gene-SAURSH1000_RS03835	NZ_CP059180.1	801560	804343	+	2784	1833	1342	508	846	1013	1022	674	1277	730	3155	801	1217	393	1106	993	1286	212	577	1712	332	4870
gene-SAURSH1000_RS03845	NZ_CP059180.1	806440	807462	+	1023	31	30	15	29	5	37	11	23	12	42	42	30	1	34	46	26	3	13	30	9	30
gene-SAURSH1000_RS03850	NZ_CP059180.1	807797	808267	+	471	36	49	20	31	11	47	7	38	13	42	66	78	7	29	50	43	10	20	36	15	41
gene-SAURSH1000_RS03855	NZ_CP059180.1	808608	809294	+	687	13	18	9	10	4	13	3	12	3	5	11	11	3	10	10	11	1	2	5	3	6
gene-SAURSH1000_RS03860	NZ_CP059180.1	809651	809851	+	201	6674	3269	1766	4646	665	8967	916	3336	430	8743	6443	4909	192	7677	4046	2354	139	1181	2176	953	16262
gene-SAURSH1000_RS03865	NZ_CP059180.1	810347	810565	-	219	67	50	62	137	74	147	39	196	83	105	121	130	21	85	270	114	13	65	314	47	87
gene-SAURSH1000_RS03870	NZ_CP059180.1	810627	810911	-	285	68	52	52	143	64	148	39	137	65	89	119	140	21	89	192	97	9	48	245	40	89
gene-SAURSH1000_RS03875	NZ_CP059180.1	810999	811568	-	570	102	83	40	94	23	139	16	84	12	78	104	76	5	52	137	56	0	19	62	12	46
gene-SAURSH1000_RS03880	NZ_CP059180.1	811756	811944	-	189	46	49	28	55	24	89	15	51	13	54	90	47	5	86	90	45	2	19	78	23	57
gene-SAURSH1000_RS03885	NZ_CP059180.1	811973	812233	-	261	35	23	12	21	6	23	5	26	8	32	28	20	4	24	37	23	2	4	31	7	32
gene-SAURSH1000_RS03890	NZ_CP059180.1	812574	812777	+	204	141	145	183	334	307	509	234	423	339	292	368	395	218	440	770	452	80	424	1182	291	593
gene-SAURSH1000_RS03895	NZ_CP059180.1	812774	813010	-	237	90	93	98	132	115	273	75	192	152	184	185	186	65	208	407	222	40	136	492	90	302
gene-SAURSH1000_RS03900	NZ_CP059180.1	813235	813816	+	582	89	77	14	55	25	59	19	38	10	110	61	48	1	45	54	43	5	12	37	15	65
gene-SAURSH1000_RS03905	NZ_CP059180.1	813889	814506	-	618	64	50	49	69	23	121	30	57	28	66	139	57	14	84	150	100	3	23	86	24	170
gene-SAURSH1000_RS03910	NZ_CP059180.1	814661	815155	-	495	146	230	127	193	103	325	75	120	66	134	386	160	39	226	370	451	21	97	285	47	236
gene-SAURSH1000_RS03915	NZ_CP059180.1	815554	815976	-	423	26	24	50	68	66	109	54	83	105	30	76	75	33	83	168	126	24	67	313	37	112
gene-SAURSH1000_RS03920	NZ_CP059180.1	816124	816840	+	717	58	67	30	70	17	93	19	68	19	57	115	75	4	54	90	75	5	23	53	19	50
gene-SAURSH1000_RS03925	NZ_CP059180.1	816923	817462	+	540	252	306	284	620	94	775	94	542	109	252	820	572	49	496	574	308	22	91	302	62	288
gene-SAURSH1000_RS03930	NZ_CP059180.1	817612	817932	-	321	438	416	296	535	101	980	131	462	147	516	891	558	54	608	763	399	38	145	397	115	466
gene-SAURSH1000_RS03935	NZ_CP059180.1	818076	818432	+	357	335	372	259	571	152	862	122	474	124	332	960	474	80	366	942	401	28	110	473	93	434
gene-SAURSH1000_RS03940	NZ_CP059180.1	818590	818970	+	381	1885	2404	2523	3585	784	6405	797	3134	1474	1653	6556	3521	725	3206	5834	2593	351	1107	3618	883	2132
gene-SAURSH1000_RS03945	NZ_CP059180.1	819149	820027	+	879	315	288	98	206	96	203	79	170	67	381	276	170	37	136	273	256	7	59	212	31	371
gene-SAURSH1000_RS03950	NZ_CP059180.1	820769	821155	+	387	172	151	82	108	75	169	51	146	66	231	167	121	34	102	217	166	15	62	212	46	179
gene-SAURSH1000_RS03955	NZ_CP059180.1	821148	821444	+	297	86	95	51	71	44	100	25	75	37	88	107	51	13	58	141	101	8	31	158	26	101
gene-SAURSH1000_RS03960	NZ_CP059180.1	821694	822719	+	1026	107	143	60	135	57	85	38	74	67	143	130	75	27	57	186	244	21	23	122	15	246
gene-SAURSH1000_RS03965	NZ_CP059180.1	822712	823407	+	696	44	68	32	46	33	46	24	33	24	62	63	30	16	37	91	167	13	21	85	10	115
gene-SAURSH1000_RS03970	NZ_CP059180.1	823425	824246	+	822	127	121	71	84	87	105	44	61	60	119	129	73	49	65	202	338	30	69	251	41	204
gene-SAURSH1000_RS03975	NZ_CP059180.1	824600	824794	+	195	1165	898	1330	2649	1853	3362	1209	2390	1381	2356	2383	2412	775	1888	4283	2063	424	2625	7640	1713	4464
gene-SAURSH1000_RS03980	NZ_CP059180.1	825027	825878	-	852	714	906	163	293	160	585	130	327	138	557	556	329	44	420	687	664	26	129	385	145	370
gene-SAURSH1000_RS03985	NZ_CP059180.1	826206	826967	+	762	2593	3027	756	1269	639	1482	544	1612	604	2334	1770	1546	235	1256	1970	2498	130	412	1348	251	2256
gene-SAURSH1000_RS03990	NZ_CP059180.1	827065	828372	+	1308	3740	4270	917	1777	922	2272	841	2444	796	3306	2595	2242	408	1976	2679	3667	236	660	1927	405	3052
gene-SAURSH1000_RS03995	NZ_CP059180.1	828478	829728	+	1251	3708	4493	1111	2042	938	2556	894	2280	709	3284	2926	2248	381	2036	2706	3902	247	696	1994	456	3003
gene-SAURSH1000_RS04000	NZ_CP059180.1	829718	830182	+	465	1751	2021	510	1009	410	1080	401	1042	288	1524	1240	1096	183	1002	1212	1735	102	264	778	177	1348
gene-SAURSH1000_RS04005	NZ_CP059180.1	830333	831730	+	1398	4685	5608	1699	2919	1126	3376	1044	3040	930	4004	3939	3041	528	4016	3621	5063	312	992	2432	668	3920
gene-SAURSH1000_RS04010	NZ_CP059180.1	831917	832054	+	138	9	16	4	3	4	16	4	9	2	11	16	8	1	9	10	11	2	2	7	0	6
gene-SAURSH1000_RS04015	NZ_CP059180.1	832060	832374	-	315	18	30	7	10	2	15	0	10	3	11	13	4	0	9	23	10	0	7	14	2	18
gene-SAURSH1000_RS04020	NZ_CP059180.1	832739	833779	+	1041	234	211	134	220	85	263	90	289	115	247	280	286	40	201	274	237	23	81	219	26	207
gene-SAURSH1000_RS04025	NZ_CP059180.1	833793	834860	+	1068	243	274	165	241	114	272	133	417	146	299	301	323	32	286	300	304	19	66	273	34	190
gene-SAURSH1000_RS04030	NZ_CP059180.1	834927	835025	+	99	22	18	10	9	10	19	5	17	4	12	8	15	0	18	17	18	0	4	14	1	10
gene-SAURSH1000_RS04035	NZ_CP059180.1	835073	835921	+	849	282	260	137	298	63	389	83	317	70	353	379	299	15	235	282	200	15	79	179	57	305
gene-SAURSH1000_RS04040	NZ_CP059180.1	835934	836761	+	828	239	233	131	297	75	314	81	354	68	317	311	268	23	266	314	226	22	60	206	51	278
gene-SAURSH1000_RS04045	NZ_CP059180.1	836788	838107	+	1320	500	465	238	527	158	505	146	564	162	640	590	530	50	409	541	415	38	103	322	77	503
gene-SAURSH1000_RS04050	NZ_CP059180.1	838191	839108	+	918	1669	2036	1024	2130	551	1772	561	1465	690	1780	2738	1697	267	1716	2068	1592	155	651	967	452	1387
gene-SAURSH1000_RS04055	NZ_CP059180.1	839238	839621	+	384	211	289	139	188	88	281	63	174	61	231	346	157	17	192	292	218	8	55	176	55	135
gene-SAURSH1000_RS04060	NZ_CP059180.1	839700	839966	-	267	128	141	86	130	21	267	20	78	25	94	282	87	11	168	163	105	8	27	76	34	74
gene-SAURSH1000_RS04065	NZ_CP059180.1	840064	840498	+	435	200	268	104	260	84	346	111	241	81	194	431	238	23	228	403	261	15	65	219	40	224
gene-SAURSH1000_RS04070	NZ_CP059180.1	840498	841277	+	780	402	541	243	456	180	585	202	470	153	346	798	455	60	426	672	578	31	121	417	86	491
gene-SAURSH1000_RS04075	NZ_CP059180.1	841310	842269	+	960	472	640	281	544	247	713	201	636	182	409	954	558	91	588	838	741	43	157	512	89	568
gene-SAURSH1000_RS04080	NZ_CP059180.1	842523	842633	+	111	42	100	22	41	10	53	8	41	9	21	79	22	2	30	84	46	3	8	25	7	20
gene-SAURSH1000_RS04085	NZ_CP059180.1	842681	842833	+	153	190	410	120	160	63	340	57	153	37	110	361	122	8	151	404	274	5	37	126	37	74
gene-SAURSH1000_RS04090	NZ_CP059180.1	842849	844306	+	1458	2928	5899	1886	2682	742	4697	804	2166	606	1490	5633	1920	271	2567	5131	4460	181	466	1615	507	1014
gene-SAURSH1000_RS04095	NZ_CP059180.1	844303	845517	+	1215	2148	4112	1329	2024	564	3469	578	1839	469	1065	3978	1435	177	1899	4756	2951	129	327	1397	432	877
gene-SAURSH1000_RS04100	NZ_CP059180.1	845535	845771	+	237	502	903	313	443	125	810	125	503	110	265	890	364	44	462	1289	683	36	82	342	93	185
gene-SAURSH1000_RS04105	NZ_CP059180.1	845768	846943	+	1176	2598	5565	1860	2770	776	4943	796	2420	788	1405	5697	2310	260	2714	6026	4395	217	442	1794	471	1261
gene-SAURSH1000_RS04110	NZ_CP059180.1	847206	847448	-	243	979	1266	1083	1349	245	2349	315	880	382	1072	2725	1252	159	2087	1610	1128	73	425	852	327	1363
gene-SAURSH1000_RS04115	NZ_CP059180.1	847549	847872	+	324	95	131	49	136	35	196	35	118	20	118	181	132	12	101	180	75	14	21	113	35	105
gene-SAURSH1000_RS04120	NZ_CP059180.1	847931	848995	-	1065	509	710	407	774	224	841	219	620	201	491	1012	757	119	594	1000	590	70	242	572	167	595
gene-SAURSH1000_RS04125	NZ_CP059180.1	849312	849548	+	237	214	258	167	217	43	351	59	180	40	340	355	180	17	184	281	147	23	64	172	58	276
gene-SAURSH1000_RS04130	NZ_CP059180.1	849561	849920	+	360	476	500	284	469	122	816	129	490	141	659	743	347	67	436	749	361	47	150	454	160	460
gene-SAURSH1000_RS04135	NZ_CP059180.1	850374	851582	+	1209	6756	8857	3505	5771	1512	7775	1700	5179	1955	5544	9093	5138	806	5035	6718	6571	528	1112	3289	968	5811
gene-SAURSH1000_RS04140	NZ_CP059180.1	851713	853188	+	1476	470	553	307	477	129	557	142	427	129	479	669	463	77	433	615	432	53	106	278	84	382
gene-SAURSH1000_RS04145	NZ_CP059180.1	853599	854915	+	1317	878	782	217	588	234	569	204	386	129	740	582	458	58	363	448	1557	36	183	693	108	1791
gene-SAURSH1000_RS04150	NZ_CP059180.1	854934	855308	+	375	342	331	111	268	119	289	110	178	74	291	293	213	31	160	274	695	18	126	270	67	606
gene-SAURSH1000_RS04155	NZ_CP059180.1	855364	856518	-	1155	26	16	6	20	7	32	7	22	2	27	28	17	3	24	22	24	0	8	11	4	16
gene-SAURSH1000_RS04160	NZ_CP059180.1	856767	857123	-	357	422	462	278	437	165	748	119	435	147	311	779	452	71	560	861	475	37	155	511	134	304
gene-SAURSH1000_RS04165	NZ_CP059180.1	857101	857394	-	294	246	299	157	253	77	426	78	257	106	175	457	248	32	319	520	296	15	79	293	96	202
gene-SAURSH1000_RS04170	NZ_CP059180.1	857394	857873	-	480	411	485	317	448	133	812	149	486	129	378	750	405	54	501	1002	530	31	153	538	156	369
gene-SAURSH1000_RS04175	NZ_CP059180.1	857875	859371	-	1497	1407	1597	989	1533	537	2670	497	1444	458	1204	2747	1568	207	1864	3065	1861	147	633	1682	509	1258
gene-SAURSH1000_RS04180	NZ_CP059180.1	859364	859705	-	342	398	469	293	495	162	813	155	410	130	364	768	468	72	489	905	505	52	191	511	161	369
gene-SAURSH1000_RS04185	NZ_CP059180.1	859705	860133	-	429	439	437	222	460	130	853	150	501	121	365	714	439	43	491	1019	486	44	127	540	144	379
gene-SAURSH1000_RS04190	NZ_CP059180.1	860126	862531	-	2406	2000	2137	1227	2205	659	3725	645	2159	532	1862	3534	2159	201	2507	4228	2123	127	663	2335	597	1914
gene-SAURSH1000_RS04195	NZ_CP059180.1	862662	863045	-	384	61	83	46	85	41	155	45	64	20	56	150	89	2	103	149	118	5	28	108	24	99
gene-SAURSH1000_RS04200	NZ_CP059180.1	863109	863702	+	594	868	1073	1164	1689	366	2793	378	1526	539	809	2843	1598	208	1311	2633	1231	135	335	1351	285	905
gene-SAURSH1000_RS04205	NZ_CP059180.1	864118	864495	+	378	260	301	205	315	142	488	171	279	124	309	527	295	58	368	437	390	34	196	297	128	397
gene-SAURSH1000_RS04210	NZ_CP059180.1	864857	865984	+	1128	447	367	215	363	74	422	81	369	125	729	550	373	41	329	387	302	30	94	180	52	413
gene-SAURSH1000_RS04215	NZ_CP059180.1	866292	867482	+	1191	293	363	409	483	173	614	230	1030	427	310	735	1342	145	478	888	350	98	194	818	77	483
gene-SAURSH1000_RS04220	NZ_CP059180.1	867591	868835	+	1245	595	692	1326	1944	515	2318	654	2973	1089	634	2651	3787	406	2110	2692	1035	248	586	1878	271	1276
gene-SAURSH1000_RS04225	NZ_CP059180.1	869338	870267	-	930	35	48	75	128	83	204	138	149	75	30	235	213	43	146	235	131	14	58	153	44	64
gene-SAURSH1000_RS04230	NZ_CP059180.1	870509	871888	-	1380	111	133	54	63	1064	74	448	64	135	242	107	65	171	81	108	8796	62	512	786	239	4072
gene-SAURSH1000_RS04235	NZ_CP059180.1	871878	873083	-	1206	43	75	28	30	739	38	339	46	86	131	48	44	108	45	75	7198	40	313	631	142	3788
gene-SAURSH1000_RS04240	NZ_CP059180.1	873434	874765	+	1332	2357	2430	2233	3539	1772	3945	1850	3129	1564	2737	5204	3305	853	2993	3946	4290	443	1577	3101	937	3844
gene-SAURSH1000_RS04245	NZ_CP059180.1	875090	875665	+	576	377	350	129	254	55	453	52	219	35	329	343	209	14	243	309	184	8	70	152	70	274
gene-SAURSH1000_RS04250	NZ_CP059180.1	875670	876194	+	525	587	568	239	483	84	800	110	458	60	580	653	355	32	423	498	380	16	106	233	118	411
gene-SAURSH1000_RS04255	NZ_CP059180.1	876210	876785	+	576	783	777	372	606	147	1044	159	532	113	700	975	453	55	612	759	520	37	168	349	194	480
gene-SAURSH1000_RS04260	NZ_CP059180.1	876945	880421	+	3477	884	920	356	705	253	931	229	717	185	806	1054	708	74	689	873	895	52	166	572	100	827
gene-SAURSH1000_RS04265	NZ_CP059180.1	880422	884075	+	3654	1210	1328	532	912	308	1112	365	1064	310	1010	1385	991	143	960	1320	1316	66	244	684	134	1045
gene-SAURSH1000_RS04270	NZ_CP059180.1	884241	885143	+	903	1488	1505	793	1977	540	2305	539	1989	481	1674	2478	1974	231	1542	2169	1637	133	492	1304	309	2441
gene-SAURSH1000_RS04275	NZ_CP059180.1	885472	885861	+	390	287	398	152	241	92	425	71	209	82	262	371	184	26	297	389	297	27	79	265	74	174
gene-SAURSH1000_RS04280	NZ_CP059180.1	886032	887348	-	1317	1267	1151	589	1166	237	1319	275	1036	267	1540	1527	1187	114	1091	1497	885	73	258	648	165	1260
gene-SAURSH1000_RS04285	NZ_CP059180.1	887400	888224	-	825	480	393	192	517	97	519	116	476	79	649	649	487	29	449	537	322	21	81	234	56	553
gene-SAURSH1000_RS04290	NZ_CP059180.1	888338	888646	+	309	1037	1184	865	1496	228	2496	281	1085	337	965	2600	1410	121	1632	1581	996	86	364	742	313	983
gene-SAURSH1000_RS04295	NZ_CP059180.1	889193	891007	+	1815	64	63	24	44	18	80	19	44	6	58	78	30	5	48	56	51	1	17	33	19	33
gene-SAURSH1000_RS04300	NZ_CP059180.1	891210	893819	+	2610	411	468	1991	2915	210	4530	274	5990	1405	463	2700	4988	908	6142	3434	484	577	405	2156	198	720
gene-SAURSH1000_RS04305	NZ_CP059180.1	893878	894747	-	870	3	10	3	9	2	19	4	4	5	8	11	12	0	5	12	11	1	3	14	2	2
gene-SAURSH1000_RS04310	NZ_CP059180.1	894857	896002	+	1146	8	1	2	0	1	8	2	2	0	9	6	4	0	1	6	7	0	0	2	2	6
gene-SAURSH1000_RS04315	NZ_CP059180.1	895986	896627	+	642	14	5	0	2	1	13	0	4	2	15	14	11	1	3	10	9	0	1	7	2	9
gene-SAURSH1000_RS04320	NZ_CP059180.1	896620	897738	+	1119	36	23	12	26	5	43	6	26	4	38	35	21	1	16	47	19	0	6	26	5	18
gene-SAURSH1000_RS04325	NZ_CP059180.1	897722	898237	+	516	72	53	15	56	10	77	13	39	5	58	78	43	0	35	81	39	1	22	38	11	47
gene-SAURSH1000_RS04330	NZ_CP059180.1	898548	898982	+	435	90	80	51	94	24	144	27	91	20	132	149	91	12	76	123	71	6	23	54	28	80
gene-SAURSH1000_RS04335	NZ_CP059180.1	899239	899424	-	186	366	622	392	608	212	1527	204	359	227	405	1515	601	92	871	1385	796	44	374	889	274	486
