# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR12539210_sorted.bam" "SRR12539217_sorted.bam" "SRR12539213_sorted.bam" "SRR12539215_sorted.bam" "SRR12539216_sorted.bam" "SRR12539209_sorted.bam" "SRR12539214_sorted.bam" "SRR12539212_sorted.bam" "SRR12539211_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12539210_sorted.bam	SRR12539217_sorted.bam	SRR12539213_sorted.bam	SRR12539215_sorted.bam	SRR12539216_sorted.bam	SRR12539209_sorted.bam	SRR12539214_sorted.bam	SRR12539212_sorted.bam	SRR12539211_sorted.bam
gene-Saur515_RS09645	NZ_JAKRSL010000010.1	16278	16397	+	120	37	51	22	63	58	23	37	61	38
gene-Saur515_RS09650	NZ_JAKRSL010000010.1	16400	17227	+	828	776	1201	539	1563	1217	449	710	1068	792
gene-Saur515_RS09660	NZ_JAKRSL010000010.1	18807	19208	+	402	1039	4455	752	5628	5208	593	1052	1699	1220
gene-Saur515_RS09665	NZ_JAKRSL010000010.1	19328	19891	-	564	70	358	87	438	455	58	122	162	156
gene-Saur515_RS09670	NZ_JAKRSL010000010.1	19888	20841	-	954	119	478	126	603	650	86	153	212	200
gene-Saur515_RS09675	NZ_JAKRSL010000010.1	20951	22132	+	1182	165	414	119	415	460	66	124	166	210
gene-Saur515_RS09680	NZ_JAKRSL010000010.1	22420	24837	+	2418	426	1837	546	2034	1990	294	531	867	670
gene-Saur515_RS09685	NZ_JAKRSL010000010.1	24859	25170	+	312	99	372	95	410	403	61	129	206	149
gene-Saur515_RS09690	NZ_JAKRSL010000010.1	25496	32056	+	6561	47	133	44	155	145	37	46	97	82
gene-Saur515_RS09695	NZ_JAKRSL010000010.1	32173	33441	-	1269	84	295	64	345	335	50	67	82	115
gene-Saur515_RS09700	NZ_JAKRSL010000010.1	33848	35509	+	1662	394	1387	396	1463	1514	216	412	621	533
gene-Saur515_RS09705	NZ_JAKRSL010000010.1	35506	36201	+	696	506	1150	476	1296	1280	266	473	696	555
gene-Saur515_RS09710	NZ_JAKRSL010000010.1	36218	36640	+	423	1450	1843	997	2041	1990	718	960	1419	1102
gene-Saur515_RS09715	NZ_JAKRSL010000010.1	37504	38913	+	1410	554	2182	524	2428	2275	328	571	921	722
gene-Saur515_RS09720	NZ_JAKRSL010000010.1	38917	39765	+	849	567	2023	636	2133	2166	336	617	1044	801
gene-Saur515_RS09725	NZ_JAKRSL010000010.1	40315	41106	+	792	753	2199	627	2597	2571	414	814	1111	1049
gene-Saur515_RS09730	NZ_JAKRSL010000010.1	41121	41765	+	645	334	1051	309	1272	1218	223	343	571	453
gene-Saur515_RS09735	NZ_JAKRSL010000010.1	42235	43077	+	843	177	323	104	382	386	59	133	215	198
gene-Saur515_RS09740	NZ_JAKRSL010000010.1	43202	43513	-	312	94	328	92	462	306	78	117	191	132
gene-Saur515_RS09745	NZ_JAKRSL010000010.1	43600	44676	+	1077	504	1245	414	1372	1349	296	435	715	589
gene-Saur515_RS09750	NZ_JAKRSL010000010.1	44741	45052	+	312	350	628	276	788	687	198	319	499	366
gene-Saur515_RS09755	NZ_JAKRSL010000010.1	45152	46009	+	858	185	1031	228	1222	1100	143	280	420	280
gene-Saur515_RS09760	NZ_JAKRSL010000010.1	46038	46634	+	597	155	1030	266	1002	1022	155	275	408	307
gene-Saur515_RS09765	NZ_JAKRSL010000010.1	46655	50479	+	3825	893	5622	1793	6026	5759	997	1769	2645	2114
gene-Saur515_RS09770	NZ_JAKRSL010000010.1	50503	51816	+	1314	594	2707	725	2908	2906	415	691	1033	932
gene-Saur515_RS09775	NZ_JAKRSL010000010.1	51890	52381	+	492	1747	4147	1068	5234	4272	1068	1532	2229	1964
gene-Saur515_RS09780	NZ_JAKRSL010000010.1	52455	53813	+	1359	2311	4584	2146	4778	4705	1923	2067	3267	3127
gene-Saur515_RS09785	NZ_JAKRSL010000010.1	53948	54052	+	105	1	3	1	2	7	1	3	0	4
gene-Saur515_RS09790	NZ_JAKRSL010000010.1	54513	55604	+	1092	284	1231	332	1439	1276	144	348	528	392
gene-Saur515_RS09795	NZ_JAKRSL010000010.1	55958	56071	+	114	12	19	7	14	17	2	4	2	9
gene-Saur515_RS09800	NZ_JAKRSL010000010.1	56144	57133	+	990	710	2688	581	3088	2969	381	704	1090	813
gene-Saur515_RS09805	NZ_JAKRSL010000010.1	57231	58406	-	1176	23	61	10	65	52	14	11	22	36
gene-Saur515_RS09810	NZ_JAKRSL010000010.1	58431	59063	-	633	9	40	4	31	43	4	7	10	22
gene-Saur515_RS09815	NZ_JAKRSL010000010.1	59232	60938	+	1707	72	204	63	250	213	49	46	90	106
gene-Saur515_RS09820	NZ_JAKRSL010000010.1	61378	63045	+	1668	1761	9213	2199	10235	10253	1148	2004	3280	2780
gene-Saur515_RS09825	NZ_JAKRSL010000010.1	63291	63380	-	90	0	2	0	1	3	0	0	0	0
gene-Saur515_RS09830	NZ_JAKRSL010000010.1	63379	66066	+	2688	14	55	8	73	60	9	11	22	18
gene-Saur515_RS09835	NZ_JAKRSL010000010.1	66197	66289	+	93	8	43	8	50	45	10	21	9	12
gene-Saur515_RS09840	NZ_JAKRSL010000010.1	66269	67174	-	906	64	241	48	297	228	46	59	82	76
gene-Saur515_RS09845	NZ_JAKRSL010000010.1	67556	68818	+	1263	470	2816	452	3111	3182	238	537	774	716
gene-Saur515_RS09850	NZ_JAKRSL010000010.1	68912	70186	-	1275	722	2877	509	3334	3139	379	572	944	866
gene-Saur515_RS09855	NZ_JAKRSL010000010.1	70358	70975	+	618	214	728	198	884	854	128	221	354	351
gene-Saur515_RS09860	NZ_JAKRSL010000010.1	71103	72569	+	1467	576	1617	564	1832	1869	300	497	842	966
gene-Saur515_RS09865	NZ_JAKRSL010000010.1	72676	73806	+	1131	163	471	123	519	534	87	138	236	188
gene-Saur515_RS09870	NZ_JAKRSL010000010.1	73767	73862	-	96	24	72	13	71	91	14	15	41	19
gene-Saur515_RS09875	NZ_JAKRSL010000010.1	73956	75560	-	1605	40	231	49	245	194	30	40	87	79
gene-Saur515_RS09880	NZ_JAKRSL010000010.1	75547	76707	-	1161	42	153	34	190	159	25	45	57	61
gene-Saur515_RS09885	NZ_JAKRSL010000010.1	76821	77267	-	447	177	338	94	459	310	77	131	199	154
gene-Saur515_RS09890	NZ_JAKRSL010000010.1	77347	78090	+	744	58	107	24	136	116	23	35	52	64
gene-Saur515_RS09895	NZ_JAKRSL010000010.1	78306	78908	-	603	2369	10597	1759	12538	11804	1352	2238	3162	4755
gene-Saur515_RS09900	NZ_JAKRSL010000010.1	79152	79616	-	465	155	653	138	787	762	95	160	211	289
gene-Saur515_RS09905	NZ_JAKRSL010000010.1	79753	81447	+	1695	1723	6766	1613	7276	7091	1098	1637	2824	2447
gene-Saur515_RS09910	NZ_JAKRSL010000010.1	81521	81661	-	141	9	37	11	33	30	2	8	15	16
gene-Saur515_RS09915	NZ_JAKRSL010000010.1	81810	82958	+	1149	34	233	41	256	227	22	63	76	71
gene-Saur515_RS09920	NZ_JAKRSL010000010.1	82958	84181	+	1224	41	215	80	246	215	46	89	111	103
gene-Saur515_RS09925	NZ_JAKRSL010000010.1	84225	84995	+	771	39	105	38	123	122	27	51	47	79
gene-Saur515_RS09930	NZ_JAKRSL010000010.1	85093	85587	+	495	611	1455	372	1790	1375	298	498	765	622
gene-Saur515_RS09935	NZ_JAKRSL010000010.1	85710	86657	+	948	181	610	181	710	729	128	204	268	287
gene-Saur515_RS09940	NZ_JAKRSL010000010.1	86745	87947	+	1203	1440	6292	1123	7124	7187	696	1346	2393	1982
gene-Saur515_RS09945	NZ_JAKRSL010000010.1	88193	88693	-	501	1396	2439	623	2782	2110	659	667	1426	1635
gene-Saur515_RS09950	NZ_JAKRSL010000010.1	88834	89952	+	1119	404	1704	370	1743	1790	244	420	537	570
gene-Saur515_RS09955	NZ_JAKRSL010000010.1	90076	90174	+	99	57	125	33	167	132	22	43	60	80
gene-Saur515_RS09960	NZ_JAKRSL010000010.1	90268	91323	-	1056	421	985	267	1175	1075	199	256	428	414
gene-Saur515_RS09965	NZ_JAKRSL010000010.1	91498	92187	+	690	536	633	207	844	608	250	272	475	437
gene-Saur515_RS09970	NZ_JAKRSL010000010.1	92492	92905	-	414	550	881	309	1361	891	453	377	670	582
gene-Saur515_RS09975	NZ_JAKRSL010000010.1	93110	94408	+	1299	296	756	234	810	741	174	278	427	348
gene-Saur515_RS09980	NZ_JAKRSL010000010.1	94669	95610	+	942	276	747	275	884	834	163	331	495	346
gene-Saur515_RS09985	NZ_JAKRSL010000010.1	95631	98828	+	3198	629	2112	755	2222	2130	458	791	1198	988
gene-Saur515_RS09990	NZ_JAKRSL010000010.1	99278	100507	+	1230	381	1859	529	1962	1909	286	565	773	681
gene-Saur515_RS09995	NZ_JAKRSL010000010.1	100702	101559	+	858	275	1259	383	1295	1343	214	422	560	557
gene-Saur515_RS10000	NZ_JAKRSL010000010.1	101559	102503	+	945	327	1528	471	1550	1654	239	534	717	553
gene-Saur515_RS10005	NZ_JAKRSL010000010.1	102772	103740	+	969	2915	6497	2742	7029	6903	1652	2656	4331	3170
gene-Saur515_RS10010	NZ_JAKRSL010000010.1	103762	105519	+	1758	9488	17571	8651	19228	18901	5611	9483	14518	12146
gene-Saur515_RS09020	NZ_JAKRSL010000009.1	106	1014	+	909	230	618	186	631	650	121	170	310	215
gene-Saur515_RS09025	NZ_JAKRSL010000009.1	1203	2012	+	810	296	981	249	1150	1198	176	321	427	388
gene-Saur515_RS09030	NZ_JAKRSL010000009.1	2014	2946	+	933	413	1587	394	1781	1805	270	411	707	521
gene-Saur515_RS09035	NZ_JAKRSL010000009.1	2973	4328	+	1356	907	3346	899	3675	3781	570	997	1628	1302
gene-Saur515_RS09040	NZ_JAKRSL010000009.1	4605	12041	+	7437	20	181	40	160	190	25	43	62	98
gene-Saur515_RS09045	NZ_JAKRSL010000009.1	12360	13466	-	1107	315	765	210	920	747	175	222	341	373
gene-Saur515_RS09050	NZ_JAKRSL010000009.1	13466	13900	-	435	184	421	114	476	448	117	125	179	209
gene-Saur515_RS09055	NZ_JAKRSL010000009.1	13912	16044	-	2133	296	434	152	506	476	154	130	224	223
gene-Saur515_RS09060	NZ_JAKRSL010000009.1	16079	17617	-	1539	124	121	39	152	112	42	51	84	57
gene-Saur515_RS09065	NZ_JAKRSL010000009.1	18298	20103	+	1806	3640	8092	2985	9042	8249	1801	2507	5049	3915
gene-Saur515_RS09070	NZ_JAKRSL010000009.1	20335	21117	+	783	38	101	35	114	117	20	39	47	31
gene-Saur515_RS09075	NZ_JAKRSL010000009.1	21185	22042	+	858	328	1032	227	1199	1105	155	245	442	349
gene-Saur515_RS09085	NZ_JAKRSL010000009.1	22747	22839	-	93	3	9	0	11	12	1	1	1	2
gene-Saur515_RS09090	NZ_JAKRSL010000009.1	23128	24264	+	1137	62	223	60	277	274	36	76	97	75
gene-Saur515_RS09100	NZ_JAKRSL010000009.1	24951	25055	+	105	266	138	128	205	172	124	106	152	224
gene-Saur515_RS09110	NZ_JAKRSL010000009.1	25612	26703	-	1092	1244	5118	1476	5593	5579	703	1465	2162	1521
gene-Saur515_RS09115	NZ_JAKRSL010000009.1	26969	27949	-	981	941	612	636	750	687	594	567	973	1360
gene-Saur515_RS09120	NZ_JAKRSL010000009.1	27951	28271	-	321	429	240	280	281	259	237	223	411	497
gene-Saur515_RS09125	NZ_JAKRSL010000009.1	28423	29088	+	666	536	749	264	851	632	231	248	386	392
gene-Saur515_RS09130	NZ_JAKRSL010000009.1	29523	30461	+	939	345	1059	249	1316	1214	171	298	456	393
gene-Saur515_RS09135	NZ_JAKRSL010000009.1	30492	30722	+	231	103	292	70	344	329	62	100	137	119
gene-Saur515_RS09140	NZ_JAKRSL010000009.1	31394	32767	+	1374	399	1358	343	1622	1388	213	405	603	411
gene-Saur515_RS09145	NZ_JAKRSL010000009.1	33225	33638	+	414	348	919	228	1069	1044	163	215	411	289
gene-Saur515_RS09150	NZ_JAKRSL010000009.1	33838	34281	+	444	694	1607	389	1922	1831	321	512	825	793
gene-Saur515_RS09155	NZ_JAKRSL010000009.1	34402	35112	-	711	1290	5982	984	6988	6919	790	1149	1760	2309
gene-Saur515_RS09160	NZ_JAKRSL010000009.1	35427	36089	+	663	803	2653	915	2840	2965	561	839	1396	1221
gene-Saur515_RS09165	NZ_JAKRSL010000009.1	36368	37669	+	1302	1413	4398	1562	4826	5009	954	1551	2508	1972
gene-Saur515_RS09170	NZ_JAKRSL010000009.1	37683	38033	+	351	609	1387	515	1673	1533	429	633	948	872
gene-Saur515_RS09175	NZ_JAKRSL010000009.1	38185	38655	-	471	374	1123	240	1410	1210	222	277	524	542
gene-Saur515_RS09180	NZ_JAKRSL010000009.1	38966	40150	+	1185	77	316	70	350	338	61	75	108	112
gene-Saur515_RS09185	NZ_JAKRSL010000009.1	40150	41343	+	1194	119	464	120	531	547	80	139	168	172
gene-Saur515_RS09190	NZ_JAKRSL010000009.1	41742	42413	+	672	173	840	111	1105	987	79	145	198	203
gene-Saur515_RS09195	NZ_JAKRSL010000009.1	42543	43346	-	804	250	873	169	1081	984	113	222	304	300
gene-Saur515_RS09200	NZ_JAKRSL010000009.1	43770	44630	+	861	122	338	103	431	377	65	110	179	155
gene-Saur515_RS09205	NZ_JAKRSL010000009.1	44742	45272	+	531	609	2462	406	3130	2802	336	683	930	864
gene-Saur515_RS09210	NZ_JAKRSL010000009.1	45608	47218	+	1611	1056	4158	1121	4722	4837	737	1230	1718	1741
gene-Saur515_RS09215	NZ_JAKRSL010000009.1	47327	47848	-	522	76	325	67	444	323	29	117	136	78
gene-Saur515_RS09220	NZ_JAKRSL010000009.1	48066	48926	+	861	11547	40606	10838	48549	50545	6775	12538	19018	16969
gene-Saur515_RS09225	NZ_JAKRSL010000009.1	49392	50651	+	1260	432	1223	464	1460	1413	287	551	766	600
gene-Saur515_RS09230	NZ_JAKRSL010000009.1	50740	51075	+	336	209	589	195	661	607	125	223	324	354
gene-Saur515_RS09235	NZ_JAKRSL010000009.1	51313	52740	+	1428	1301	2213	735	2561	2505	623	765	1157	1255
gene-Saur515_RS09240	NZ_JAKRSL010000009.1	52987	54303	+	1317	688	2663	1034	3129	3046	429	1107	1488	1091
gene-Saur515_RS09245	NZ_JAKRSL010000009.1	54421	54675	+	255	540	2197	662	3042	2139	390	914	1264	957
gene-Saur515_RS09250	NZ_JAKRSL010000009.1	55022	55621	+	600	166	752	165	845	823	91	198	265	249
gene-Saur515_RS09255	NZ_JAKRSL010000009.1	55622	56698	+	1077	378	1518	411	1718	1797	233	515	678	528
gene-Saur515_RS09260	NZ_JAKRSL010000009.1	56685	57521	+	837	295	1167	344	1268	1387	178	360	521	471
gene-Saur515_RS09265	NZ_JAKRSL010000009.1	57605	58651	+	1047	118	510	100	535	538	77	102	153	166
gene-Saur515_RS09270	NZ_JAKRSL010000009.1	58648	59067	+	420	55	221	38	259	209	20	36	55	63
gene-Saur515_RS09275	NZ_JAKRSL010000009.1	59174	59698	+	525	705	2165	892	2454	2270	577	1008	1450	1235
gene-Saur515_RS09280	NZ_JAKRSL010000009.1	59725	60963	+	1239	1282	4984	2071	5304	5123	1134	2081	3082	2446
gene-Saur515_RS09285	NZ_JAKRSL010000009.1	60991	61620	+	630	809	2703	1190	2841	2749	658	1139	1784	1377
gene-Saur515_RS09290	NZ_JAKRSL010000009.1	61644	62771	+	1128	1645	4443	2234	4618	4527	1283	2152	3479	2525
gene-Saur515_RS09295	NZ_JAKRSL010000009.1	62839	63291	+	453	1562	3115	1514	3607	3359	1143	1690	2656	2440
gene-Saur515_RS09300	NZ_JAKRSL010000009.1	63312	64040	+	729	1306	5329	2062	5874	5921	1140	2047	3223	2531
gene-Saur515_RS09305	NZ_JAKRSL010000009.1	64083	64295	+	213	696	2845	1188	3039	3007	568	1218	1796	1274
gene-Saur515_RS09310	NZ_JAKRSL010000009.1	64493	65014	+	522	608	4080	1587	4150	4132	741	1579	2378	1585
gene-Saur515_RS09315	NZ_JAKRSL010000009.1	65014	65553	+	540	522	3440	1223	3681	3607	636	1327	1936	1356
gene-Saur515_RS09320	NZ_JAKRSL010000009.1	65575	67083	+	1509	1332	8371	3016	8744	8546	1416	3112	4628	3561
gene-Saur515_RS09325	NZ_JAKRSL010000009.1	67114	67980	+	867	1225	5705	2199	6241	6010	1046	2245	3384	2355
gene-Saur515_RS09330	NZ_JAKRSL010000009.1	68002	69414	+	1413	3055	11065	4324	11796	12035	2380	4363	6826	6016
gene-Saur515_RS09335	NZ_JAKRSL010000009.1	69434	69838	+	405	1377	3183	1401	3510	3663	977	1497	2336	2266
gene-Saur515_RS09340	NZ_JAKRSL010000009.1	70176	70268	+	93	0	0	3	1	2	0	1	3	1
gene-Saur515_RS09345	NZ_JAKRSL010000009.1	70400	70633	+	234	95	224	65	293	268	50	88	85	92
gene-Saur515_RS09350	NZ_JAKRSL010000009.1	70744	72009	+	1266	1438	3546	1153	4018	3953	872	1311	1617	1826
gene-Saur515_RS09355	NZ_JAKRSL010000009.1	72043	72483	+	441	555	1211	435	1433	1358	341	503	610	792
gene-Saur515_RS09360	NZ_JAKRSL010000009.1	72542	72982	-	441	92	258	38	321	249	45	59	100	77
gene-Saur515_RS09365	NZ_JAKRSL010000009.1	73176	73571	+	396	8	53	13	68	65	3	14	14	14
gene-Saur515_RS09370	NZ_JAKRSL010000009.1	73960	74655	+	696	10	37	17	30	37	3	15	16	18
gene-Saur515_RS09375	NZ_JAKRSL010000009.1	75041	75730	+	690	6	15	5	18	13	7	6	7	9
gene-Saur515_RS09380	NZ_JAKRSL010000009.1	75723	76553	+	831	11	21	6	24	21	8	6	13	7
gene-Saur515_RS09385	NZ_JAKRSL010000009.1	76537	77328	+	792	13	29	10	41	36	12	11	20	12
gene-Saur515_RS09390	NZ_JAKRSL010000009.1	77330	77971	+	642	12	29	15	31	37	5	13	20	25
gene-Saur515_RS09395	NZ_JAKRSL010000009.1	78057	78929	+	873	1987	5977	1702	7655	7650	1062	2211	3005	3079
gene-Saur515_RS09400	NZ_JAKRSL010000009.1	79742	80389	-	648	121	433	124	489	543	83	130	186	211
gene-Saur515_RS09405	NZ_JAKRSL010000009.1	80417	81901	-	1485	151	615	116	707	674	82	125	186	183
gene-Saur515_RS09410	NZ_JAKRSL010000009.1	82067	82360	+	294	55	155	59	207	157	22	39	63	60
gene-Saur515_RS09415	NZ_JAKRSL010000009.1	82372	82581	+	210	64	179	56	230	194	26	54	84	73
gene-Saur515_RS09420	NZ_JAKRSL010000009.1	82709	82846	+	138	320	634	278	922	642	254	261	475	325
gene-Saur515_RS09425	NZ_JAKRSL010000009.1	83110	84312	-	1203	453	1722	324	1896	1922	223	404	623	574
gene-Saur515_RS09430	NZ_JAKRSL010000009.1	84630	85700	+	1071	337	1273	392	1499	1403	248	443	619	558
gene-Saur515_RS09435	NZ_JAKRSL010000009.1	85715	87073	+	1359	458	1624	600	1780	1824	375	625	925	750
gene-Saur515_RS09440	NZ_JAKRSL010000009.1	87590	89110	+	1521	1092	6503	1153	7434	7162	708	1649	1763	2146
gene-Saur515_RS09445	NZ_JAKRSL010000009.1	89479	90174	-	696	13	29	10	31	30	4	9	13	12
gene-Saur515_RS09450	NZ_JAKRSL010000009.1	90174	92831	-	2658	31	103	18	97	91	17	18	31	34
gene-Saur515_RS09455	NZ_JAKRSL010000009.1	92969	93079	+	111	0	1	0	0	0	1	0	0	0
gene-Saur515_RS09460	NZ_JAKRSL010000009.1	93103	94779	+	1677	0	4	3	8	8	2	4	6	2
gene-Saur515_RS09465	NZ_JAKRSL010000009.1	94798	96825	+	2028	11	55	13	60	61	6	12	18	17
gene-Saur515_RS09470	NZ_JAKRSL010000009.1	96845	97405	+	561	25	72	8	106	90	7	9	16	16
gene-Saur515_RS09475	NZ_JAKRSL010000009.1	97613	98092	+	480	36	107	32	160	122	11	29	42	31
gene-Saur515_RS09480	NZ_JAKRSL010000009.1	98085	99668	+	1584	140	629	193	714	645	90	196	254	207
gene-Saur515_RS09485	NZ_JAKRSL010000009.1	99655	100146	+	492	88	351	115	377	371	57	137	181	161
gene-Saur515_RS09490	NZ_JAKRSL010000009.1	100150	100509	+	360	80	325	97	387	331	55	131	174	135
gene-Saur515_RS09495	NZ_JAKRSL010000009.1	100575	101723	+	1149	268	915	266	1059	957	185	308	428	381
gene-Saur515_RS09500	NZ_JAKRSL010000009.1	101808	101978	+	171	275	713	196	903	781	181	245	365	349
gene-Saur515_RS09505	NZ_JAKRSL010000009.1	101975	102337	+	363	374	1109	295	1431	1194	256	378	570	519
gene-Saur515_RS09510	NZ_JAKRSL010000009.1	102687	103688	+	1002	236	1030	277	1114	1069	160	306	470	382
gene-Saur515_RS09515	NZ_JAKRSL010000009.1	103807	104133	+	327	350	1141	297	1248	1361	207	350	531	400
gene-Saur515_RS09520	NZ_JAKRSL010000009.1	104135	104614	+	480	695	1852	543	2153	2246	390	637	909	691
gene-Saur515_RS09525	NZ_JAKRSL010000009.1	104589	105359	+	771	1138	2853	861	3257	3509	659	975	1415	1112
gene-Saur515_RS09530	NZ_JAKRSL010000009.1	105793	107943	+	2151	291	1291	335	1428	1393	199	337	555	500
gene-Saur515_RS09535	NZ_JAKRSL010000009.1	107936	108391	+	456	74	344	104	333	338	56	96	166	155
gene-Saur515_RS09540	NZ_JAKRSL010000009.1	109038	109120	+	83	10	50	6	46	35	7	8	13	17
gene-Saur515_RS09545	NZ_JAKRSL010000009.1	109143	109216	+	74	7	38	2	37	28	8	7	15	12
gene-Saur515_RS08460	NZ_JAKRSL010000008.1	109	309	+	201	3	13	0	14	14	2	4	7	4
gene-Saur515_RS08465	NZ_JAKRSL010000008.1	386	517	+	132	5	12	2	14	25	4	6	8	5
gene-Saur515_RS08470	NZ_JAKRSL010000008.1	779	1438	+	660	118	341	82	395	380	59	86	131	152
gene-Saur515_RS08475	NZ_JAKRSL010000008.1	1435	2790	+	1356	249	560	144	662	626	137	145	244	270
gene-Saur515_RS08480	NZ_JAKRSL010000008.1	3074	5872	+	2799	779	2813	986	3011	2943	558	885	1545	1338
gene-Saur515_RS08485	NZ_JAKRSL010000008.1	5886	7154	+	1269	314	2072	551	2197	2013	243	513	814	616
gene-Saur515_RS08490	NZ_JAKRSL010000008.1	7734	8543	+	810	1010	2050	643	2209	1959	477	732	1275	1145
gene-Saur515_RS08495	NZ_JAKRSL010000008.1	8572	8775	+	204	431	1024	298	1178	931	220	343	663	498
gene-Saur515_RS08500	NZ_JAKRSL010000008.1	8956	9747	+	792	47	214	41	257	213	31	47	77	69
gene-Saur515_RS08505	NZ_JAKRSL010000008.1	9761	11647	+	1887	102	431	100	476	418	58	92	141	154
gene-Saur515_RS08510	NZ_JAKRSL010000008.1	11872	13215	+	1344	55	332	41	374	343	30	80	76	116
gene-Saur515_RS08520	NZ_JAKRSL010000008.1	14228	15364	-	1137	702	1949	535	2068	2046	394	497	908	844
gene-Saur515_RS08525	NZ_JAKRSL010000008.1	15396	16025	-	630	349	936	240	940	891	176	206	385	365
gene-Saur515_RS08530	NZ_JAKRSL010000008.1	16044	16313	-	270	112	283	77	310	229	67	95	134	117
gene-Saur515_RS08535	NZ_JAKRSL010000008.1	16476	16784	+	309	241	463	127	569	462	141	165	245	216
gene-Saur515_RS08540	NZ_JAKRSL010000008.1	16955	17155	+	201	1931	4627	1646	7076	5764	1810	1600	2715	3552
gene-Saur515_RS08545	NZ_JAKRSL010000008.1	17352	17753	+	402	18	36	7	25	31	8	13	19	23
gene-Saur515_RS08550	NZ_JAKRSL010000008.1	17993	19258	-	1266	117	551	138	571	595	65	124	211	157
gene-Saur515_RS08555	NZ_JAKRSL010000008.1	19248	20333	-	1086	34	162	46	181	175	17	36	64	48
gene-Saur515_RS08560	NZ_JAKRSL010000008.1	20338	21489	-	1152	24	104	28	108	105	13	30	29	26
gene-Saur515_RS08565	NZ_JAKRSL010000008.1	21632	22351	-	720	60	151	46	177	175	25	55	91	68
gene-Saur515_RS08570	NZ_JAKRSL010000008.1	22378	23100	-	723	34	149	41	154	133	18	41	64	46
gene-Saur515_RS08575	NZ_JAKRSL010000008.1	23097	23984	-	888	52	124	38	157	135	17	46	65	40
gene-Saur515_RS08580	NZ_JAKRSL010000008.1	23986	24975	-	990	39	142	34	157	142	22	42	55	28
gene-Saur515_RS08585	NZ_JAKRSL010000008.1	25039	26244	-	1206	19	53	16	55	83	14	18	28	25
gene-Saur515_RS08590	NZ_JAKRSL010000008.1	27104	28705	-	1602	444	1752	533	1870	2091	280	549	743	804
gene-Saur515_RS08595	NZ_JAKRSL010000008.1	28852	29754	+	903	529	1400	342	1655	1468	212	444	626	578
gene-Saur515_RS08605	NZ_JAKRSL010000008.1	30726	31709	+	984	40	24	20	27	23	30	22	38	66
gene-Saur515_RS08610	NZ_JAKRSL010000008.1	31900	32826	+	927	10	13	7	15	5	6	3	9	14
gene-Saur515_RS08615	NZ_JAKRSL010000008.1	32828	33745	+	918	10	15	3	7	10	5	5	7	11
gene-Saur515_RS08620	NZ_JAKRSL010000008.1	33792	34643	+	852	13	24	7	26	24	6	12	7	16
gene-Saur515_RS08625	NZ_JAKRSL010000008.1	34650	35291	+	642	7	35	5	33	21	8	7	9	11
gene-Saur515_RS08630	NZ_JAKRSL010000008.1	35431	37245	-	1815	394	1320	305	1580	1574	196	365	505	534
gene-Saur515_RS08635	NZ_JAKRSL010000008.1	37450	37794	+	345	28	64	11	91	62	14	23	24	37
gene-Saur515_RS08640	NZ_JAKRSL010000008.1	37742	37927	+	186	24	58	10	76	53	13	22	20	38
gene-Saur515_RS08645	NZ_JAKRSL010000008.1	38098	39084	+	987	19	31	8	44	47	12	10	15	28
gene-Saur515_RS08650	NZ_JAKRSL010000008.1	39077	39907	+	831	15	34	15	53	33	12	13	24	16
gene-Saur515_RS08655	NZ_JAKRSL010000008.1	39894	40667	+	774	14	21	23	27	39	9	13	27	12
gene-Saur515_RS08660	NZ_JAKRSL010000008.1	40660	41361	+	702	46	76	22	91	102	17	36	47	46
gene-Saur515_RS08665	NZ_JAKRSL010000008.1	41485	41958	+	474	115	111	44	167	117	60	63	92	121
gene-Saur515_RS08670	NZ_JAKRSL010000008.1	42006	42773	-	768	46	170	19	198	155	21	44	46	51
gene-Saur515_RS08675	NZ_JAKRSL010000008.1	43456	44715	-	1260	1146	3769	911	4236	4174	649	1016	1580	1430
gene-Saur515_RS08680	NZ_JAKRSL010000008.1	44734	45996	-	1263	970	3572	692	4096	3839	569	863	1230	1124
gene-Saur515_RS08685	NZ_JAKRSL010000008.1	46318	47046	-	729	21	83	19	101	105	9	20	37	27
gene-Saur515_RS08690	NZ_JAKRSL010000008.1	47039	48253	-	1215	11	72	17	84	68	4	13	24	13
gene-Saur515_RS08695	NZ_JAKRSL010000008.1	48246	48878	-	633	3	31	12	40	25	2	9	10	6
gene-Saur515_RS08700	NZ_JAKRSL010000008.1	48878	49660	-	783	1	39	12	32	39	1	12	19	5
gene-Saur515_RS08705	NZ_JAKRSL010000008.1	49662	50660	-	999	7	71	19	61	73	1	13	17	10
gene-Saur515_RS08710	NZ_JAKRSL010000008.1	50666	51232	-	567	4	45	8	55	50	3	9	8	7
gene-Saur515_RS08715	NZ_JAKRSL010000008.1	51229	52635	-	1407	11	136	13	136	148	4	18	15	11
gene-Saur515_RS08720	NZ_JAKRSL010000008.1	53127	54158	-	1032	243	740	209	898	872	189	237	348	332
gene-Saur515_RS08725	NZ_JAKRSL010000008.1	54323	55414	+	1092	172	401	135	563	507	90	153	205	247
