# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948489_sorted.bam" "SRR8948488_sorted.bam" "SRR8948486_sorted.bam" "SRR8948487_sorted.bam" "SRR8948483_sorted.bam" "SRR8948480_sorted.bam" "SRR8948477_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948489_sorted.bam	SRR8948488_sorted.bam	SRR8948486_sorted.bam	SRR8948487_sorted.bam	SRR8948483_sorted.bam	SRR8948480_sorted.bam	SRR8948477_sorted.bam
gene-PA1797	NC_002516.2	1948502	1950334	-	1833	101	75	90	63	101	195	380
gene-PA1798	NC_002516.2	1950439	1951725	-	1287	166	140	57	72	46	44	144
gene-PA1799	NC_002516.2	1951726	1952433	-	708	72	50	43	26	22	9	40
gene-PA1800	NC_002516.2	1952665	1953975	+	1311	8693	7342	6109	4405	157	655	4370
gene-PA1801	NC_002516.2	1954069	1954710	+	642	2596	2430	2330	1439	189	673	1757
gene-PA1802	NC_002516.2	1954815	1956095	+	1281	4923	5497	4687	3192	608	1529	5100
gene-PA1803	NC_002516.2	1956227	1958623	+	2397	2467	4040	2185	1646	385	1660	4084
gene-PA1804	NC_002516.2	1958759	1959031	+	273	19576	22537	17889	11156	167	905	8098
gene-PA1804.1	NC_002516.2	1959083	1959159	+	77	5885	5497	4762	2938	63	508	2326
gene-PA1805	NC_002516.2	1959263	1961128	+	1866	4478	3467	2573	2125	121	557	1940
gene-PA1806	NC_002516.2	1961227	1962024	-	798	186	169	165	111	10	53	170
gene-PA1807	NC_002516.2	1962046	1963656	-	1611	151	152	90	91	62	35	122
gene-PA1808	NC_002516.2	1963658	1964677	-	1020	107	111	51	50	21	12	69
gene-PA1809	NC_002516.2	1964682	1965764	-	1083	181	157	78	104	25	45	133
gene-PA1810	NC_002516.2	1965771	1967618	-	1848	363	391	210	202	25	48	222
gene-PA1811	NC_002516.2	1967615	1969444	-	1830	237	257	169	126	66	16	154
gene-PA1812	NC_002516.2	1969635	1971239	-	1605	782	745	476	406	68	108	539
gene-PA1813	NC_002516.2	1971317	1972093	-	777	98	112	89	58	16	16	68
gene-PA1814	NC_002516.2	1972195	1972956	+	762	272	287	289	175	26	140	376
gene-PA1815	NC_002516.2	1972959	1973405	+	447	158	188	270	152	29	80	246
gene-PA1816	NC_002516.2	1973470	1974210	+	741	392	298	317	188	50	105	314
gene-PA1817	NC_002516.2	1974238	1974627	-	390	119	85	100	64	22	39	137
gene-PA1818	NC_002516.2	1974821	1977076	+	2256	338	345	379	213	79	146	390
gene-PA1819	NC_002516.2	1977100	1978455	+	1356	457	300	333	216	82	175	406
gene-PA1820	NC_002516.2	1978439	1979941	-	1503	235	206	164	102	39	80	244
gene-PA1821	NC_002516.2	1980165	1980977	+	813	774	906	669	479	26	117	510
gene-PA1822	NC_002516.2	1981017	1982705	+	1689	971	961	930	609	88	318	901
gene-PA1823	NC_002516.2	1982705	1983541	+	837	481	398	407	307	57	224	580
gene-PA1824	NC_002516.2	1983509	1984288	-	780	285	244	177	152	44	104	358
gene-PA1825	NC_002516.2	1984389	1985033	+	645	95	100	81	50	32	61	160
gene-PA1826	NC_002516.2	1985030	1985935	-	906	153	129	99	78	21	61	158
gene-PA1827	NC_002516.2	1986067	1986828	+	762	32	31	14	13	19	9	15
gene-PA1828	NC_002516.2	1986989	1987756	-	768	79	57	50	39	13	8	86
gene-PA1829	NC_002516.2	1987781	1988851	-	1071	67	67	50	35	42	15	67
gene-PA1830	NC_002516.2	1989109	1989423	-	315	2934	3258	1998	1515	28	106	1397
gene-PA1831	NC_002516.2	1989484	1990194	-	711	304	369	197	169	33	62	304
gene-PA1832	NC_002516.2	1990428	1991453	+	1026	359	331	283	216	34	88	294
gene-PA1833	NC_002516.2	1991512	1992504	+	993	609	433	620	361	86	244	690
gene-PA1833a	NC_002516.2	1992491	1993366	-	876	189	142	174	110	45	100	234
gene-PA1835	NC_002516.2	1993461	1993898	-	438	32	43	36	17	15	25	73
gene-PA1836	NC_002516.2	1994021	1994602	+	582	46	72	49	34	19	15	65
gene-PA1837	NC_002516.2	1994667	1995164	-	498	148	117	277	70	25	45	119
gene-PA1838	NC_002516.2	1995148	1996806	-	1659	400	336	905	216	65	59	215
gene-PA1837a	NC_002516.2	1997217	1997444	-	228	24	20	15	6	14	2	16
gene-PA1839	NC_002516.2	1997509	1998549	-	1041	269	203	155	129	32	69	229
gene-PA1840	NC_002516.2	1998587	1998949	+	363	106	110	78	46	15	25	108
gene-PA1841	NC_002516.2	1998963	1999460	+	498	185	138	123	95	22	34	190
gene-PA1842	NC_002516.2	1999512	1999874	-	363	116	137	92	81	21	24	141
gene-PA1843	NC_002516.2	1999889	2003593	-	3705	1166	1070	853	582	110	275	1054
gene-PA1844	NC_002516.2	2003868	2004332	-	465	85	66	40	53	7	19	68
gene-PA1845	NC_002516.2	2004374	2004892	-	519	70	54	21	37	10	10	32
gene-PA1846	NC_002516.2	2005254	2007542	+	2289	816	634	525	405	104	218	635
gene-PA1847	NC_002516.2	2007665	2008249	+	585	597	562	428	366	32	62	288
gene-PA1848	NC_002516.2	2008308	2009477	-	1170	51	29	23	19	22	24	53
gene-PA1849	NC_002516.2	2009482	2009724	-	243	1	10	1	1	6	3	7
gene-PA1850	NC_002516.2	2009747	2010751	-	1005	47	55	33	28	20	19	76
gene-PA1851	NC_002516.2	2011000	2012205	+	1206	36	32	31	40	19	22	56
gene-PA1852	NC_002516.2	2012255	2012530	-	276	407	481	407	276	25	105	455
gene-PA1853	NC_002516.2	2012815	2013678	+	864	318	232	247	154	43	102	318
gene-PA1854	NC_002516.2	2013666	2014823	-	1158	79	66	47	32	44	39	110
gene-PA1855	NC_002516.2	2014915	2015136	-	222	7	7	7	2	4	5	15
gene-PA1856	NC_002516.2	2015139	2016581	-	1443	90	104	52	40	27	22	76
gene-PA1857	NC_002516.2	2016928	2017851	-	924	221	189	115	120	30	28	150
gene-PA1858	NC_002516.2	2017967	2018794	-	828	51	37	29	23	36	33	58
gene-PA1859	NC_002516.2	2018803	2019690	-	888	37	36	14	16	29	13	30
gene-PA1860	NC_002516.2	2019776	2020603	+	828	30	31	23	17	11	15	63
gene-PA1861	NC_002516.2	2020625	2021710	-	1086	75	49	35	30	26	30	67
gene-PA1862	NC_002516.2	2021712	2022398	-	687	114	108	94	60	18	18	99
gene-PA1863	NC_002516.2	2022411	2023166	-	756	105	86	55	41	12	27	100
gene-PA1864	NC_002516.2	2023281	2023931	-	651	12	6	7	2	16	2	9
gene-PA1865	NC_002516.2	2024065	2025744	+	1680	86	82	69	60	39	35	111
gene-PA1866	NC_002516.2	2025737	2028013	+	2277	258	242	199	156	78	104	275
gene-PA1866a	NC_002516.2	2028103	2028312	+	210	40	38	28	18	4	19	60
gene-PA1867	NC_002516.2	2028454	2028981	+	528	10	6	3	4	10	4	9
gene-PA1868	NC_002516.2	2028968	2031298	+	2331	53	28	26	16	41	23	41
gene-PA1869	NC_002516.2	2031466	2031705	+	240	53	61	34	27	7	14	60
gene-PA1870	NC_002516.2	2031988	2032413	+	426	8	14	5	7	4	3	19
gene-PA1871	NC_002516.2	2032695	2033951	+	1257	44	55	35	20	22	19	56
gene-PA1872	NC_002516.2	2034066	2034857	-	792	85	77	76	51	20	26	78
gene-PA1873	NC_002516.2	2034918	2035940	-	1023	10	10	18	4	31	4	15
gene-PA1874	NC_002516.2	2036441	2043847	+	7407	680	496	517	357	339	477	908
gene-PA1875	NC_002516.2	2043847	2045124	+	1278	66	42	45	40	23	40	78
gene-PA1876	NC_002516.2	2045114	2047285	+	2172	51	30	25	18	30	27	55
gene-PA1877	NC_002516.2	2047275	2048462	+	1188	12	18	10	7	21	5	23
gene-PA1878	NC_002516.2	2048570	2049148	-	579	20	18	15	9	11	12	31
gene-PA1879	NC_002516.2	2049237	2049791	-	555	21	12	12	10	17	9	31
gene-PA1880	NC_002516.2	2049949	2052144	-	2196	66	53	48	35	48	24	84
gene-PA1881	NC_002516.2	2052149	2052610	-	462	3	2	4	7	7	2	7
gene-PA1882	NC_002516.2	2052941	2053264	+	324	48	53	37	35	3	14	40
gene-PA1883	NC_002516.2	2053277	2053675	+	399	16	25	16	5	25	14	30
gene-PA1884	NC_002516.2	2053672	2054223	-	552	85	62	41	29	17	34	82
gene-PA1885	NC_002516.2	2054309	2054842	+	534	68	48	46	30	18	21	82
gene-PA1886	NC_002516.2	2054911	2057274	+	2364	185	131	114	72	53	90	237
gene-PA1887	NC_002516.2	2057278	2057946	-	669	28	35	18	9	14	10	46
gene-PA1888	NC_002516.2	2057930	2059339	-	1410	31	50	38	20	42	26	41
gene-PA1889	NC_002516.2	2059569	2060552	+	984	250	172	138	111	32	38	247
gene-PA1890	NC_002516.2	2060566	2061189	-	624	133	105	90	65	29	30	158
gene-PA1891	NC_002516.2	2061278	2061667	-	390	8	3	2	2	9	15	47
gene-PA1892	NC_002516.2	2061664	2062401	-	738	6	7	10	3	30	16	33
gene-PA1893	NC_002516.2	2062398	2064827	-	2430	41	25	33	19	53	30	78
gene-PA1894	NC_002516.2	2064853	2065545	-	693	12	11	5	0	34	3	14
gene-PA1895	NC_002516.2	2065493	2066767	-	1275	8	31	9	7	39	4	27
gene-PA1896	NC_002516.2	2066786	2067955	-	1170	15	24	23	8	16	18	35
gene-PA1897	NC_002516.2	2067961	2068728	-	768	9	18	6	9	31	3	22
gene-PA1898	NC_002516.2	2069490	2070203	+	714	25	39	28	13	16	23	35
gene-PA1899	NC_002516.2	2070685	2071173	+	489	3	6	1	2	14	0	3
gene-PA1900	NC_002516.2	2071209	2071697	+	489	3	11	4	4	8	0	5
gene-PA1901	NC_002516.2	2071721	2072938	+	1218	258	120	107	98	37	113	280
gene-PA1902	NC_002516.2	2072935	2073558	+	624	3	6	2	3	14	0	6
gene-PA1903	NC_002516.2	2073555	2075438	+	1884	24	23	17	17	30	11	40
gene-PA1904	NC_002516.2	2075452	2076288	+	837	11	14	9	5	18	12	14
gene-PA1905	NC_002516.2	2076311	2076958	+	648	21	18	14	3	23	3	17
gene-PA1906	NC_002516.2	2077047	2077583	-	537	24	10	25	19	10	7	33
gene-PA1907	NC_002516.2	2077626	2079266	-	1641	23	21	9	6	28	14	42
gene-PA1908	NC_002516.2	2079263	2080474	-	1212	24	8	4	4	31	13	18
gene-PA1909	NC_002516.2	2080661	2081812	-	1152	10	11	9	6	41	7	18
gene-PA1910	NC_002516.2	2081853	2084267	-	2415	28	28	24	17	71	17	42
gene-PA1911	NC_002516.2	2084476	2085426	-	951	22	18	10	12	9	13	42
gene-PA1912	NC_002516.2	2085423	2085929	-	507	39	12	14	15	14	4	23
gene-PA1913	NC_002516.2	2086021	2086701	-	681	169	99	85	46	19	16	79
gene-PA1914	NC_002516.2	2086808	2088034	-	1227	14	26	13	7	49	9	16
gene-PA1915	NC_002516.2	2088602	2090149	-	1548	73	81	59	51	36	37	74
gene-PA1916	NC_002516.2	2090213	2091445	-	1233	2	10	7	4	33	6	21
gene-PA1917	NC_002516.2	2091490	2091837	-	348	2	8	0	1	8	6	7
gene-PA1918	NC_002516.2	2091850	2093250	-	1401	22	17	11	9	34	12	17
gene-PA1919	NC_002516.2	2093444	2094142	-	699	52	24	25	16	12	9	74
gene-PA1920	NC_002516.2	2094329	2096356	-	2028	5	14	9	9	40	7	30
gene-PA1921	NC_002516.2	2096514	2097323	-	810	6	2	1	4	8	2	11
gene-PA1922	NC_002516.2	2097491	2099452	+	1962	7	11	7	5	38	4	15
gene-PA1923	NC_002516.2	2099452	2103297	+	3846	32	43	18	18	80	16	70
gene-PA1924	NC_002516.2	2103294	2103770	+	477	3	2	6	2	14	3	7
gene-PA1925	NC_002516.2	2103770	2104096	+	327	1	3	2	2	8	1	2
gene-PA1926	NC_002516.2	2104597	2106447	+	1851	361	236	230	178	40	135	379
gene-PA1927	NC_002516.2	2106580	2108880	+	2301	99	83	53	36	60	55	143
gene-PA1928	NC_002516.2	2108942	2109511	-	570	16	20	17	21	31	8	29
gene-PA1929	NC_002516.2	2109558	2109854	-	297	23	11	17	14	5	10	16
gene-PA1930	NC_002516.2	2110226	2111521	+	1296	27	41	26	23	46	10	29
gene-PA1931	NC_002516.2	2111691	2112203	+	513	21	13	14	12	17	15	35
gene-PA1932	NC_002516.2	2112200	2113189	+	990	43	48	31	29	29	37	90
gene-PA1933	NC_002516.2	2113186	2115390	+	2205	648	476	406	332	78	151	657
gene-PA1934	NC_002516.2	2115885	2116265	+	381	52	63	51	44	10	11	40
gene-PA1937	NC_002516.2	2118585	2118893	+	309	13	23	13	7	7	6	11
gene-PA1938	NC_002516.2	2118926	2119747	+	822	28	38	32	20	19	16	60
gene-PA1939	NC_002516.2	2120225	2122222	-	1998	653	884	509	438	78	146	612
gene-PA1940	NC_002516.2	2122579	2123718	-	1140	51	76	64	37	32	41	73
gene-PA1941	NC_002516.2	2123897	2125792	-	1896	179	174	101	106	41	27	146
gene-PA1942	NC_002516.2	2126104	2126334	-	231	0	5	1	3	6	0	2
gene-PA1943	NC_002516.2	2126396	2127493	-	1098	55	48	34	23	13	30	85
gene-PA1944	NC_002516.2	2127684	2129171	+	1488	43	73	48	42	39	11	64
gene-PA1945	NC_002516.2	2129307	2130635	+	1329	44	37	42	31	28	23	95
gene-PA1946	NC_002516.2	2130854	2131813	+	960	146	231	189	83	157	243	465
gene-PA1947	NC_002516.2	2131835	2133367	+	1533	54	68	77	32	126	248	304
gene-PA1948	NC_002516.2	2133391	2134389	+	999	76	49	76	38	67	80	115
gene-PA1949	NC_002516.2	2134393	2135406	+	1014	134	115	146	65	110	225	316
gene-PA1950	NC_002516.2	2135460	2136386	+	927	271	207	203	159	139	257	518
gene-PA1951	NC_002516.2	2136520	2137785	-	1266	50	59	46	37	50	68	97
gene-PA1952	NC_002516.2	2137846	2138598	-	753	7	2	1	5	25	11	23
gene-PA1953	NC_002516.2	2138612	2139292	-	681	26	12	8	11	22	11	22
gene-PA1954	NC_002516.2	2139354	2140376	-	1023	14	30	8	13	39	16	24
gene-PA1955	NC_002516.2	2140433	2141002	-	570	4	6	2	5	8	3	8
gene-PA1956	NC_002516.2	2140999	2141487	-	489	4	8	4	3	22	3	18
gene-PA1957	NC_002516.2	2141790	2142317	-	528	70	27	22	25	11	14	49
gene-PA1958	NC_002516.2	2142314	2142889	-	576	198	172	116	93	31	48	154
gene-PA1959	NC_002516.2	2143173	2144006	+	834	260	224	187	147	70	75	356
gene-PA1960	NC_002516.2	2144077	2144799	+	723	120	64	70	54	25	57	184
gene-PA1961	NC_002516.2	2144810	2145745	-	936	76	68	49	53	31	26	105
gene-PA1962	NC_002516.2	2145894	2146502	+	609	26	13	6	12	11	7	18
gene-PA1963	NC_002516.2	2146609	2146875	+	267	83	94	109	67	8	18	92
gene-PA1964	NC_002516.2	2146961	2148526	-	1566	689	391	350	243	57	109	402
gene-PA1965	NC_002516.2	2148854	2149189	+	336	93	96	54	50	5	18	82
gene-PA1966	NC_002516.2	2149472	2149843	+	372	183	97	91	73	14	27	129
gene-PA1967	NC_002516.2	2149864	2150364	-	501	88	62	73	42	14	19	113
gene-PA1968	NC_002516.2	2150524	2150781	+	258	32	25	13	10	5	7	53
gene-PA1969	NC_002516.2	2150828	2151220	+	393	493	213	197	160	12	42	331
gene-PA1970	NC_002516.2	2151287	2151526	-	240	83	43	39	31	7	11	42
gene-PA1971	NC_002516.2	2151755	2153068	-	1314	216	121	71	92	31	27	112
gene-PA1972	NC_002516.2	2153594	2155297	+	1704	22	26	6	9	31	15	24
gene-PA1973	NC_002516.2	2155374	2157701	+	2328	111	84	64	67	58	61	172
gene-PA1974	NC_002516.2	2157968	2159167	+	1200	2	13	4	2	27	2	6
gene-PA1975	NC_002516.2	2159270	2160433	+	1164	14	13	14	7	31	10	21
gene-PA1976	NC_002516.2	2160363	2163008	+	2646	24	35	40	16	74	13	43
gene-PA1977	NC_002516.2	2163010	2163873	-	864	10	5	6	6	18	10	19
gene-PA1978	NC_002516.2	2163883	2164548	-	666	10	22	12	6	13	2	14
gene-PA1979	NC_002516.2	2165213	2165863	+	651	4	3	2	0	8	4	7
gene-PA1980	NC_002516.2	2165876	2166553	+	678	3	4	3	1	7	2	5
gene-PA1981	NC_002516.2	2166580	2167227	-	648	0	2	0	2	13	2	7
gene-PA1982	NC_002516.2	2167281	2169152	-	1872	28	28	25	20	60	18	48
gene-PA1983	NC_002516.2	2169464	2169901	+	438	1	0	2	1	10	2	1
gene-PA1984	NC_002516.2	2169988	2171508	+	1521	30	16	54	13	48	16	40
gene-PA1985	NC_002516.2	2171865	2171936	+	72	17	18	9	6	5	3	11
gene-PA1986	NC_002516.2	2171989	2172903	+	915	11	31	21	8	18	1	25
gene-PA1987	NC_002516.2	2172913	2173665	+	753	20	24	21	16	19	8	35
gene-PA1988	NC_002516.2	2173662	2173940	+	279	14	12	14	4	4	3	11
gene-PA1989	NC_002516.2	2173912	2175057	+	1146	56	57	45	32	19	27	77
gene-PA1990	NC_002516.2	2175062	2176888	+	1827	45	35	46	21	23	33	69
gene-PA1991	NC_002516.2	2176974	2178137	+	1164	102	121	94	64	33	41	84
gene-PA1992	NC_002516.2	2178121	2179815	+	1695	61	56	62	27	39	38	99
gene-PA1993	NC_002516.2	2179848	2181056	-	1209	177	133	91	71	32	53	165
gene-PA1994	NC_002516.2	2181181	2181744	-	564	88	52	63	42	26	26	88
gene-PA1995	NC_002516.2	2181741	2182097	-	357	70	58	55	31	10	14	64
gene-PA1996	NC_002516.2	2182116	2182394	-	279	45	48	33	32	10	7	46
gene-PA1997	NC_002516.2	2182452	2184407	-	1956	104	92	65	49	44	40	114
gene-PA1998	NC_002516.2	2184475	2185395	-	921	46	40	38	41	34	20	47
gene-PA1999	NC_002516.2	2185527	2186225	+	699	35	37	27	20	23	11	33
gene-PA2000	NC_002516.2	2186260	2186916	+	657	23	11	10	9	9	6	10
gene-PA2001	NC_002516.2	2187065	2188246	+	1182	86	45	46	39	22	31	86
gene-PA2002	NC_002516.2	2188459	2189883	+	1425	17	15	9	17	26	3	22
gene-PA2003	NC_002516.2	2190084	2190854	-	771	33	45	26	16	20	18	37
gene-PA2004	NC_002516.2	2190891	2192282	-	1392	19	33	13	15	34	10	17
gene-PA2005	NC_002516.2	2192544	2193989	-	1446	143	103	77	66	29	24	129
gene-PA2006	NC_002516.2	2194058	2195410	-	1353	12	17	9	2	28	3	35
gene-PA2007	NC_002516.2	2195494	2196132	-	639	39	22	17	10	26	26	77
gene-PA2008	NC_002516.2	2196129	2197427	-	1299	21	16	13	19	21	15	56
gene-PA2009	NC_002516.2	2197432	2198730	-	1299	21	23	22	11	40	12	56
gene-PA2010	NC_002516.2	2198891	2199694	+	804	114	104	84	62	28	66	149
gene-PA2011	NC_002516.2	2199762	2200664	-	903	157	187	182	95	40	97	176
gene-PA2012	NC_002516.2	2200685	2202652	-	1968	77	100	101	37	50	87	165
gene-PA2013	NC_002516.2	2202649	2203446	-	798	13	24	26	10	11	15	34
gene-PA2014	NC_002516.2	2203460	2205067	-	1608	50	86	76	39	53	42	94
gene-PA2015	NC_002516.2	2205190	2206353	-	1164	60	154	117	49	34	59	168
gene-PA2016	NC_002516.2	2206402	2206806	-	405	31	66	34	18	31	12	39
gene-PA2017	NC_002516.2	2206999	2207928	+	930	35	29	24	21	18	6	29
gene-PA2018	NC_002516.2	2208169	2211306	-	3138	417	270	250	189	184	214	488
gene-PA2019	NC_002516.2	2211322	2212512	-	1191	176	94	75	87	78	52	204
gene-PA2020	NC_002516.2	2212677	2213309	+	633	954	854	735	547	59	138	514
gene-PA2021	NC_002516.2	2213315	2213539	-	225	30	20	15	13	12	11	29
gene-PA2022	NC_002516.2	2213693	2215054	+	1362	45	68	35	30	19	26	79
gene-PA2023	NC_002516.2	2215102	2215941	+	840	1880	1657	1330	1029	41	141	880
gene-PA2024	NC_002516.2	2216121	2216543	-	423	43	24	25	19	8	19	35
gene-PA2025	NC_002516.2	2216688	2218043	+	1356	564	386	455	266	74	154	417
gene-PA2026	NC_002516.2	2218098	2219099	-	1002	96	95	49	44	19	20	77
gene-PA2027	NC_002516.2	2219253	2219645	-	393	7	9	9	2	13	4	8
gene-PA2028	NC_002516.2	2219778	2220251	+	474	21	31	11	9	19	0	7
gene-PA2029	NC_002516.2	2220275	2220574	+	300	22	31	25	18	21	13	30
gene-PA2030	NC_002516.2	2220649	2220906	-	258	40	54	48	17	15	14	49
gene-PA2031	NC_002516.2	2220903	2221157	-	255	17	9	16	13	7	2	20
gene-PA2032	NC_002516.2	2221337	2222761	+	1425	190	229	179	84	26	49	218
gene-PA2033	NC_002516.2	2222896	2223804	+	909	30	39	30	14	22	11	20
gene-PA2034	NC_002516.2	2223804	2224478	+	675	24	10	15	13	16	7	21
gene-PA2035	NC_002516.2	2224486	2226144	-	1659	11	25	9	19	27	7	22
gene-PA2036	NC_002516.2	2226879	2227400	+	522	8	11	3	4	9	2	6
gene-PA2037	NC_002516.2	2227541	2229001	+	1461	91	144	88	52	117	33	73
gene-PA2038	NC_002516.2	2229126	2229440	-	315	38	31	20	33	9	8	29
gene-PA2039	NC_002516.2	2229425	2230183	-	759	43	36	33	19	35	15	45
gene-PA2040	NC_002516.2	2230689	2232065	+	1377	356	467	434	246	49	59	367
gene-PA2041	NC_002516.2	2232222	2233592	+	1371	89	107	138	61	48	25	118
gene-PA2042	NC_002516.2	2234080	2235309	+	1230	1403	802	499	610	40	102	458
gene-PA2043	NC_002516.2	2235430	2236332	+	903	217	108	114	86	15	55	189
gene-PA2044	NC_002516.2	2236492	2238366	-	1875	447	310	263	179	62	87	347
gene-PA2045	NC_002516.2	2238541	2238801	-	261	25	24	16	20	10	2	36
gene-PA2047	NC_002516.2	2240302	2241291	-	990	34	50	16	23	15	16	50
gene-PA2048	NC_002516.2	2241816	2242112	+	297	14	20	14	9	4	15	41
gene-PA2049	NC_002516.2	2242170	2244164	-	1995	183	156	113	92	35	49	191
gene-PA2050	NC_002516.2	2244492	2244998	+	507	2	3	10	3	6	3	5
gene-PA2051	NC_002516.2	2244995	2245948	+	954	8	8	12	5	16	1	15
gene-PA2052	NC_002516.2	2245986	2246456	-	471	16	6	5	6	11	1	13
gene-PA2053	NC_002516.2	2246496	2247158	-	663	4	12	11	3	24	3	11
gene-PA2054	NC_002516.2	2247273	2248160	+	888	83	66	66	36	48	39	100
gene-PA2055	NC_002516.2	2248167	2249582	-	1416	23	12	13	11	29	13	59
gene-PA2056	NC_002516.2	2249693	2250595	+	903	68	50	42	40	18	30	49
gene-PA2057	NC_002516.2	2251275	2253815	+	2541	27	43	18	12	47	12	43
gene-PA2058	NC_002516.2	2253819	2255627	+	1809	23	29	15	7	31	7	17
gene-PA2059	NC_002516.2	2255629	2256702	+	1074	9	5	11	4	29	10	14
gene-PA2060	NC_002516.2	2256704	2257720	+	1017	3	8	2	5	28	2	6
gene-PA2061	NC_002516.2	2257722	2259332	+	1611	35	40	20	13	37	32	81
gene-PA2062	NC_002516.2	2259478	2260659	+	1182	164	204	156	98	40	167	495
gene-PA2063	NC_002516.2	2260862	2262085	+	1224	3786	2740	2382	1836	542	2689	6415
gene-PA2064	NC_002516.2	2262105	2263082	-	978	4836	3380	3382	2374	400	2090	5682
gene-PA2065	NC_002516.2	2263079	2264977	-	1899	11082	7260	8065	5376	488	2487	9726
gene-PA2066	NC_002516.2	2265126	2265764	-	639	21	30	12	11	25	12	22
gene-PA2067	NC_002516.2	2265761	2266429	-	669	14	13	4	8	12	1	9
gene-PA2068	NC_002516.2	2266431	2267594	-	1164	12	11	2	4	20	7	21
gene-PA2069	NC_002516.2	2267638	2269362	-	1725	15	16	15	7	17	12	21
gene-PA2070	NC_002516.2	2269542	2272184	-	2643	88	93	62	64	95	75	154
gene-PA2071	NC_002516.2	2272460	2274568	+	2109	89	115	100	41	63	42	163
gene-PA2072	NC_002516.2	2274740	2277334	+	2595	31	36	18	13	45	8	31
gene-PA2073	NC_002516.2	2277552	2278982	+	1431	30	17	19	7	28	3	15
gene-PA2074	NC_002516.2	2278982	2279794	+	813	14	12	13	5	17	7	22
gene-PA2075	NC_002516.2	2279917	2281578	-	1662	25	32	30	12	43	1	22
gene-PA2076	NC_002516.2	2282480	2283382	+	903	90	52	56	36	27	16	68
gene-PA2077	NC_002516.2	2283419	2285323	-	1905	39	26	22	21	40	40	106
gene-PA2078	NC_002516.2	2285363	2287237	-	1875	27	29	13	11	37	21	37
gene-PA2079	NC_002516.2	2287523	2288929	-	1407	57	46	30	26	47	17	52
gene-PA2080	NC_002516.2	2289085	2290335	-	1251	85	47	48	47	41	49	95
gene-PA2081	NC_002516.2	2290339	2290980	-	642	98	75	53	56	21	22	85
gene-PA2082	NC_002516.2	2291113	2291589	+	477	94	109	75	56	17	13	54
gene-PA2083	NC_002516.2	2291791	2293065	+	1275	58	36	39	34	36	11	41
gene-PA2084	NC_002516.2	2293153	2294985	+	1833	83	50	64	48	41	41	86
gene-PA2085	NC_002516.2	2295013	2295522	+	510	1	4	4	1	19	3	4
gene-PA2086	NC_002516.2	2295533	2296435	+	903	10	7	8	5	19	4	11
gene-PA2087	NC_002516.2	2296432	2297088	+	657	12	7	2	5	14	1	8
gene-PA2088	NC_002516.2	2297072	2297920	+	849	9	6	5	8	17	5	13
gene-PA2089	NC_002516.2	2298012	2300663	+	2652	94	83	71	40	61	42	105
gene-PA2090	NC_002516.2	2300676	2301755	+	1080	14	4	7	3	12	5	10
gene-PA2091	NC_002516.2	2301752	2303035	+	1284	6	10	3	1	26	8	14
gene-PA2092	NC_002516.2	2303022	2304215	+	1194	17	12	4	4	23	12	46
gene-PA2093	NC_002516.2	2304318	2304827	+	510	5	9	5	6	14	1	9
gene-PA2094	NC_002516.2	2304824	2305780	+	957	12	18	5	3	18	11	21
gene-PA2095	NC_002516.2	2305782	2306627	-	846	24	23	14	14	18	10	23
gene-PA2096	NC_002516.2	2306776	2307810	-	1035	36	24	25	14	24	6	41
gene-PA2097	NC_002516.2	2307957	2309432	+	1476	22	19	20	12	24	7	14
gene-PA2098	NC_002516.2	2309443	2310372	+	930	10	10	7	6	10	11	19
gene-PA2099	NC_002516.2	2310357	2311112	+	756	5	8	4	3	6	6	11
gene-PA2100	NC_002516.2	2311333	2312766	-	1434	63	71	69	37	33	8	57
gene-PA2101	NC_002516.2	2312899	2313789	+	891	20	38	15	13	22	3	13
gene-PA2102	NC_002516.2	2313791	2314249	+	459	23	23	12	11	11	5	13
gene-PA2103	NC_002516.2	2314512	2315690	+	1179	31	62	30	34	23	12	43
gene-PA2104	NC_002516.2	2315709	2316626	+	918	57	62	56	22	15	14	63
gene-PA2105	NC_002516.2	2316708	2317403	+	696	62	71	42	25	11	10	43
gene-PA2106	NC_002516.2	2317400	2318134	+	735	54	74	48	43	11	30	95
gene-PA2107	NC_002516.2	2318226	2318624	-	399	7	9	2	1	2	4	10
gene-PA2108	NC_002516.2	2318795	2320567	+	1773	40	43	27	12	26	28	67
gene-PA2109	NC_002516.2	2320586	2321062	-	477	38	18	27	19	13	34	43
gene-PA2110	NC_002516.2	2321130	2322071	-	942	192	53	173	72	53	139	135
gene-PA2111	NC_002516.2	2322068	2322781	-	714	757	103	614	309	215	504	667
gene-PA2112	NC_002516.2	2322778	2323521	-	744	137	30	99	44	32	48	78
gene-PA2113	NC_002516.2	2323554	2324783	-	1230	178	54	141	106	30	39	65
gene-PA2114	NC_002516.2	2324808	2326079	-	1272	398	152	237	264	47	51	144
gene-PA2115	NC_002516.2	2326334	2327287	+	954	57	46	47	36	21	8	50
gene-PA2116	NC_002516.2	2327394	2328191	+	798	154	63	87	72	10	28	78
