Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol
gene-PA1289	12	15	19	14	7	11	4	12	21	59	host	gene-PA1289
gene-PA4752	1752	660	292	356	206	200	191	229	304	507	host	ftsJ
gene-PA4277.2	6242	4574	6312	6749	4765	5036	4985	5173	6190	9668	host	gene-PA4277.2
gene-PA1527	953	1202	811	1003	544	546	600	634	760	1140	host	gene-PA1527
gene-PA4235	158	404	182	193	103	94	105	130	170	143	host	bfrA
gene-PA4765	827	1083	813	970	851	758	717	805	1107	1462	host	omlA
gene-PA4093	13	8	7	9	13	13	6	11	14	45	host	gene-PA4093
gene-PA4515	99	127	74	90	173	183	373	443	385	1739	host	gene-PA4515
gene-PA2084	41	52	35	24	21	35	27	22	38	146	host	gene-PA2084
gene-PA3316	76	88	70	69	38	29	32	32	44	96	host	gene-PA3316
gene-PA5482	43	19	565	44	37	30	41	50	75	75	host	gene-PA5482
gene-PA1212	7	8	10	9	6	12	9	13	5	22	host	gene-PA1212
gene-PA4764	1077	1390	930	1297	880	833	856	821	1432	2216	host	fur
gene-PA0933	761	794	534	760	396	366	375	408	402	803	host	ygcA
gene-PA2216	7	9	4	15	10	11	8	4	17	19	host	gene-PA2216
gene-PA4549	18	26	25	15	21	20	26	16	32	67	host	fimT
gene-PA0489	33	20	15	32	15	26	17	22	35	147	host	gene-PA0489
gene-PA4748	15215	15268	14200	16273	9236	10084	11169	9664	12109	23052	host	tpiA
gene-PA5381	26	32	32	33	24	29	23	23	48	119	host	gene-PA5381
gene-PA1765	41	47	32	63	49	34	24	24	46	103	host	gene-PA1765
gene-PA4226	34	38	26	38	26	23	38	36	51	179	host	pchE
gene-PHIKZ084	634	682	1016	1247	3147	3620	4313	2881	9817	7728	phage	gene-PHIKZ084
gene-PA1369	127	187	139	168	85	82	90	71	107	132	host	gene-PA1369
gene-PA1719	12	29	18	24	10	7	11	7	9	13	host	pscF
gene-PA0410	317	465	311	441	172	182	155	151	140	360	host	pilI
gene-PA0902	105	139	99	122	103	113	87	146	140	317	host	gene-PA0902
gene-PA0640	41	57	34	27	29	34	28	24	29	33	host	gene-PA0640
gene-PA2768	31	50	36	44	18	20	23	27	24	27	host	gene-PA2768
gene-PA1922	7	8	16	6	8	9	4	8	14	49	host	gene-PA1922
gene-PA0975	430	326	398	390	318	321	401	435	499	726	host	gene-PA0975
gene-PA0434	45	59	45	71	43	38	56	60	76	179	host	gene-PA0434
gene-PA0655	186	230	182	201	165	146	151	272	213	381	host	gene-PA0655
gene-PA3803	759	917	597	663	374	374	324	340	311	631	host	gcpE
gene-PA3910	44	27	31	43	23	19	29	33	21	96	host	eddA
gene-PA0926	62	76	60	80	42	37	53	60	60	78	host	gene-PA0926
gene-PA3258	193	201	158	161	100	118	120	115	119	238	host	gene-PA3258
gene-PA5295	362	414	356	465	284	294	324	353	334	1017	host	gene-PA5295
gene-PA3089	21	20	30	48	18	6	22	21	26	76	host	gene-PA3089
gene-PA3366	277	312	222	304	194	173	233	161	270	372	host	amiE
gene-PA0915	49	55	27	47	13	27	28	34	39	65	host	gene-PA0915
gene-PA4983	88	109	80	134	72	79	49	89	76	241	host	gene-PA4983
gene-PA1804	5228	7489	4597	6299	3186	3400	2863	2894	3772	4570	host	hupB
gene-PA1114	57	58	41	75	31	41	50	43	78	125	host	gene-PA1114
gene-PA5424	402	397	389	531	356	358	286	454	641	1272	host	gene-PA5424
gene-PA2016	145	167	133	160	118	89	107	135	160	138	host	liuR
gene-PA3381	3	10	0	3	4	3	4	2	5	13	host	gene-PA3381
gene-PA1605	111	177	111	140	108	98	119	133	202	195	host	gene-PA1605
gene-PA3894	40	16	24	31	30	21	19	36	45	95	host	gene-PA3894
gene-PA0720	20	13	13	22	14	11	13	7	15	34	host	gene-PA0720
gene-PA4541	335	376	397	458	381	363	377	360	564	846	host	gene-PA4541
gene-PA3292	43	76	47	56	30	23	27	37	15	29	host	gene-PA3292
gene-PA3697	127	182	128	163	73	73	64	62	75	113	host	gene-PA3697
gene-PA2597	17	10	10	24	14	12	13	12	15	26	host	gene-PA2597
gene-PA5328	5	13	10	9	5	12	6	17	11	28	host	gene-PA5328
gene-PA1501	101	113	62	79	53	62	47	53	80	142	host	gene-PA1501
gene-PA4005	198	340	191	297	132	120	115	120	105	191	host	gene-PA4005
gene-PA2883	184	305	202	231	132	127	159	115	185	174	host	gene-PA2883
gene-PA0924	133	141	112	120	91	85	111	126	169	284	host	gene-PA0924
gene-PA3719	8	27	14	19	8	16	2	14	12	20	host	armR
gene-PA0126	119	129	119	106	78	100	71	124	130	159	host	gene-PA0126
gene-PHIKZ_p45	1363	1128	1454	1602	2163	2002	4014	5402	18734	42469	phage	gene-PHIKZ_p45
gene-PA2410	41	49	32	37	19	16	21	24	37	70	host	gene-PA2410
gene-PA4065	71	68	53	70	35	47	39	55	42	96	host	gene-PA4065
gene-PA4904	24	24	15	24	14	18	14	24	25	66	host	vanA
gene-PA0226	27	38	21	27	23	18	16	17	17	67	host	gene-PA0226
gene-PA4101	27	44	30	28	28	29	23	24	23	52	host	bfmR
gene-PA1846	391	507	339	462	327	246	289	258	388	491	host	cti
gene-PA3143	854	1038	858	1089	947	775	955	716	1162	1091	host	gene-PA3143
gene-PA2856	329	470	325	371	270	256	266	256	376	544	host	tesA
gene-PA3168	1749	2052	1600	2044	1212	1105	1121	1301	1395	2803	host	gyrA
gene-PA1718	14	29	24	21	17	15	16	12	14	32	host	pscE
gene-PA0162	122	107	121	156	105	88	101	103	125	314	host	opdC
gene-PA0778	129	136	82	91	44	45	39	58	76	140	host	icp
gene-PA3973	36	62	35	39	40	28	25	30	27	124	host	gene-PA3973
gene-PA5246	128	161	117	117	94	94	90	95	92	226	host	gene-PA5246
gene-PHIKZ254	704	736	1033	967	603	705	354	290	515	269	phage	gene-PHIKZ254
gene-PA5099	22	16	12	15	26	17	14	9	27	48	host	gene-PA5099
gene-PA0608	468	522	349	436	256	373	286	259	339	358	host	gene-PA0608
gene-PA1938	78	91	74	87	67	56	75	67	81	143	host	gene-PA1938
gene-PA4375	267	318	211	289	142	145	160	130	148	261	host	gene-PA4375
gene-PA4625	1106	932	726	717	627	585	1078	617	951	1837	host	gene-PA4625
gene-PA1127	682	121	69	99	58	52	51	57	52	126	host	gene-PA1127
gene-PA4914	32	42	23	39	20	21	26	34	34	64	host	gene-PA4914
gene-PA2288	28	21	26	26	30	32	35	70	46	95	host	gene-PA2288
gene-PA5240	1620	2000	1606	2031	1711	1389	1769	1361	3562	6711	host	trxA
gene-PA0653	379	477	373	573	376	309	391	374	585	788	host	gene-PA0653
gene-PA4021	68	132	89	91	57	47	44	79	82	163	host	gene-PA4021
gene-PA5448	245	302	175	237	134	116	103	115	172	182	host	wbpY
gene-PA1730	33	50	36	55	35	13	26	33	53	80	host	gene-PA1730
gene-PA2001	143	202	115	174	71	85	62	100	74	199	host	atoB
gene-PA4533	59	102	61	115	49	46	51	55	98	173	host	gene-PA4533
gene-PA2123	33	28	34	31	19	22	27	24	34	60	host	gene-PA2123
gene-PA0638	24	34	20	26	16	11	15	11	15	37	host	gene-PA0638
gene-PA1688	653	637	469	514	390	368	396	396	366	471	host	gene-PA1688
gene-PA2775.1	219	91	202	143	184	187	244	364	286	599	host	gene-PA2775.1
gene-PA2429	15	17	6	11	6	9	1	5	4	9	host	gene-PA2429
gene-PA1761	27	44	33	51	14	20	16	10	33	59	host	gene-PA1761
gene-PA4219	10	15	12	8	4	6	5	13	9	38	host	gene-PA4219
gene-PA4724.1	113	148	141	146	95	87	100	84	170	147	host	gene-PA4724.1
gene-PHIKZ178	4790	4668	6103	6157	15228	15934	20853	17257	35186	46567	phage	gene-PHIKZ178
gene-PA4301	15	21	20	26	22	22	28	17	30	54	host	tadB
gene-PA1483a	192	195	137	165	108	125	137	122	161	455	host	gene-PA1483a
gene-PA0883	12	8	3	1	1	1	3	8	0	20	host	gene-PA0883
gene-PA3689	137	172	106	139	108	102	99	120	162	252	host	gene-PA3689
gene-PA3314	37	36	42	26	12	23	21	13	19	125	host	gene-PA3314
gene-PA3715	128	167	130	139	92	70	71	89	88	164	host	gene-PA3715
gene-PA4576	1540	718	506	1645	303	327	268	1033	417	1206	host	gene-PA4576
gene-PA5344	240	317	231	253	168	141	211	253	317	267	host	oxyR
gene-PA4383	121	130	102	139	97	75	82	128	166	307	host	gene-PA4383
gene-PA1621	71	72	51	50	32	44	33	31	31	115	host	gene-PA1621
gene-PA3812	235	243	167	185	137	119	124	149	179	269	host	iscA
gene-PA0353	273	327	214	320	171	306	193	264	287	485	host	ilvD
gene-PA0300	619	729	489	663	382	402	326	341	408	619	host	spuD
gene-PA2650	37	44	38	51	20	19	39	31	52	95	host	gene-PA2650
gene-PA3701	894	904	721	898	611	596	583	706	684	1095	host	prfB
gene-PA4254	1113	1191	935	953	600	576	620	516	599	898	host	rpsQ
gene-PA5022	302	392	268	326	186	179	159	229	232	476	host	gene-PA5022
gene-PA5026	12	30	19	13	17	14	11	14	26	28	host	gene-PA5026
gene-PA0683	3	3	2	1	3	3	3	4	2	20	host	gene-PA0683
gene-PA2246	58	62	39	54	34	34	48	33	51	61	host	bkdR
gene-PA4780	201	197	201	460	189	192	182	228	221	284	host	gene-PA4780
gene-PA1597	103	135	52	45	29	30	41	51	66	132	host	gene-PA1597
gene-PA2979	173	184	148	185	78	89	95	122	110	210	host	kdsB
gene-PA1391	50	37	37	48	28	36	39	32	55	79	host	gene-PA1391
gene-PA4337	64	66	39	60	32	47	35	40	80	130	host	gene-PA4337
gene-PA3386	28	44	33	35	18	33	22	62	37	142	host	gene-PA3386
gene-PA2647	524	566	383	450	239	272	243	297	254	498	host	nuoL
gene-PA5473	177	192	197	257	164	187	207	240	276	748	host	gene-PA5473
gene-PA4741	3799	4698	3642	4679	2827	2870	3214	2261	3868	6488	host	rpsO
gene-PA3749	53	65	62	76	30	33	40	48	58	87	host	gene-PA3749
gene-PA2152	63	61	60	72	51	39	44	40	71	107	host	gene-PA2152
gene-PA0402	251	318	206	209	154	118	150	176	181	245	host	pyrB
gene-PA2050	3	3	5	0	3	7	1	7	7	13	host	gene-PA2050
gene-PA1190	49	57	54	54	35	3228	48	39	79	84	host	gene-PA1190
gene-PA1872	33	41	25	48	21	28	22	22	32	62	host	gene-PA1872
gene-PA2772	79	87	74	99	59	49	76	56	95	106	host	gene-PA2772
gene-PA3094.3	6093	2647	3531	3917	3174	3522	4263	4360	4362	6705	host	gene-PA3094.3
gene-PA5174	1670	1729	1321	2228	824	763	862	893	1113	2291	host	gene-PA5174
gene-PHIKZ291	5986	6239	5941	6129	1490	1677	957	786	1611	2037	phage	gene-PHIKZ291
gene-PA4403	3598	4866	3506	3016	2337	2074	2234	2163	2702	4620	host	secA
gene-PA4176	186	295	210	206	118	110	115	98	131	93	host	ppiC2
gene-PA2962	120	102	88	85	44	52	60	74	46	200	host	tmk
gene-PA2719	49	53	41	52	21	33	35	41	42	89	host	gene-PA2719
gene-PA4906	99	120	112	149	88	68	77	68	126	262	host	gene-PA4906
gene-PA2912	9	4	11	3	10	11	3	8	3	22	host	gene-PA2912
gene-PA1822	414	515	348	435	227	233	233	230	282	459	host	fimL
gene-PA0970	350	310	234	4447	217	206	188	231	305	690	host	tolR
gene-PA1474	171	170	215	226	206	188	258	239	271	565	host	gene-PA1474
gene-PA1550	135	163	126	161	88	89	75	119	85	129	host	gene-PA1550
gene-PA5569	1149	1236	1039	1143	708	691	712	1245	917	1384	host	rnpA
gene-PHIKZ_p38	2495	3254	2283	2920	1197	1287	756	688	1092	890	phage	gene-PHIKZ_p38
gene-PA3784	12	30	20	34	21	12	11	20	14	43	host	gene-PA3784
gene-PA2954	75	89	63	72	30	34	47	60	68	97	host	gene-PA2954
gene-PA3468	109	136	104	131	74	70	71	114	134	193	host	gene-PA3468
gene-PA0864	12	23	24	16	12	14	13	18	30	85	host	gene-PA0864
gene-PA3523	16	41	35	40	31	26	24	32	37	83	host	gene-PA3523
gene-PA2047	53	54	54	64	45	24	43	57	61	108	host	gene-PA2047
gene-PHIKZ_p60	529	565	860	735	900	986	623	578	354	203	phage	gene-PHIKZ_p60
gene-PA4054	303	320	217	248	157	150	162	163	165	305	host	ribB
gene-PA4971	438	403	296	379	213	249	220	239	370	952	host	aspP
gene-PA1777	8594	11344	8299	10193	5564	5222	4784	4158	5886	11884	host	oprF
gene-PA3295	184	242	189	206	104	112	114	123	168	266	host	gene-PA3295
gene-PA3401	83	81	42	61	55	35	37	52	61	87	host	gene-PA3401
gene-PA0693	13	7	3	8	2	1	10	13	17	31	host	exbB2
gene-PA3848	54	58	44	71	33	35	46	59	41	104	host	gene-PA3848
gene-PA3456	58	62	47	88	48	44	49	62	80	193	host	gene-PA3456
gene-PA2430	12	22	12	22	6	15	6	10	20	18	host	gene-PA2430
gene-PA2008	134	182	159	220	81	72	59	102	81	239	host	fahA
gene-PA4437	113	126	103	98	71	71	57	89	128	158	host	gene-PA4437
gene-PA3024	41	53	31	25	20	17	18	22	23	57	host	gene-PA3024
gene-PA5535	37	44	31	56	40	37	52	52	66	626	host	gene-PA5535
gene-PA5428	125	226	147	255	160	141	182	321	290	866	host	gene-PA5428
gene-PA1491	85	106	83	107	67	85	70	61	105	167	host	gene-PA1491
gene-PA4984	56	76	72	99	40	52	52	55	65	183	host	gene-PA4984
gene-PA3076	84	88	54	73	42	59	47	43	58	151	host	gene-PA3076
gene-PA0301	130	155	108	149	93	64	97	119	97	184	host	spuE
gene-PA2471	8	8	5	10	5	4	4	7	7	21	host	gene-PA2471
gene-PA4552	124	178	132	215	104	118	113	334	188	254	host	pilW
gene-PA1557	362	529	392	517	205	211	214	219	268	371	host	ccoN2
gene-PA3027	99	140	116	141	80	77	72	117	98	162	host	gene-PA3027
gene-PA5373	455	496	410	619	269	188	204	232	278	420	host	betB
gene-PA4025	37	52	27	60	30	40	38	50	35	151	host	gene-PA4025
gene-PA4577	80	322	58	93	40	44	31	51	40	87	host	gene-PA4577
gene-PA5313	216	258	184	239	131	139	128	168	231	468	host	gene-PA5313
gene-PA0417	62	55	35	47	28	19	35	30	31	59	host	chpE
gene-PA1522	67	70	53	49	39	35	41	46	49	127	host	gene-PA1522
gene-PA1640	229	297	289	307	210	186	222	208	297	461	host	gene-PA1640
gene-PA2505	31	30	27	25	11	12	25	22	25	63	host	opdT
gene-PA3043	107	109	101	99	53	49	60	71	68	100	host	gene-PA3043
gene-PHIKZ224	1750	1941	2902	2721	4930	5446	5395	4150	10625	8932	phage	gene-PHIKZ224
gene-PA2742	1698	1976	1584	1600	1024	1100	961	970	1030	1128	host	rpmI
gene-PA3612	135	121	132	146	54	81	58	110	68	147	host	gene-PA3612
gene-PA2947	37	34	20	28	15	14	14	11	12	37	host	gene-PA2947
gene-PA1355	2	0	1	1	4	3	2	0	1	10	host	gene-PA1355
gene-PA3448	2	6	2	6	6	5	8	7	7	26	host	gene-PA3448
gene-PA1246	19	35	23	39	19	11	15	15	13	63	host	aprD
gene-PHIKZ143	920	890	981	1031	1344	1363	2215	1393	5597	6144	phage	gene-PHIKZ143
gene-PA1512	35	47	35	34	27	35	43	28	54	67	host	hcpA
gene-PA1701	7	6	6	6	2	9	1	5	3	25	host	gene-PA1701
gene-PA0976.1	10823	9403	5291	6284	42338	13950	20214	43827	34620	14540	host	gene-PA0976.1
gene-PA1020	6	22	22	11	8	17	8	13	14	59	host	gene-PA1020
gene-PA0974	2037	1960	1727	2094	1254	1248	1277	1992	1295	3500	host	gene-PA0974
gene-PA3737	782	929	709	779	459	441	415	419	538	599	host	dsbC
gene-PHIKZ107	2049	2244	1681	1685	561	670	373	275	525	340	phage	gene-PHIKZ107
gene-PA1814	627	824	631	862	488	432	408	340	541	697	host	gene-PA1814
gene-PA1092	5117	4803	5879	6450	5123	4942	5182	5496	4988	4826	host	fliC
gene-PA4365	11	17	9	19	5	6	3	7	12	28	host	gene-PA4365
gene-PA0295	41	84	44	53	36	39	21	44	53	71	host	gene-PA0295
gene-PA4276.1	1622	1564	1719	2326	1518	1577	1326	1330	1324	1354	host	gene-PA4276.1
gene-PA5237	552	702	547	649	448	415	390	493	529	920	host	gene-PA5237
gene-PA5015	1727	2089	1546	1852	1218	1100	1305	1771	1841	3393	host	aceE
gene-PA1256	13	13	9	10	10	11	11	5	19	16	host	gene-PA1256
gene-PA0463	69	128	71	92	40	42	35	58	70	165	host	creB
gene-PA2127	112	167	106	171	69	66	79	67	104	136	host	gene-PA2127
gene-PA0081	318	346	270	319	201	266	261	287	368	851	host	fha1
gene-PA4334	95	146	105	107	72	61	68	164	87	285	host	gene-PA4334
gene-PA1343	92	93	74	79	52	59	50	65	80	104	host	gene-PA1343
gene-PA2512	17	36	21	33	15	15	21	37	34	71	host	antA
gene-PA3623	2101	2489	1889	2203	1545	1355	1495	1162	1662	2274	host	gene-PA3623
gene-PA0156	90	170	108	161	99	114	107	99	155	263	host	gene-PA0156
gene-PA4422	249	410	258	390	283	260	328	285	401	568	host	gene-PA4422
gene-PA2070	44	39	37	63	55	28	33	68	70	157	host	gene-PA2070
gene-PA2812	75	90	73	75	52	55	66	48	94	100	host	gene-PA2812
gene-PA4123	29	24	17	30	25	24	29	29	38	123	host	hpcC
gene-PA3985	134	144	118	153	61	79	57	97	100	273	host	gene-PA3985
gene-PA5409	71	92	64	94	49	51	60	65	73	132	host	gene-PA5409
gene-PA2738	2599	3607	2379	3245	2250	1937	2307	2306	3435	3755	host	himA
gene-PA5556	3244	4283	2580	2648	1663	1914	1570	1473	1295	6691	host	atpA
gene-PA4089	6	6	3	6	3	4	3	4	4	24	host	gene-PA4089
gene-PA0605	55	49	45	49	43	45	53	40	78	124	host	gene-PA0605
gene-PA2329	11	12	12	7	8	4	7	5	8	16	host	gene-PA2329
gene-PA0557	77	74	74	93	47	46	53	56	66	113	host	gene-PA0557
gene-PA3095	16	28	12	19	11	7	8	10	11	43	host	xcpZ
gene-PA1183	97	110	99	109	56	74	65	45	67	140	host	dctA
gene-PA2097	7	8	19	11	10	8	10	7	15	33	host	gene-PA2097
gene-PA2457	58	84	64	73	51	47	33	56	65	122	host	gene-PA2457
gene-PA1107	44	45	43	44	32	28	36	56	52	71	host	gene-PA1107
gene-PA0508	100	97	87	106	71	59	73	69	88	230	host	gene-PA0508
gene-PA3727	169	214	132	169	81	86	87	82	98	147	host	gene-PA3727
gene-PHIKZ048	1000	999	1394	1296	1191	1380	1471	1055	1412	1561	phage	gene-PHIKZ048
gene-PA2918	35	41	38	42	18	38	31	43	47	51	host	gene-PA2918
gene-PA0704	72	60	61	48	35	42	49	53	63	136	host	gene-PA0704
gene-PA1186	15	16	10	4	8	3	5	12	13	41	host	gene-PA1186
gene-PA4175	89	118	73	106	39	54	58	57	80	143	host	piv
gene-PA0791	69	77	56	60	29	50	40	40	57	170	host	gene-PA0791
gene-PA4499	124	145	110	123	86	80	81	124	112	147	host	gene-PA4499
gene-PA1403	9	16	16	12	18	13	14	12	28	46	host	gene-PA1403
gene-PA1366	205	226	193	221	143	167	177	203	296	626	host	gene-PA1366
gene-PA2521	14	12	13	19	9	3	8	10	18	47	host	czcB
gene-PA1462	275	285	214	287	165	149	155	171	223	301	host	gene-PA1462
gene-PA4045	163	176	123	135	92	73	78	97	61	310	host	gene-PA4045
gene-PA2620	1016	1216	908	1098	776	650	627	775	904	1505	host	clpA
gene-PA4094	53	71	63	66	33	46	54	61	53	181	host	gene-PA4094
gene-PA2674	19	11	13	15	20	17	12	17	17	23	host	gene-PA2674
gene-PA2025	233	382	254	349	194	231	159	192	228	402	host	gor
gene-PA2230	141	144	126	155	98	85	121	94	145	216	host	gene-PA2230
gene-PA3728	845	904	671	876	454	394	389	431	462	1036	host	gene-PA3728
gene-PA3603	156	189	97	106	53	50	45	76	52	103	host	dgkA
gene-PA4539	297	340	282	369	275	249	286	290	373	3452	host	gene-PA4539
gene-PA4622	16	38	12	22	28	12	23	32	30	35	host	gene-PA4622
gene-PA4471	19	27	23	48	32	30	63	44	55	59	host	gene-PA4471
gene-PA3838	82	130	93	124	69	51	41	67	56	147	host	gene-PA3838
gene-PA1750	425	566	415	471	329	297	377	349	453	725	host	gene-PA1750
gene-PA3410	37	43	36	38	36	30	91	83	63	111	host	gene-PA3410
gene-PA5403	116	147	100	141	134	106	114	114	167	261	host	gene-PA5403
gene-PA1011	763	963	712	898	435	433	418	404	347	725	host	gene-PA1011
gene-PA2854	633	684	638	781	520	533	565	623	782	1167	host	gene-PA2854
gene-PA0522	3	2	4	4	4	2	5	3	2	18	host	gene-PA0522
gene-PA4773	223	273	194	218	129	91	76	116	96	167	host	gene-PA4773
gene-PA4669.1	3662	2399	2596	3000	2449	2673	2898	5847	4305	6922	host	gene-PA4669.1
gene-PA3610	78	91	70	89	44	43	46	61	57	114	host	potD
gene-PHIKZ074	18436	19688	29895	33293	26243	31121	15866	18038	13860	56390	phage	gene-PHIKZ074
gene-PA3544	12	23	15	30	17	14	20	28	32	74	host	algE
gene-PA0045	152	270	145	115	114	100	122	104	125	162	host	gene-PA0045
gene-PA4640	1619	483	1246	1326	289	827	1862	265	327	629	host	mqoB
gene-PA1737	85	85	59	74	42	45	58	45	70	128	host	gene-PA1737
gene-PA2147	37	29	63	56	51	43	51	67	98	148	host	katE
gene-PA5067	244	303	217	299	173	185	185	170	264	370	host	hisE
gene-PA5016	1039	1193	961	1161	571	542	715	677	786	1664	host	aceF
gene-PA3047	204	183	143	159	112	107	120	179	145	251	host	gene-PA3047
gene-PA1390	40	53	59	55	42	33	29	36	50	78	host	gene-PA1390
gene-PA2290	177	177	158	174	96	140	99	166	139	361	host	gcd
gene-PA1104	181	256	150	157	80	82	74	67	59	207	host	fliI
gene-PHIKZ_p86	69	97	456	329	1316	1542	1655	975	963	898	phage	gene-PHIKZ_p86
gene-PA0984	60	135	90	113	70	51	60	69	104	68	host	gene-PA0984
gene-PA0934	893	911	635	759	443	406	507	1238	516	1025	host	relA
gene-PA1924	9	6	6	6	3	8	4	8	6	12	host	gene-PA1924
gene-PA0046	98	130	93	91	67	71	78	73	66	137	host	gene-PA0046
gene-PA5289	47	61	46	67	38	36	43	61	75	42	host	gene-PA5289
gene-PA1805	632	744	563	702	370	381	339	371	439	808	host	ppiD
gene-PA2212	9	13	12	7	15	2	5	7	18	20	host	gene-PA2212
gene-PA2693	29	36	11	27	19	23	17	14	27	50	host	gene-PA2693
gene-PA2914	39	57	24	21	16	14	15	23	15	57	host	gene-PA2914
gene-PHIKZ_p53	2832	2947	4607	5390	2428	2965	703	663	342	303	phage	gene-PHIKZ_p53
gene-PA2063	56	71	50	45	26	41	24	47	39	127	host	gene-PA2063
gene-PA1205	88	69	54	80	61	35	35	34	49	935	host	gene-PA1205
gene-PA0210	0	1	7	3	0	3	3	5	1	4	host	mdcC
gene-PA4485	79	70	49	70	33	37	39	49	43	78	host	gene-PA4485
gene-PA4116	170	222	143	176	153	154	139	154	183	145	host	bphO
gene-PA4377	97	114	97	139	88	55	57	71	72	176	host	gene-PA4377
gene-PA2390	68	63	37	56	41	44	39	44	44	107	host	pvdT
gene-PA4053	380	427	296	380	324	299	298	288	314	497	host	ribE
gene-PA0057	17	21	15	22	16	16	7	17	17	43	host	gene-PA0057
gene-PA0964	629	766	474	631	357	343	331	383	392	717	host	pmpR
gene-PA2191	42	44	34	49	44	40	50	34	79	97	host	exoY
gene-PA5491	787	921	820	1329	759	736	733	812	1030	2605	host	gene-PA5491
gene-PA2786	16	16	16	21	30	22	32	27	29	18	host	gene-PA2786
gene-PA1826	73	91	65	65	46	51	54	37	51	125	host	gene-PA1826
gene-PA3371	34	25	28	30	23	25	22	13	26	38	host	gene-PA3371
gene-PA1659	121	84	75	87	48	53	26	43	28	45	host	gene-PA1659
gene-PA4976	36	45	28	35	22	26	31	21	26	64	host	aruH
gene-PA4071	6	9	12	10	11	3	8	8	5	32	host	gene-PA4071
gene-PA3821	763	1023	595	718	422	382	340	448	416	770	host	secD
gene-PA0346	28	23	9	26	14	4	21	15	27	39	host	gene-PA0346
gene-PA0969	500	528	385	435	360	349	351	325	428	612	host	tolQ
gene-PA5521	185	243	154	240	131	145	145	141	213	392	host	gene-PA5521
gene-PA1221	33	22	18	25	32	18	22	14	32	137	host	gene-PA1221
gene-PA4915	122	207	131	166	96	88	74	82	139	295	host	gene-PA4915
gene-PA0028	25	23	19	25	5	15	13	11	9	47	host	gene-PA0028
gene-PA3235	72	84	50	68	42	48	52	41	54	74	host	gene-PA3235
gene-PA2158	11	13	8	29	13	5	18	15	12	53	host	gene-PA2158
gene-PA5347	229	264	193	235	151	177	131	176	202	379	host	gene-PA5347
gene-PA1189	20	25	24	38	17	24	19	25	28	38	host	gene-PA1189
gene-PA1748	136	149	126	149	60	83	58	64	95	154	host	gene-PA1748
gene-PA1845	32	35	34	38	33	18	13	20	30	61	host	gene-PA1845
gene-PA1066	29	31	28	19	24	20	29	25	48	95	host	gene-PA1066
gene-PA0535	121	126	135	108	86	75	89	81	310	242	host	gene-PA0535
gene-PHIKZ127	370	365	424	514	970	955	2119	1409	4142	7324	phage	gene-PHIKZ127
gene-PA0905.1	13178	16558	11267	11467	9397	9304	12161	13051	13945	18320	host	gene-PA0905.1
gene-PA1499	15	23	9	15	17	11	11	16	21	65	host	gene-PA1499
gene-PA3723	57	60	48	50	46	35	24	39	50	88	host	gene-PA3723
gene-PA3232	44	52	34	35	30	30	23	34	49	60	host	gene-PA3232
gene-PA1241	32	41	44	55	31	31	28	66	60	72	host	gene-PA1241
gene-PHIKZ_p19	225	206	1531	1028	10363	10588	13009	10275	5058	9753	phage	gene-PHIKZ_p19
gene-PA4996	826	924	702	1406	8577	566	616	668	615	1803	host	rfaE
gene-PA4109	73	115	78	108	76	61	89	90	117	297	host	ampR
gene-PA0408	899	1212	586	729	439	485	519	456	841	792	host	pilG
gene-PA3492	65	79	61	48	31	29	35	34	38	69	host	gene-PA3492
gene-PA3110	395	416	274	350	178	178	178	213	196	555	host	gene-PA3110
gene-PA1799	48	73	29	51	36	40	45	66	88	91	host	parR
gene-PA2853	47851	86373	56873	84266	43683	33778	23611	18547	21759	27612	host	oprI
gene-PA1540	26	36	31	36	24	28	30	23	24	63	host	gene-PA1540
gene-PA5523	160	193	152	168	114	111	126	122	200	325	host	gene-PA5523
gene-PA3305.1	2091	4643	931	1081	537	486	440	291	438	302	host	phrS
gene-PA4718	122	146	140	139	93	84	102	128	147	487	host	gene-PA4718
gene-PA3440a	69	84	67	65	43	39	34	91	56	45	host	gene-PA3440a
gene-PA2637	879	978	771	956	603	670	564	619	751	1196	host	nuoA
gene-PA3592	7	8	9	6	10	3	11	6	11	20	host	gene-PA3592
gene-PA1146	23	21	18	31	17	18	20	21	27	82	host	gene-PA1146
gene-PA5303	361	515	377	519	301	280	330	500	489	1043	host	gene-PA5303
gene-PA3060	14	28	22	54	24	24	23	25	12	50	host	pelE
gene-PA4042	85	119	104	95	74	71	79	67	116	158	host	xseB
gene-PHIKZ133	1322	1342	1511	1672	2818	2703	4152	4173	7361	5083	phage	gene-PHIKZ133
gene-PA0062	50	79	49	71	53	56	59	70	97	233	host	gene-PA0062
gene-PA3811	287	422	278	343	163	165	161	214	243	475	host	hscB
gene-PA0658	149	202	138	208	108	136	95	129	147	294	host	gene-PA0658
gene-PA2388	195	251	172	163	181	201	237	273	247	391	host	fpvR
gene-PA2929	18	26	17	21	14	14	21	25	38	59	host	gene-PA2929
gene-PHIKZ152	177	206	1772	1325	12462	13206	12841	12844	3713	2976	phage	gene-PHIKZ152
gene-PA5374	494	495	478	543	296	266	459	236	208	368	host	betI
gene-PA2177	55	57	43	63	28	39	47	71	48	126	host	gene-PA2177
