# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR29715794_sorted.bam" "SRR29715795_sorted.bam" "SRR29715801_sorted.bam" "SRR29715800_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR29715794_sorted.bam	SRR29715795_sorted.bam	SRR29715801_sorted.bam	SRR29715800_sorted.bam
gene-PA1301	AE004091.2	1410473	1411456	+	984	18	23	18	27
gene-PA1302	AE004091.2	1411585	1414140	+	2556	61	92	32	74
gene-PA1303	AE004091.2	1414147	1414686	-	540	20	24	19	29
gene-PA1304	AE004091.2	1414763	1416814	-	2052	130	173	84	184
gene-PA1305	AE004091.2	1416963	1417436	+	474	132	176	140	339
gene-PA1306	AE004091.2	1417500	1417961	+	462	131	177	106	234
gene-PA1307	AE004091.2	1417965	1418738	+	774	195	266	168	311
gene-PA1308	AE004091.2	1418765	1419289	+	525	57	90	37	101
gene-PA1309	AE004091.2	1419298	1420158	-	861	32	58	24	30
gene-PA1310	AE004091.2	1420326	1421441	+	1116	7	12	3	12
gene-PA1311	AE004091.2	1421477	1422304	+	828	11	6	4	14
gene-PA1312	AE004091.2	1422355	1423266	-	912	43	40	22	53
gene-PA1313	AE004091.2	1423374	1424732	+	1359	11	15	2	8
gene-PA1314	AE004091.2	1424746	1425132	+	387	15	9	7	21
gene-PA1315	AE004091.2	1425140	1425754	-	615	53	53	22	66
gene-PA1316	AE004091.2	1425912	1427453	+	1542	34	47	17	43
gene-PA1317	AE004091.2	1428080	1429075	+	996	83	77	38	57
gene-PA1318	AE004091.2	1429082	1431058	+	1977	154	194	79	153
gene-PA1319	AE004091.2	1431062	1431691	+	630	44	56	28	36
gene-PA1320	AE004091.2	1431691	1432026	+	336	36	47	14	41
gene-PA1321	AE004091.2	1432037	1432927	+	891	77	89	20	67
gene-PA1322	AE004091.2	1433166	1435364	+	2199	19	26	10	23
gene-PA1323	AE004091.2	1435493	1435825	+	333	15	8	1	11
gene-PA1324	AE004091.2	1435885	1436397	+	513	7	9	3	14
gene-PA1324.1	AE004091.2	1436491	1436618	+	128	45	43	11	36
gene-PA1325	AE004091.2	1436663	1437070	+	408	22	15	14	45
gene-PA1326	AE004091.2	1437067	1438614	+	1548	36	48	24	49
gene-PA1327	AE004091.2	1438706	1440676	+	1971	43	57	19	49
gene-PA1328	AE004091.2	1440639	1441547	-	909	18	34	15	33
gene-PA1329	AE004091.2	1441632	1442063	+	432	11	11	0	6
gene-PA1330	AE004091.2	1442069	1442848	+	780	23	24	15	33
gene-PA1331	AE004091.2	1442904	1444451	-	1548	70	104	49	105
gene-PA1332	AE004091.2	1444720	1445271	-	552	20	39	23	42
gene-PA1333	AE004091.2	1445405	1445611	-	207	17	34	13	38
gene-PA1334	AE004091.2	1445806	1446918	-	1113	10	15	7	11
gene-PA1335	AE004091.2	1447226	1448503	-	1278	27	38	13	46
gene-PA1336	AE004091.2	1448548	1450449	-	1902	42	86	62	121
gene-PA1337	AE004091.2	1450545	1451633	-	1089	56	73	84	132
gene-PA1338	AE004091.2	1451719	1453392	-	1674	87	115	107	203
gene-PA1339	AE004091.2	1453470	1454204	-	735	58	85	72	111
gene-PA1340	AE004091.2	1454201	1454869	-	669	71	79	46	101
gene-PA1341	AE004091.2	1454866	1455612	-	747	61	78	64	109
gene-PA1342	AE004091.2	1455815	1456723	-	909	167	166	116	200
gene-PA1343	AE004091.2	1457175	1457633	+	459	17	32	12	34
gene-PA1344	AE004091.2	1457729	1458523	+	795	37	50	19	47
gene-PA1345	AE004091.2	1458707	1460296	+	1590	16	24	6	24
gene-PA1346	AE004091.2	1460307	1461854	-	1548	10	16	10	20
gene-PA1347	AE004091.2	1461938	1462630	-	693	12	21	8	13
gene-PA1348	AE004091.2	1462696	1463403	+	708	22	25	4	11
gene-PA1349	AE004091.2	1463586	1463936	+	351	5	2	1	10
gene-PA1350	AE004091.2	1464111	1464860	+	750	16	14	7	7
gene-PA1351	AE004091.2	1464878	1466101	+	1224	4	4	2	7
gene-PA1352	AE004091.2	1466109	1467320	-	1212	6	9	4	7
gene-PA1353	AE004091.2	1467488	1467901	-	414	6	1	3	0
gene-PA1354	AE004091.2	1467938	1468363	-	426	9	4	2	3
gene-PA1355	AE004091.2	1468510	1468890	+	381	1	0	1	5
gene-PA1356	AE004091.2	1468913	1470019	+	1107	5	11	2	10
gene-PA1357	AE004091.2	1470088	1470564	+	477	29	37	31	52
gene-PA1358	AE004091.2	1470580	1470978	-	399	46	46	22	81
gene-PA1359	AE004091.2	1471016	1471672	-	657	40	42	27	58
gene-PA1360	AE004091.2	1471671	1472564	+	894	104	156	50	144
gene-PA1361	AE004091.2	1472547	1473980	-	1434	216	235	132	271
gene-PA1362	AE004091.2	1474391	1474714	+	324	12	10	4	13
gene-PA1363	AE004091.2	1474727	1475467	+	741	18	13	11	16
gene-PA1364	AE004091.2	1475464	1476306	+	843	16	20	13	28
gene-PA1365	AE004091.2	1476384	1478825	+	2442	56	77	33	76
gene-PA1366	AE004091.2	1479021	1479791	-	771	189	221	90	234
gene-PA1367	AE004091.2	1480215	1481051	-	837	37	56	30	49
gene-PA1368	AE004091.2	1481334	1482758	-	1425	61	72	38	67
gene-PA1369	AE004091.2	1483123	1483875	+	753	125	169	75	177
gene-PA1370	AE004091.2	1483898	1485763	+	1866	237	251	96	225
gene-PA1371	AE004091.2	1486266	1486967	-	702	77	113	41	91
gene-PA1372	AE004091.2	1486960	1489095	-	2136	503	680	346	604
gene-PA1373	AE004091.2	1489815	1491083	-	1269	37	59	14	43
gene-PA1374	AE004091.2	1491192	1491698	+	507	12	16	6	14
gene-PA1375	AE004091.2	1491913	1493055	+	1143	64	72	54	115
gene-PA1376	AE004091.2	1493090	1494823	-	1734	252	320	149	325
gene-PA1377	AE004091.2	1494959	1495492	+	534	33	55	10	62
gene-PA1378	AE004091.2	1495635	1495997	+	363	40	52	16	62
gene-PA1379	AE004091.2	1496087	1496920	-	834	13	13	5	12
gene-PA1380	AE004091.2	1497012	1497977	+	966	42	52	17	43
gene-PA1381	AE004091.2	1498338	1498829	+	492	12	14	5	10
gene-PA1382	AE004091.2	1498813	1501092	+	2280	270	351	108	290
gene-PA1383	AE004091.2	1501611	1503416	+	1806	203	232	71	171
gene-PA1384	AE004091.2	1503568	1504581	+	1014	25	38	12	25
gene-PA1385	AE004091.2	1504605	1505729	+	1125	64	81	22	52
gene-PA1386	AE004091.2	1505749	1507017	+	1269	53	91	39	68
gene-PA1387	AE004091.2	1507164	1508720	+	1557	171	219	37	207
gene-PA1388	AE004091.2	1508737	1509465	+	729	41	39	13	29
gene-PA1389	AE004091.2	1509562	1511046	+	1485	53	72	27	44
gene-PA1390	AE004091.2	1511232	1512266	+	1035	41	52	16	54
gene-PA1391	AE004091.2	1512260	1514035	+	1776	25	47	21	47
gene-PA1392	AE004091.2	1514036	1515280	+	1245	37	58	23	53
gene-PA1393	AE004091.2	1515337	1515927	-	591	21	19	6	36
gene-PA1394	AE004091.2	1516433	1516687	+	255	15	22	11	24
gene-PA1395	AE004091.2	1516703	1517119	+	417	30	50	9	44
gene-PA1396	AE004091.2	1517146	1518768	-	1623	121	186	82	162
gene-PA1397	AE004091.2	1518914	1519546	+	633	23	25	7	33
gene-PA1398	AE004091.2	1519627	1519968	+	342	18	29	13	35
gene-PA1399	AE004091.2	1519984	1520904	-	921	21	35	6	37
gene-PA1400	AE004091.2	1521109	1524396	+	3288	19	38	15	29
gene-PA1401	AE004091.2	1524424	1524831	-	408	22	37	21	27
gene-PA1402	AE004091.2	1524909	1525574	-	666	13	22	5	3
gene-PA1403	AE004091.2	1525667	1526299	+	633	12	8	4	5
gene-PA1404	AE004091.2	1526430	1526657	-	228	2	7	0	5
gene-PA1405	AE004091.2	1527191	1528783	+	1593	79	109	64	131
gene-PA1406	AE004091.2	1528803	1529561	-	759	51	64	27	64
gene-PA1407	AE004091.2	1529597	1530538	-	942	48	53	50	68
gene-PA1408	AE004091.2	1530605	1533028	-	2424	42	34	25	43
gene-PA1409	AE004091.2	1533238	1534278	+	1041	13	12	4	10
gene-PA1410	AE004091.2	1534289	1535380	+	1092	18	17	17	37
gene-PA1411	AE004091.2	1535586	1536497	+	912	16	22	18	27
gene-PA1412	AE004091.2	1536457	1537650	-	1194	11	16	5	3
gene-PA1413	AE004091.2	1537755	1538627	+	873	15	21	20	38
gene-PA1414	AE004091.2	1538683	1538916	+	234	8979	9774	1196	3226
gene-PA1415	AE004091.2	1538976	1539704	-	729	600	705	97	300
gene-PA1416	AE004091.2	1539749	1541131	-	1383	35	35	15	60
gene-PA1417	AE004091.2	1541145	1542746	-	1602	26	16	15	35
gene-PA1418	AE004091.2	1542822	1544213	-	1392	52	48	28	68
gene-PA1419	AE004091.2	1544307	1545818	-	1512	36	61	36	57
gene-PA1420	AE004091.2	1545837	1546256	-	420	28	35	11	36
gene-PA1421	AE004091.2	1546271	1547230	-	960	100	96	37	79
gene-PA1422	AE004091.2	1547437	1548330	+	894	81	62	38	63
gene-PA1423	AE004091.2	1548334	1549587	-	1254	35	51	14	69
gene-PA1424	AE004091.2	1549883	1550494	+	612	15	34	13	45
gene-PA1425	AE004091.2	1550984	1552600	+	1617	383	504	108	248
gene-PA1426	AE004091.2	1552641	1552997	+	357	8	19	6	14
gene-PA1427	AE004091.2	1553112	1553675	+	564	39	32	9	49
gene-PA1428	AE004091.2	1554415	1554846	+	432	13	20	10	24
gene-PA1429	AE004091.2	1555012	1557720	+	2709	361	469	70	179
gene-PA1430	AE004091.2	1558171	1558890	+	720	585	681	375	871
gene-PA1431	AE004091.2	1558880	1559122	-	243	251	272	94	220
gene-PA1432	AE004091.2	1559254	1559859	+	606	216	270	131	240
gene-PA1433	AE004091.2	1559966	1561918	-	1953	63	80	36	86
gene-PA1434	AE004091.2	1561919	1562632	-	714	47	53	17	62
gene-PA1435	AE004091.2	1562813	1563970	+	1158	5	9	4	6
gene-PA1436	AE004091.2	1563967	1567077	+	3111	27	37	14	36
gene-PA1437	AE004091.2	1567181	1567870	+	690	64	87	30	97
gene-PA1438	AE004091.2	1567848	1569293	+	1446	24	36	14	44
gene-PA1439	AE004091.2	1569302	1569709	-	408	61	80	25	76
gene-PA1440	AE004091.2	1569721	1570308	-	588	191	170	117	278
gene-PA1441	AE004091.2	1570496	1571779	+	1284	88	121	72	148
gene-PA1442	AE004091.2	1572023	1572544	+	522	159	177	61	173
gene-PA1443	AE004091.2	1572552	1573523	+	972	223	246	104	226
gene-PA1444	AE004091.2	1573551	1574024	+	474	225	213	68	171
gene-PA1445	AE004091.2	1574026	1574478	+	453	31	43	23	38
gene-PA1446	AE004091.2	1574475	1575242	+	768	92	110	43	108
gene-PA1447	AE004091.2	1575290	1575559	+	270	42	86	33	77
gene-PA1448	AE004091.2	1575559	1576335	+	777	41	57	26	58
gene-PA1449	AE004091.2	1576338	1577474	+	1137	36	79	33	73
gene-PA1450	AE004091.2	1577547	1578806	+	1260	151	166	63	187
gene-PA1451	AE004091.2	1578839	1580182	+	1344	102	117	52	151
gene-PA1452	AE004091.2	1580321	1582444	+	2124	320	286	100	258
gene-PA1453	AE004091.2	1582528	1583817	+	1290	333	503	164	365
gene-PA1454	AE004091.2	1583956	1584798	+	843	298	373	153	331
gene-PA1455	AE004091.2	1584795	1585538	+	744	400	542	152	375
gene-PA1456	AE004091.2	1585640	1586014	+	375	643	831	337	775
gene-PA1457	AE004091.2	1586034	1586822	+	789	302	365	187	374
gene-PA1458	AE004091.2	1587023	1589284	+	2262	810	1086	510	1037
gene-PA1459	AE004091.2	1589338	1590444	+	1107	198	198	120	256
gene-PA1460	AE004091.2	1590533	1591273	+	741	106	153	81	193
gene-PA1461	AE004091.2	1591286	1592176	+	891	135	142	73	202
gene-PA1462	AE004091.2	1592271	1593059	+	789	159	206	98	208
gene-PA1463	AE004091.2	1593151	1594041	+	891	330	369	244	449
gene-PA1464	AE004091.2	1594087	1594566	+	480	140	214	134	233
gene-PA1465	AE004091.2	1594597	1595004	+	408	40	37	19	57
gene-PA1466	AE004091.2	1595032	1595718	-	687	25	29	19	23
gene-PA1467	AE004091.2	1595827	1596798	+	972	25	29	15	32
gene-PA1468	AE004091.2	1596889	1597305	+	417	14	9	6	14
gene-PA1469	AE004091.2	1597365	1598087	+	723	17	22	11	28
gene-PA1470	AE004091.2	1598221	1598958	+	738	14	8	5	8
gene-PA1471	AE004091.2	1599024	1599320	-	297	10	8	4	10
gene-PA1472	AE004091.2	1599428	1599982	-	555	15	19	17	26
gene-PA1473	AE004091.2	1600083	1600418	-	336	28	40	15	39
gene-PA1474	AE004091.2	1600415	1601893	-	1479	139	188	77	189
gene-PA1475	AE004091.2	1602179	1602880	+	702	205	242	151	309
gene-PA1476	AE004091.2	1602877	1603548	+	672	152	183	72	175
gene-PA1477	AE004091.2	1603671	1604429	+	759	117	167	79	157
gene-PA1478	AE004091.2	1604426	1604602	+	177	31	57	32	61
gene-PA1479	AE004091.2	1604599	1605087	+	489	187	165	107	178
gene-PA1480	AE004091.2	1605088	1607061	+	1974	696	823	304	677
gene-PA1481	AE004091.2	1607065	1607607	+	543	200	220	96	211
gene-PA1482	AE004091.2	1607604	1608071	+	468	94	129	56	114
gene-PA1483	AE004091.2	1608068	1609291	+	1224	95	177	106	188
gene-PA1484	AE004091.2	1609738	1610544	-	807	41	55	17	54
gene-PA1485	AE004091.2	1610745	1612112	+	1368	25	20	4	9
gene-PA1486	AE004091.2	1612126	1613226	+	1101	8	7	7	6
gene-PA1487	AE004091.2	1613234	1614649	-	1416	21	19	7	29
gene-PA1488	AE004091.2	1614670	1615908	-	1239	20	22	6	20
gene-PA1489	AE004091.2	1615895	1617085	-	1191	8	14	13	19
gene-PA1490	AE004091.2	1617489	1618265	-	777	51	52	19	61
gene-PA1491	AE004091.2	1618612	1619847	+	1236	31	47	23	60
gene-PA1492	AE004091.2	1619907	1620263	+	357	22	35	19	43
gene-PA1493	AE004091.2	1620345	1621343	-	999	428	481	230	474
gene-PA1494	AE004091.2	1621472	1623127	-	1656	33	60	21	50
gene-PA1495	AE004091.2	1623251	1623877	-	627	15	18	7	23
gene-PA1496	AE004091.2	1623864	1624715	-	852	34	47	17	65
gene-PA1497	AE004091.2	1624781	1625695	-	915	12	10	5	12
gene-PA1498	AE004091.2	1626062	1627495	-	1434	7	24	7	11
gene-PA1499	AE004091.2	1627497	1628762	-	1266	7	10	2	13
gene-PA1500	AE004091.2	1629059	1629949	-	891	8	10	3	3
gene-PA1501	AE004091.2	1630024	1630806	-	783	52	68	15	34
gene-PA1502	AE004091.2	1630902	1632677	-	1776	29	44	17	52
gene-PA1503	AE004091.2	1633006	1633437	+	432	7	9	4	5
gene-PA1504	AE004091.2	1633842	1634492	-	651	160	210	115	295
gene-PA1505	AE004091.2	1634728	1635723	+	996	267	259	195	388
gene-PA1506	AE004091.2	1635908	1636237	+	330	10	20	13	31
gene-PA1507	AE004091.2	1636329	1637696	-	1368	21	22	12	26
gene-PA1508	AE004091.2	1638379	1638639	-	261	13	10	6	9
gene-PA1509	AE004091.2	1638652	1639794	-	1143	214	232	81	177
gene-PA1510	AE004091.2	1639791	1641500	-	1710	219	251	89	192
gene-PA1511	AE004091.2	1641497	1644025	-	2529	124	182	86	158
gene-PA1512	AE004091.2	1644207	1644725	-	519	12	22	6	19
gene-PA1513	AE004091.2	1645211	1646488	-	1278	64	71	38	69
gene-PA1514	AE004091.2	1646537	1647046	-	510	23	27	12	18
gene-PA1515	AE004091.2	1647101	1648099	-	999	55	38	19	45
gene-PA1516	AE004091.2	1648117	1648632	-	516	19	17	5	22
gene-PA1517	AE004091.2	1648629	1649555	-	927	51	59	15	62
gene-PA1518	AE004091.2	1649928	1650308	+	381	14	11	9	7
gene-PA1519	AE004091.2	1650549	1651898	-	1350	12	36	10	29
gene-PA1520	AE004091.2	1652273	1653052	+	780	107	123	59	144
gene-PA1521	AE004091.2	1653106	1654410	-	1305	40	48	13	41
gene-PA1522	AE004091.2	1654480	1655319	-	840	53	105	30	84
gene-PA1523	AE004091.2	1655346	1657745	-	2400	55	48	35	108
gene-PA1524	AE004091.2	1657738	1659192	-	1455	38	44	18	62
gene-PA1525	AE004091.2	1659413	1660546	-	1134	33	47	19	45
gene-PA1526	AE004091.2	1660727	1661386	+	660	148	192	100	245
gene-PA1527	AE004091.2	1661412	1664900	+	3489	601	628	456	913
gene-PA1528	AE004091.2	1665065	1665934	+	870	680	700	351	853
gene-PA1529	AE004091.2	1666025	1668409	+	2385	309	402	223	433
gene-PA1530	AE004091.2	1668455	1668832	+	378	113	124	67	146
gene-PA1530.1	AE004091.2	1668840	1669799	+	960	499	710	356	768
gene-PA1531	AE004091.2	1669086	1669952	-	867	124	147	73	184
gene-PA1532	AE004091.2	1669989	1672034	+	2046	696	813	543	1034
gene-PA1533	AE004091.2	1672080	1672406	+	327	309	284	184	300
gene-PA1534	AE004091.2	1672485	1673081	+	597	97	111	99	171
gene-PA1535	AE004091.2	1673204	1674352	+	1149	42	65	32	79
gene-PA1536	AE004091.2	1674365	1674904	-	540	22	28	12	28
gene-PA1537	AE004091.2	1674978	1675865	-	888	15	19	3	10
gene-PA1538	AE004091.2	1675862	1677445	-	1584	14	21	11	32
gene-PA1539	AE004091.2	1677559	1678407	+	849	76	94	26	81
gene-PA1540	AE004091.2	1678261	1678590	-	330	27	34	18	21
gene-PA1541	AE004091.2	1678584	1678952	-	369	109	142	69	113
gene-PA1542	AE004091.2	1679361	1680197	-	837	26	41	22	44
gene-PA1543	AE004091.2	1680437	1680985	-	549	74	87	45	62
gene-PA1544	AE004091.2	1681071	1681805	-	735	373	416	177	408
gene-PA1545	AE004091.2	1682051	1682518	+	468	345	379	132	332
gene-PA1546	AE004091.2	1682567	1683949	-	1383	912	1238	330	862
gene-PA1547	AE004091.2	1684077	1684760	-	684	47	50	19	42
gene-PA1548	AE004091.2	1684753	1684962	-	210	40	37	16	34
gene-PA1549	AE004091.2	1684941	1687376	-	2436	249	272	105	220
gene-PA1550	AE004091.2	1687373	1687912	-	540	109	135	34	103
gene-PA1551	AE004091.2	1687924	1689339	-	1416	651	786	253	597
gene-PA1552	AE004091.2	1689557	1690513	-	957	366	439	239	476
gene-PA1552.1	AE004091.2	1690510	1690695	-	186	259	307	165	294
gene-PA1553	AE004091.2	1690701	1691312	-	612	332	331	222	395
gene-PA1554	AE004091.2	1691327	1692754	-	1428	1010	1140	539	1235
gene-PA1555	AE004091.2	1693119	1694045	-	927	318	379	63	141
gene-PA1555.1	AE004091.2	1694042	1694227	-	186	143	166	29	59
gene-PA1556	AE004091.2	1694233	1694841	-	609	351	358	68	181
gene-PA1557	AE004091.2	1694852	1696279	-	1428	584	688	110	336
gene-PA1558	AE004091.2	1696467	1697099	+	633	5	7	14	10
gene-PA1559	AE004091.2	1697188	1697919	+	732	87	108	77	184
gene-PA1560	AE004091.2	1697916	1698344	+	429	62	80	67	136
gene-PA1561	AE004091.2	1698382	1699947	-	1566	333	472	196	380
gene-PA1562	AE004091.2	1700320	1703052	-	2733	184	231	73	170
gene-PA1563	AE004091.2	1703379	1704437	+	1059	72	93	28	110
gene-PA1564	AE004091.2	1704522	1704761	+	240	28	31	28	49
gene-PA1565	AE004091.2	1704793	1706103	-	1311	51	81	41	66
gene-PA1566	AE004091.2	1706172	1707536	-	1365	12	13	25	30
gene-PA1567	AE004091.2	1708004	1709401	-	1398	60	95	7	49
gene-PA1568	AE004091.2	1709412	1709765	-	354	6	7	1	6
gene-PA1569	AE004091.2	1709821	1711191	-	1371	11	12	4	15
gene-PA1570	AE004091.2	1711569	1712450	+	882	35	50	21	51
gene-PA1571	AE004091.2	1712519	1712698	-	180	44	63	29	80
gene-PA1572	AE004091.2	1712908	1714053	+	1146	72	78	54	131
gene-PA1573	AE004091.2	1714064	1714660	+	597	38	65	22	52
gene-PA1574	AE004091.2	1714778	1715059	-	282	21	32	12	22
gene-PA1575	AE004091.2	1715154	1715705	-	552	36	27	13	31
gene-PA1576	AE004091.2	1715809	1716675	+	867	105	135	59	180
gene-PA1577	AE004091.2	1716682	1717023	-	342	77	95	39	127
gene-PA1578	AE004091.2	1717139	1717894	+	756	36	42	13	45
gene-PA1579	AE004091.2	1718386	1718994	+	609	184	251	125	280
gene-PA1580	AE004091.2	1719109	1720395	-	1287	558	670	486	951
gene-PA1581	AE004091.2	1720744	1721130	+	387	871	1099	683	1444
gene-PA1582	AE004091.2	1721124	1721492	+	369	524	592	457	814
gene-PA1583	AE004091.2	1721496	1723268	+	1773	1537	1899	1118	2206
gene-PA1584	AE004091.2	1723280	1723987	+	708	1293	1577	779	1727
gene-PA1585	AE004091.2	1724244	1727075	+	2832	1326	1746	964	1762
gene-PA1586	AE004091.2	1727118	1728347	+	1230	784	919	569	1003
gene-PA1587	AE004091.2	1728416	1729852	+	1437	508	684	370	718
gene-PA1588	AE004091.2	1730181	1731347	+	1167	1216	1436	895	1381
gene-PA1589	AE004091.2	1731347	1732234	+	888	729	806	450	740
gene-PA1590	AE004091.2	1732545	1733858	+	1314	147	195	97	248
gene-PA1591	AE004091.2	1734004	1734768	+	765	102	140	41	82
gene-PA1592	AE004091.2	1734827	1735063	-	237	279	299	143	275
gene-PA1593	AE004091.2	1735236	1735709	+	474	27	33	14	49
gene-PA1594	AE004091.2	1735706	1736152	+	447	24	36	14	24
gene-PA1595	AE004091.2	1736189	1737418	+	1230	91	85	45	122
gene-PA1596	AE004091.2	1737536	1739440	+	1905	930	1616	852	1604
gene-PA1597	AE004091.2	1739508	1740233	+	726	56	83	78	136
gene-PA1598	AE004091.2	1740244	1741065	-	822	11	25	8	27
gene-PA1599	AE004091.2	1741146	1741928	+	783	15	13	11	17
gene-PA1600	AE004091.2	1741939	1743240	-	1302	11	11	17	25
gene-PA1601	AE004091.2	1743290	1745536	-	2247	10	26	31	63
gene-PA1602	AE004091.2	1745533	1746024	-	492	9	6	21	26
gene-PA1603	AE004091.2	1746231	1746653	-	423	24	19	8	25
gene-PA1604	AE004091.2	1746692	1747597	-	906	135	205	37	104
gene-PA1605	AE004091.2	1747596	1748630	+	1035	57	78	24	55
gene-PA1606	AE004091.2	1748699	1749175	+	477	8	14	7	14
gene-PA1607	AE004091.2	1749349	1749789	-	441	77	118	22	80
gene-PA1608	AE004091.2	1749895	1751520	-	1626	75	91	35	79
gene-PA1609	AE004091.2	1751674	1752891	-	1218	1050	1113	766	1565
gene-PA1610	AE004091.2	1752903	1753418	-	516	185	268	203	394
gene-PA1611	AE004091.2	1753607	1755562	-	1956	295	321	156	321
gene-PA1612	AE004091.2	1755559	1756317	-	759	79	87	49	104
gene-PA1613	AE004091.2	1756489	1758597	-	2109	255	319	128	355
gene-PA1614	AE004091.2	1758748	1759770	+	1023	176	191	97	222
gene-PA1615	AE004091.2	1759784	1760125	+	342	76	69	19	57
gene-PA1616	AE004091.2	1760122	1760586	+	465	44	68	30	56
gene-PA1617	AE004091.2	1760713	1762380	+	1668	75	91	33	108
gene-PA1618	AE004091.2	1762433	1762870	+	438	12	10	8	26
gene-PA1619	AE004091.2	1762928	1763752	+	825	22	26	10	39
gene-PA1620	AE004091.2	1763793	1764434	+	642	4	4	4	10
gene-PA1621	AE004091.2	1764536	1765348	+	813	21	28	14	56
gene-PA1622	AE004091.2	1765345	1766205	+	861	22	26	10	32
gene-PA1623	AE004091.2	1766285	1766947	+	663	85	71	52	102
gene-PA1624	AE004091.2	1766956	1767762	+	807	41	55	33	61
gene-PA1625	AE004091.2	1767928	1768995	+	1068	133	147	76	146
gene-PA1626	AE004091.2	1769047	1770321	-	1275	59	72	28	69
gene-PA1627	AE004091.2	1770337	1770984	-	648	60	70	25	45
gene-PA1628	AE004091.2	1771122	1772651	-	1530	19	30	9	24
gene-PA1629	AE004091.2	1772655	1773440	-	786	16	19	8	13
gene-PA1630	AE004091.2	1773682	1774548	+	867	49	61	22	49
gene-PA1631	AE004091.2	1774603	1775757	+	1155	26	38	9	26
gene-PA1632	AE004091.2	1775945	1776034	+	90	50	58	2	11
gene-PA1633	AE004091.2	1776045	1777739	+	1695	132	201	27	69
gene-PA1634	AE004091.2	1777751	1779823	+	2073	67	113	12	34
gene-PA1635	AE004091.2	1779877	1780428	+	552	12	16	3	4
gene-PA1636	AE004091.2	1780536	1783193	+	2658	78	138	22	47
gene-PA1637	AE004091.2	1783294	1783986	+	693	27	35	13	25
gene-PA1638	AE004091.2	1784108	1785016	+	909	44	84	38	90
gene-PA1639	AE004091.2	1785127	1785732	+	606	72	85	43	91
gene-PA1640	AE004091.2	1785736	1786773	-	1038	99	125	54	128
gene-PA1641	AE004091.2	1786888	1787166	+	279	3	15	3	15
gene-PA1642	AE004091.2	1787250	1788284	+	1035	93	126	72	118
gene-PA1643	AE004091.2	1788284	1789393	+	1110	101	162	82	153
gene-PA1644	AE004091.2	1789857	1790465	+	609	125	158	45	150
gene-PA1645	AE004091.2	1790472	1790879	-	408	31	45	18	42
gene-PA1646	AE004091.2	1791080	1793038	+	1959	32	43	20	31
gene-PA1647	AE004091.2	1793019	1794740	-	1722	83	108	30	72
gene-PA1648	AE004091.2	1794883	1795887	-	1005	13	9	6	21
gene-PA1649	AE004091.2	1796138	1796899	+	762	14	17	8	22
gene-PA1650	AE004091.2	1797058	1797951	+	894	42	49	24	48
gene-PA1651	AE004091.2	1797958	1799154	-	1197	70	98	32	80
gene-PA1652	AE004091.2	1799385	1800020	+	636	35	34	12	24
gene-PA1653	AE004091.2	1800071	1800547	-	477	46	46	10	44
gene-PA1654	AE004091.2	1800629	1801795	+	1167	276	368	106	288
gene-PA1655	AE004091.2	1801851	1802453	+	603	139	135	47	124
gene-PA1656	AE004091.2	1803626	1805182	+	1557	298	358	102	217
gene-PA1657	AE004091.2	1805218	1805724	+	507	47	57	26	55
gene-PA1658	AE004091.2	1805753	1807228	+	1476	170	236	80	167
gene-PA1659	AE004091.2	1807241	1807648	+	408	38	82	17	30
gene-PA1660	AE004091.2	1808193	1809773	+	1581	122	148	77	80
gene-PA1661	AE004091.2	1809737	1810744	+	1008	128	167	56	88
gene-PA1662	AE004091.2	1810751	1813384	+	2634	152	191	72	154
gene-PA1663	AE004091.2	1813395	1814906	+	1512	54	68	29	60
gene-PA1664	AE004091.2	1814995	1815135	+	141	0	4	2	4
gene-PA1665	AE004091.2	1815153	1816346	+	1194	65	88	48	84
gene-PA1666	AE004091.2	1816352	1816858	+	507	39	27	27	44
gene-PA1667	AE004091.2	1816855	1818186	+	1332	103	139	48	110
gene-PA1668	AE004091.2	1818189	1819058	+	870	72	74	50	77
gene-PA1669	AE004091.2	1819074	1822601	+	3528	181	231	142	240
gene-PA1670	AE004091.2	1822601	1823329	+	729	27	58	47	51
gene-PA1671	AE004091.2	1823326	1824315	+	990	54	82	22	70
gene-PA1672	AE004091.2	1824343	1824723	-	381	51	106	33	61
gene-PA1673	AE004091.2	1824969	1825430	+	462	495	516	114	280
gene-PA1674	AE004091.2	1825495	1826040	-	546	443	579	198	477
gene-PA1675	AE004091.2	1826118	1826675	-	558	125	151	63	153
gene-PA1676	AE004091.2	1826732	1827052	-	321	31	52	13	69
gene-PA1677	AE004091.2	1827225	1827821	-	597	112	134	50	136
gene-PA1678	AE004091.2	1827992	1828906	+	915	223	257	126	302
gene-PA1679	AE004091.2	1828931	1829710	-	780	145	173	97	233
gene-PA1680	AE004091.2	1829788	1830771	-	984	49	45	21	51
gene-PA1681	AE004091.2	1830879	1831970	+	1092	293	327	156	451
gene-PA1682	AE004091.2	1832014	1833165	+	1152	111	133	90	244
gene-PA1683	AE004091.2	1833162	1833779	+	618	167	199	141	317
gene-PA1684	AE004091.2	1833776	1834321	+	546	127	181	71	194
