# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "ERR1378069_sorted.bam" "ERR1378068_sorted.bam" "ERR1378065_sorted.bam" "ERR1378064_sorted.bam" "ERR1378066_sorted.bam" "ERR1378063_sorted.bam" "ERR1378062_sorted.bam" "ERR1378067_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ERR1378069_sorted.bam	ERR1378068_sorted.bam	ERR1378065_sorted.bam	ERR1378064_sorted.bam	ERR1378066_sorted.bam	ERR1378063_sorted.bam	ERR1378062_sorted.bam	ERR1378067_sorted.bam
gene-BSU_07450	NC_000964.3	817810	818829	-	1020	2298	3049	2881	2327	3915	4285	2095	3162
gene-BSU_07460	NC_000964.3	819311	820531	-	1221	48	159	789	555	814	167	278	714
gene-BSU_07480	NC_000964.3	820867	822330	+	1464	145	375	1419	1168	1722	397	527	1251
gene-BSU_07490	NC_000964.3	822903	823703	-	801	3940	3046	6350	4320	6790	3280	3786	6962
gene-BSU_07500	NC_000964.3	823716	824717	-	1002	5123	2700	6007	3852	6144	3216	4475	7539
gene-BSU_07510	NC_000964.3	824714	825715	-	1002	4255	1853	4249	2376	4000	2435	3737	6123
gene-BSU_07520	NC_000964.3	825787	826734	-	948	16240	14743	9661	5703	12077	15270	15425	14239
gene-BSU_07530	NC_000964.3	826843	827211	-	369	59	119	246	231	330	141	104	262
gene-BSU_07550	NC_000964.3	827455	827802	+	348	36	83	86	72	111	79	64	80
gene-BSU_07560	NC_000964.3	827993	829255	+	1263	2863	8846	8046	6863	12415	11457	7319	4509
gene-BSU_07570	NC_000964.3	829382	830818	+	1437	507	1333	8845	7052	9924	1168	928	5908
gene-BSU_07580	NC_000964.3	830945	832573	+	1629	331	500	1041	892	1380	529	385	935
gene-BSU_07590	NC_000964.3	832545	833225	+	681	71	234	339	347	459	281	134	299
gene-BSU_07600	NC_000964.3	833228	834187	+	960	146	307	497	470	633	399	203	428
gene-BSU_07610	NC_000964.3	834383	835684	+	1302	152	306	416	326	566	333	191	355
gene-BSU_07620	NC_000964.3	835740	836534	+	795	133	250	406	325	507	251	125	286
gene-BSU_07630	NC_000964.3	836653	837744	+	1092	613	683	1640	1276	1759	886	677	1259
gene-BSU_07640	NC_000964.3	837735	838010	-	276	278	330	554	480	719	394	353	477
gene-BSU_07650	NC_000964.3	838077	838742	+	666	418	549	706	601	788	680	624	627
gene-BSU_07660	NC_000964.3	838783	838920	-	138	118	148	213	140	217	122	172	234
gene-BSU_07670	NC_000964.3	839077	839232	-	156	195	238	345	260	379	208	274	436
gene-BSU_07680	NC_000964.3	839339	839653	-	315	1607	1520	1363	919	1603	1540	1589	2017
gene-BSU_07690	NC_000964.3	839735	840484	-	750	4600	3495	3374	2322	3773	3628	3605	4710
gene-BSU_07700	NC_000964.3	840656	842014	+	1359	2156	3529	4464	3513	5153	4013	2551	3747
gene-BSU_07710	NC_000964.3	842047	843996	-	1950	13756	21077	25709	20589	32641	24654	22359	21904
gene-BSU_07720	NC_000964.3	844097	844234	+	138	2	19	47	52	46	23	16	36
gene-BSU_07735	NC_000964.3	844253	844645	+	393	36	70	172	111	165	115	50	135
gene-BSU_07750	NC_000964.3	844770	846185	+	1416	248	372	942	822	1069	418	467	807
gene-BSU_07760	NC_000964.3	846182	847258	-	1077	217	361	749	576	925	265	309	625
gene-BSU_07770	NC_000964.3	847282	847482	-	201	48	77	210	207	299	81	84	220
gene-BSU_07780	NC_000964.3	847498	848652	-	1155	151	213	878	768	1272	296	248	761
gene-BSU_07790	NC_000964.3	848633	850174	-	1542	108	149	852	770	1206	253	174	727
gene-BSU_07800	NC_000964.3	850367	851779	+	1413	2115	23018	3851	9460	10220	16439	4125	2170
gene-BSU_07810	NC_000964.3	851850	853535	+	1686	2134	16860	4084	7596	10684	14403	3823	2574
gene-BSU_07820	NC_000964.3	853556	854272	+	717	2004	9652	4306	5242	7782	7367	3408	3276
gene-BSU_07830	NC_000964.3	854412	855077	+	666	926	2555	1763	1667	2562	1900	1438	1514
gene-BSU_07840	NC_000964.3	855114	859502	-	4389	572	561	1357	1062	1356	778	658	1241
gene-BSU_07850	NC_000964.3	859745	860263	+	519	138	248	271	128	212	172	171	216
gene-BSU_07860	NC_000964.3	860303	861493	-	1191	874	711	1453	907	1441	870	1143	1608
gene-BSU_07870	NC_000964.3	861586	861801	-	216	169	177	285	207	411	176	264	358
gene-BSU_07880	NC_000964.3	862004	862474	+	471	359	635	823	723	1019	496	529	659
gene-BSU_07890	NC_000964.3	862492	862812	+	321	497	698	970	745	1030	592	583	812
gene-BSU_07900	NC_000964.3	862836	863663	+	828	845	1259	1785	1534	1970	1164	1214	1679
gene-BSU_07910	NC_000964.3	863862	865037	-	1176	590	968	3287	2572	3950	1124	920	2214
gene-BSU_07920	NC_000964.3	865205	866260	+	1056	385	558	952	785	1023	568	666	743
gene-BSU_07930	NC_000964.3	866331	867125	+	795	267	512	862	642	931	491	518	650
gene-BSU_07940	NC_000964.3	867164	868006	-	843	1438	2070	5238	4198	6174	2138	2398	3979
gene-BSU_07955	NC_000964.3	868007	869128	-	1122	1960	2527	6953	5697	8298	2685	2982	5355
gene-BSU_07970	NC_000964.3	869273	869458	+	186	48	55	131	95	170	33	44	152
gene-BSU_07980	NC_000964.3	869559	870350	+	792	280	183	794	609	946	258	272	835
gene-BSU_07990	NC_000964.3	870388	871248	-	861	1731	1264	1577	878	1433	1554	1252	2016
gene-BSU_08000	NC_000964.3	871347	872306	-	960	999	1313	2947	2251	3365	1149	1423	2340
gene-BSU_08010	NC_000964.3	872425	873288	+	864	741	650	1404	1095	1733	843	797	1398
gene-BSU_08020	NC_000964.3	873402	874802	+	1401	3755	3303	5589	4244	6562	3675	3882	5812
gene-BSU_08029	NC_000964.3	875428	875694	+	267	15	117	297	169	231	107	113	172
gene-BSU_08030	NC_000964.3	876426	877403	+	978	1597	1859	4066	3028	4369	1738	2558	3456
gene-BSU_08040	NC_000964.3	877599	878051	+	453	328	239	385	217	319	249	404	439
gene-BSU_08050	NC_000964.3	878081	878770	+	690	287	272	240	104	176	201	350	433
gene-BSU_08060	NC_000964.3	879002	880003	+	1002	24	31	87	79	79	131	32	78
gene-BSU_08070	NC_000964.3	880007	881035	+	1029	45	54	145	83	142	135	57	121
gene-BSU_08080	NC_000964.3	881049	882245	+	1197	135	118	456	388	484	263	167	365
gene-BSU_08090	NC_000964.3	882266	883642	+	1377	136	125	334	231	298	181	120	217
gene-BSU_08100	NC_000964.3	883758	885575	+	1818	225	2497	458	1063	968	931	395	305
gene-BSU_08110	NC_000964.3	885629	885808	+	180	25	266	75	113	124	87	60	57
gene-BSU_08120	NC_000964.3	885844	886173	-	330	269	260	437	303	472	212	228	436
gene-BSU_08130	NC_000964.3	886223	886681	-	459	222	340	603	450	627	324	352	684
gene-BSU_08140	NC_000964.3	886775	887332	-	558	132	245	358	275	373	220	219	431
gene-BSU_08150	NC_000964.3	887364	888131	-	768	90	151	204	172	171	147	183	263
gene-BSU_08160	NC_000964.3	888143	889366	-	1224	86	129	151	107	134	175	136	215
gene-BSU_08170	NC_000964.3	889372	889686	-	315	29	29	56	52	33	73	53	55
gene-BSU_08180	NC_000964.3	890022	891371	+	1350	232	590	446	386	747	730	288	383
gene-BSU_08190	NC_000964.3	891436	892200	+	765	64	207	292	215	339	211	166	188
gene-BSU_08200	NC_000964.3	892215	893798	+	1584	102	558	296	356	438	311	147	205
gene-BSU_08210	NC_000964.3	893904	895625	+	1722	1668	2025	1788	1343	2057	2624	1603	1865
gene-BSU_08220	NC_000964.3	895619	897433	+	1815	2237	3019	2575	1968	3213	3751	2528	2762
gene-BSU_08230	NC_000964.3	897588	897992	+	405	371	186	388	235	395	342	470	549
gene-BSU_08240	NC_000964.3	898010	898867	+	858	983	465	745	480	823	720	935	1080
gene-BSU_08250	NC_000964.3	898961	899905	+	945	52	72	118	72	122	86	70	146
gene-BSU_08260	NC_000964.3	900080	901528	+	1449	94	191	283	260	293	227	123	221
gene-BSU_08270	NC_000964.3	901555	902496	+	942	61	92	160	174	207	146	75	153
gene-BSU_08280	NC_000964.3	902506	903687	+	1182	78	126	258	260	341	201	75	257
gene-BSU_08290	NC_000964.3	903811	905013	+	1203	378	545	1038	841	1083	669	757	883
gene-BSU_08300	NC_000964.3	905010	905672	+	663	266	353	662	597	741	408	389	593
gene-BSU_08310	NC_000964.3	905816	906751	+	936	46	54	419	330	525	130	65	291
gene-BSU_08320	NC_000964.3	906764	907954	+	1191	112	121	544	436	570	158	155	410
gene-BSU_08330	NC_000964.3	907968	909125	+	1158	222	176	730	545	867	244	294	633
gene-BSU_08340	NC_000964.3	909198	909746	-	549	291	408	814	607	1004	362	381	744
gene-BSU_08350	NC_000964.3	910019	910651	+	633	197	218	556	422	655	151	242	530
gene-BSU_08360	NC_000964.3	910840	911928	+	1089	118	142	545	402	567	187	147	389
gene-BSU_08370	NC_000964.3	911964	912581	-	618	275	310	517	422	606	252	355	510
gene-BSU_08380	NC_000964.3	912547	913800	-	1254	147	203	565	526	621	237	274	455
gene-BSU_08390	NC_000964.3	913924	914460	+	537	455	615	757	706	856	557	623	690
gene-BSU_08400	NC_000964.3	914457	916013	-	1557	542	678	1705	1444	2116	762	578	1219
gene-BSU_08410	NC_000964.3	916124	916606	-	483	109	162	596	460	568	156	141	453
gene-BSU_08425	NC_000964.3	916778	919348	+	2571	6666	8670	14019	11420	16232	9357	9872	12328
gene-BSU_08440	NC_000964.3	919366	920343	-	978	6830	18280	9558	8361	19028	24846	15464	8675
gene-BSU_08450	NC_000964.3	920474	921475	+	1002	5019	3633	2838	1646	3006	4093	4682	4755
gene-BSU_08460	NC_000964.3	921472	922503	+	1032	5483	3826	3349	1783	3453	4271	5052	5525
gene-BSU_08470	NC_000964.3	922618	923499	+	882	2283	528	1077	644	1022	858	901	2983
gene-BSU_08480	NC_000964.3	923587	924171	+	585	5155	3399	2506	989	2238	2656	4010	5772
gene-BSU_08490	NC_000964.3	924210	924401	-	192	135	86	131	63	100	96	231	236
gene-BSU_08500	NC_000964.3	924468	924578	-	111	64	78	93	47	73	66	142	146
gene-BSU_08510	NC_000964.3	924633	925544	-	912	747	715	1345	919	1391	874	989	1396
gene-BSU_08520	NC_000964.3	925633	926427	+	795	986	1502	2637	1963	2768	1381	1618	2018
gene-BSU_08530	NC_000964.3	926429	926743	+	315	384	637	935	716	990	492	563	730
gene-BSU_08540	NC_000964.3	926886	928079	+	1194	1196	1261	2621	2055	3006	1424	1868	2143
gene-BSU_08550	NC_000964.3	928112	928264	-	153	82	78	213	113	206	66	130	158
gene-BSU_08560	NC_000964.3	928389	928658	+	270	71	81	202	119	253	116	150	202
gene-BSU_08570	NC_000964.3	928803	929321	+	519	155	166	544	450	598	214	253	423
gene-BSU_08580	NC_000964.3	929406	929738	+	333	679	1023	1167	782	1060	932	1295	859
gene-BSU_08590	NC_000964.3	929725	930585	+	861	1171	1798	2303	1402	2006	1959	2454	1581
gene-BSU_08600	NC_000964.3	930818	931807	+	990	943	2404	2948	2380	3478	2167	2277	2159
gene-BSU_08610	NC_000964.3	931879	934464	+	2586	2000	3564	4571	3192	5374	3653	4614	3523
gene-BSU_08620	NC_000964.3	934457	935440	-	984	2466	2418	3128	2298	3454	2928	2899	3602
gene-BSU_08630	NC_000964.3	935656	936765	+	1110	1924	2467	2815	2085	3303	2624	2278	2741
gene-BSU_08640	NC_000964.3	936773	936997	-	225	772	1102	683	412	791	997	978	913
gene-BSU_08650	NC_000964.3	937079	937831	+	753	3879	4405	2684	1680	2836	4371	4142	3508
gene-BSU_08660	NC_000964.3	937900	938154	+	255	1217	1452	916	602	1028	1574	1440	1202
gene-BSU_08670	NC_000964.3	938243	938587	+	345	29	16	97	54	87	32	16	91
gene-BSU_08680	NC_000964.3	938731	939261	+	531	1267	1737	2504	1666	2586	1218	1854	2868
gene-BSU_08690	NC_000964.3	939349	941091	+	1743	3270	3462	7664	5597	8289	3854	4599	6974
gene-BSU_08700	NC_000964.3	941168	942229	-	1062	898	2345	2507	2130	3622	2222	2179	1809
gene-BSU_08710	NC_000964.3	942449	943738	-	1290	3386	3210	4617	3282	5229	2762	2906	4795
gene-BSU_08720	NC_000964.3	943891	944364	+	474	558	684	766	535	971	687	726	1089
gene-BSU_08730	NC_000964.3	944487	944924	+	438	1062	1279	3754	2112	3884	1106	1305	3592
gene-BSU_08740	NC_000964.3	944959	945312	-	354	93	152	404	237	361	98	193	403
gene-BSU_08750	NC_000964.3	945520	946404	+	885	679	1592	2329	1721	2726	1083	1370	2189
gene-BSU_rRNA_22	NC_000964.3	946696	948250	+	1555	218	239	186	149	1050	365	489	301
gene-BSU_rRNA_17	NC_000964.3	948418	951345	+	2928	280	300	351	309	2223	691	785	519
gene-BSU_rRNA_18	NC_000964.3	951457	951572	+	116	11	10	15	23	39	33	32	13
gene-BSU_tRNA_29	NC_000964.3	951582	951656	+	75	87	144	145	95	159	77	209	78
gene-BSU_tRNA_30	NC_000964.3	951662	951753	+	92	531	1093	327	267	706	345	472	274
gene-BSU_tRNA_31	NC_000964.3	951788	951859	+	72	218	425	247	153	268	181	367	176
gene-BSU_tRNA_32	NC_000964.3	951869	951944	+	76	369	498	480	314	503	408	610	295
gene-BSU_tRNA_33	NC_000964.3	951954	952030	+	77	846	1080	1782	640	1209	733	1793	876
gene-BSU_tRNA_34	NC_000964.3	952042	952118	+	77	884	987	964	520	1010	720	1278	640
gene-BSU_tRNA_35	NC_000964.3	952131	952206	+	76	846	929	908	484	973	696	1269	568
gene-BSU_tRNA_36	NC_000964.3	952212	952284	+	73	1158	1569	1278	724	1617	913	1601	821
gene-BSU_tRNA_37	NC_000964.3	952307	952391	+	85	1171	2172	1579	880	2058	1301	2246	1060
gene-BSU_tRNA_38	NC_000964.3	952397	952470	+	74	1283	2381	1964	1054	2381	1467	2744	1347
gene-BSU_tRNA_39	NC_000964.3	952495	952570	+	76	1375	2399	2420	1234	2937	1700	3131	1615
gene-BSU_tRNA_40	NC_000964.3	952580	952651	+	72	1420	2360	2405	1202	2954	1641	3030	1598
gene-BSU_tRNA_41	NC_000964.3	952701	952775	+	75	1081	1602	1569	789	1631	1118	2038	1116
gene-BSU_tRNA_42	NC_000964.3	952781	952851	+	71	1163	1492	1536	743	1446	977	2024	1086
gene-BSU_tRNA_43	NC_000964.3	952859	952947	+	89	1043	1897	1610	865	2218	1065	1876	1199
gene-BSU_tRNA_44	NC_000964.3	953213	953294	+	82	376	1158	352	428	1319	659	361	366
gene-BSU_08760	NC_000964.3	953373	954149	-	777	8608	10767	7473	4072	5787	7885	10979	7997
gene-BSU_08770	NC_000964.3	954291	954494	+	204	25	71	286	248	409	61	67	264
gene-BSU_08779	NC_000964.3	954579	954851	-	273	2	18	60	50	102	36	15	59
gene-BSU_08780	NC_000964.3	954893	955585	+	693	163	171	364	293	356	260	174	457
gene-BSU_misc_RNA_11	NC_000964.3	955655	955762	+	108	61	71	103	65	135	93	72	111
gene-BSU_08790	NC_000964.3	955895	957667	+	1773	250	290	771	580	867	445	319	679
gene-BSU_08800	NC_000964.3	957705	959060	-	1356	92	138	2284	1992	2996	353	112	1701
gene-BSU_08810	NC_000964.3	959311	959508	+	198	11	52	497	384	696	38	27	359
gene-BSU_08820	NC_000964.3	959535	960986	-	1452	2637	4829	45648	40246	60008	5032	3150	34501
gene-BSU_08830	NC_000964.3	961394	962161	+	768	12	24	537	415	605	80	32	436
gene-BSU_08840	NC_000964.3	962179	963177	+	999	30	26	778	623	951	73	32	630
gene-BSU_08850	NC_000964.3	963174	964004	+	831	42	52	936	745	1172	158	64	697
gene-BSU_08860	NC_000964.3	964027	965157	+	1131	63	80	1237	1021	1609	199	139	979
gene-BSU_08870	NC_000964.3	965261	965797	+	537	54	53	266	203	309	81	49	265
gene-BSU_08880	NC_000964.3	965909	966178	+	270	20	36	144	109	220	44	28	143
gene-BSU_08890	NC_000964.3	966196	966669	-	474	402	422	1074	746	1107	286	828	1156
gene-BSU_08899	NC_000964.3	966671	966871	-	201	207	203	559	333	527	151	415	596
gene-BSU_tRNA_82	NC_000964.3	967065	967138	+	74	163	1278	443	429	1023	330	354	399
gene-BSU_08900	NC_000964.3	967229	967852	-	624	825	929	3676	3055	4991	966	1129	3484
gene-BSU_08910	NC_000964.3	967935	969095	+	1161	680	834	6250	5151	7925	1028	869	5117
gene-BSU_08920	NC_000964.3	969162	970097	+	936	116	167	1017	823	1123	223	167	760
gene-BSU_08930	NC_000964.3	970135	970617	+	483	251	457	708	453	720	287	503	646
gene-BSU_08940	NC_000964.3	970667	971383	+	717	80	139	333	207	386	142	99	254
gene-BSU_08950	NC_000964.3	971374	972087	+	714	241	388	851	679	958	484	326	678
gene-BSU_08960	NC_000964.3	972099	972806	+	708	323	426	729	685	894	566	392	613
gene-BSU_08970	NC_000964.3	973156	975051	+	1896	73	161	444	295	442	224	160	367
gene-BSU_08980	NC_000964.3	975231	976409	+	1179	52	134	270	180	292	184	144	200
gene-BSU_08990	NC_000964.3	976569	977033	+	465	608	651	1468	1032	1523	770	1082	1325
gene-BSU_09000	NC_000964.3	977069	977734	+	666	751	927	2195	1454	2132	1046	1486	1894
gene-BSU_09010	NC_000964.3	977775	979373	+	1599	2284	2636	5669	4092	6210	2967	3483	4812
gene-BSU_09020	NC_000964.3	979396	979926	+	531	1531	1588	3108	2406	3443	1750	2078	2569
gene-BSU_09030	NC_000964.3	979939	980313	+	375	542	633	1225	988	1394	703	854	1077
gene-BSU_09040	NC_000964.3	980313	980468	+	156	45	83	223	154	219	100	82	128
gene-BSU_09050	NC_000964.3	980473	981234	+	762	326	820	1694	1503	2113	673	798	1482
gene-BSU_09060	NC_000964.3	981237	981602	+	366	290	541	1080	914	1329	483	655	956
gene-BSU_09070	NC_000964.3	981604	982302	+	699	632	1033	2037	1654	2163	941	1242	1898
gene-BSU_09080	NC_000964.3	982319	983236	+	918	1036	1469	2227	1526	1982	1412	2158	2042
gene-BSU_09090	NC_000964.3	983229	984170	+	942	1128	1823	2829	2013	2863	1747	2550	2453
gene-BSU_09100	NC_000964.3	984262	984465	-	204	2748	18766	13286	3658	7741	5539	13494	6555
gene-BSU_09110	NC_000964.3	984901	985731	+	831	2380	2841	3407	2395	3325	2305	2876	3580
gene-BSU_09120	NC_000964.3	985734	986813	-	1080	717	1118	2538	1845	2730	1093	1509	1815
gene-BSU_09130	NC_000964.3	986986	988377	+	1392	1204	2178	11829	9789	12767	2029	2067	8214
gene-BSU_09140	NC_000964.3	988417	988872	-	456	44	101	757	699	1085	201	95	617
gene-BSU_09150	NC_000964.3	989022	989591	+	570	29	47	556	426	721	111	69	454
gene-BSU_09165	NC_000964.3	989712	990680	+	969	18	43	210	156	196	89	23	137
gene-BSU_09180	NC_000964.3	990612	991265	-	654	20	41	126	91	121	48	36	73
gene-BSU_09190	NC_000964.3	991348	995001	+	3654	999	820	2139	1655	2176	944	931	1918
gene-BSU_09200	NC_000964.3	994998	995594	+	597	384	271	599	452	619	222	338	591
gene-BSU_09210	NC_000964.3	995624	996532	-	909	366	428	591	482	827	480	453	600
gene-BSU_09220	NC_000964.3	996643	997038	+	396	63	145	226	154	250	136	172	171
gene-BSU_09230	NC_000964.3	997175	997597	+	423	36	31	71	44	78	60	49	87
gene-BSU_09240	NC_000964.3	997724	998386	+	663	850	1618	886	636	1238	1372	879	1086
gene-BSU_09250	NC_000964.3	998402	999943	+	1542	2999	5500	2986	2233	4007	4983	3353	3544
gene-BSU_09260	NC_000964.3	1000364	1001716	+	1353	6069	3520	7151	4903	6954	3811	5460	8442
gene-BSU_09270	NC_000964.3	1001744	1002322	+	579	1781	1655	2660	1811	2630	1565	2209	3228
gene-BSU_09280	NC_000964.3	1002501	1003325	+	825	2968	17808	6842	11033	5508	7163	6277	3903
gene-BSU_09290	NC_000964.3	1003344	1004834	+	1491	8982	43546	15251	23889	12720	22090	17768	9563
gene-BSU_09300	NC_000964.3	1004975	1006642	+	1668	32127	32689	53079	29217	30685	17359	54171	42366
gene-BSU_09310	NC_000964.3	1006774	1008519	+	1746	18591	21520	20760	12557	17488	23131	28147	21969
gene-BSU_09320	NC_000964.3	1008668	1009807	+	1140	960	1009	2520	1995	2763	1283	1221	2320
gene-BSU_09330	NC_000964.3	1009804	1010448	+	645	618	719	1418	1293	1625	787	766	1323
gene-BSU_09340	NC_000964.3	1010445	1010969	+	525	337	468	740	638	905	435	450	700
gene-BSU_09350	NC_000964.3	1010984	1011226	-	243	21	59	132	88	157	40	57	88
gene-BSU_09360	NC_000964.3	1011427	1011750	+	324	56	77	313	265	378	126	136	265
gene-BSU_09370	NC_000964.3	1011792	1013258	-	1467	4113	2923	5127	3166	4656	3236	4570	5351
gene-BSU_09380	NC_000964.3	1013411	1013851	-	441	185	202	476	190	379	122	313	433
gene-BSU_09390	NC_000964.3	1013958	1015616	-	1659	414	1181	522	483	631	576	793	422
gene-BSU_09400	NC_000964.3	1015647	1017053	+	1407	48	118	331	263	357	194	125	264
gene-BSU_09410	NC_000964.3	1017083	1018468	-	1386	926	447	1116	747	1123	657	1139	1659
gene-BSU_09420	NC_000964.3	1018998	1020002	+	1005	1770	3370	2761	2311	4266	3185	2911	3228
gene-BSU_09430	NC_000964.3	1020073	1020948	-	876	360	515	483	326	553	572	464	651
gene-BSU_09440	NC_000964.3	1021057	1022157	+	1101	825	490	568	335	600	633	546	1165
gene-BSU_09450	NC_000964.3	1022231	1023100	+	870	1023	629	665	406	644	798	713	1237
gene-BSU_09460	NC_000964.3	1023350	1024747	+	1398	138	260	350	270	342	463	244	351
gene-BSU_09470	NC_000964.3	1024865	1026220	+	1356	1318	1877	3051	2436	3300	1972	2260	2560
gene-BSU_09480	NC_000964.3	1026255	1027664	-	1410	538	616	1654	1410	2090	640	684	1436
gene-BSU_09490	NC_000964.3	1027774	1028202	+	429	26	97	299	257	420	123	82	236
gene-BSU_09500	NC_000964.3	1028233	1028523	-	291	2189	3636	3101	2563	3644	3880	2958	2809
gene-BSU_09510	NC_000964.3	1028511	1029587	-	1077	7793	12167	11999	9808	13922	14368	10700	10889
gene-BSU_09520	NC_000964.3	1029577	1030068	-	492	950	2203	2092	1646	2447	2003	2091	2105
gene-BSU_09530	NC_000964.3	1030265	1031260	+	996	467	586	824	714	945	395	665	856
gene-BSU_09540	NC_000964.3	1031395	1031994	+	600	1137	3437	2169	1621	2818	2070	2249	1776
gene-BSU_09550	NC_000964.3	1032063	1033397	-	1335	10186	14438	12488	9348	13390	14147	14503	13609
gene-BSU_09560	NC_000964.3	1033458	1033889	-	432	4062	5621	5145	3794	5400	5949	6410	5754
gene-BSU_09570	NC_000964.3	1034046	1035227	+	1182	1844	1241	1259	875	1420	1623	1527	2290
gene-BSU_09590	NC_000964.3	1035554	1036939	+	1386	4166	5203	8365	7106	10327	5794	4445	8555
gene-BSU_09600	NC_000964.3	1036953	1037309	-	357	459	350	968	706	1101	372	549	867
gene-BSU_09610	NC_000964.3	1037306	1037701	-	396	528	420	1255	948	1387	565	717	1057
gene-BSU_09620	NC_000964.3	1037688	1038419	-	732	534	549	1413	965	1452	630	803	1235
gene-BSU_09630	NC_000964.3	1038653	1038760	+	108	20	26	79	60	114	29	21	69
gene-BSU_09640	NC_000964.3	1038909	1040024	+	1116	923	2099	2424	2190	3069	2320	1647	2012
gene-BSU_09650	NC_000964.3	1040094	1040837	+	744	702	809	1800	1385	1997	879	921	1473
gene-BSU_09660	NC_000964.3	1040861	1041709	-	849	1649	2924	3117	2498	3927	2298	2577	2748
gene-BSU_09670	NC_000964.3	1041994	1042842	+	849	1364	928	1659	1172	1816	1001	1109	2193
gene-BSU_09680	NC_000964.3	1042885	1044246	-	1362	878	2522	2017	2288	2222	1691	2241	1402
gene-BSU_09690	NC_000964.3	1044373	1044873	-	501	109	216	305	269	381	144	169	275
gene-BSU_09700	NC_000964.3	1045037	1045198	+	162	82	303	107	103	202	210	153	64
gene-BSU_09710	NC_000964.3	1045318	1047075	+	1758	368	772	1227	965	1307	1159	665	847
gene-BSU_09720	NC_000964.3	1047072	1049093	+	2022	802	1216	1983	1508	2122	1772	1236	1540
gene-BSU_09730	NC_000964.3	1049142	1049762	-	621	214	265	430	260	434	223	182	353
gene-BSU_09740	NC_000964.3	1049801	1049926	-	126	7	7	20	25	33	25	15	24
gene-BSU_09750	NC_000964.3	1050031	1050234	-	204	9	9	26	19	29	37	9	27
gene-BSU_09760	NC_000964.3	1050443	1050661	-	219	16	42	98	83	135	51	43	102
gene-BSU_09770	NC_000964.3	1050811	1052172	-	1362	367	423	1474	1260	1917	540	435	1330
gene-BSU_09780	NC_000964.3	1052162	1053253	-	1092	132	270	1069	1012	1395	294	250	871
gene-BSU_09790	NC_000964.3	1053520	1054653	+	1134	2084	2958	3328	2284	3471	3347	3232	3598
gene-BSU_09800	NC_000964.3	1054746	1055099	+	354	946	1451	1479	972	1575	1277	1469	1581
gene-BSU_09810	NC_000964.3	1055143	1056216	-	1074	631	1225	3773	3137	4616	1031	931	2804
gene-BSU_09830	NC_000964.3	1056702	1057568	+	867	133	763	580	758	798	308	232	470
gene-BSU_09840	NC_000964.3	1057680	1059185	+	1506	1144	1110	2874	2271	3341	1102	1262	2729
gene-BSU_09850	NC_000964.3	1059203	1060420	-	1218	1168	1212	4152	3216	4493	1259	1771	3376
gene-BSU_09860	NC_000964.3	1060427	1060924	-	498	399	564	1415	1261	1601	494	705	1181
gene-BSU_09870	NC_000964.3	1060988	1061326	-	339	219	343	876	625	865	271	395	667
gene-BSU_09880	NC_000964.3	1061491	1062258	+	768	79	141	157	151	231	224	84	145
gene-BSU_09889	NC_000964.3	1062279	1062464	-	186	8	19	22	28	28	21	18	25
gene-BSU_09890	NC_000964.3	1062591	1063487	+	897	416	624	1336	981	1419	742	938	987
gene-BSU_09900	NC_000964.3	1063480	1064739	+	1260	1005	1416	1700	1236	1871	1384	1707	1398
gene-BSU_09910	NC_000964.3	1064846	1066072	+	1227	1311	970	2011	1222	1838	979	971	2465
gene-BSU_09920	NC_000964.3	1066077	1068968	+	2892	3811	3821	6730	5267	7623	4035	3368	7343
gene-BSU_09930	NC_000964.3	1069042	1069986	+	945	2234	2500	4291	3210	4847	2670	2512	4290
gene-BSU_09940	NC_000964.3	1070111	1070323	+	213	26	42	113	84	125	55	72	119
gene-BSU_09950	NC_000964.3	1070364	1071242	-	879	10598	15310	9420	5513	9430	13231	13550	11886
gene-BSU_09958	NC_000964.3	1071402	1071488	+	87	3	1	21	17	14	19	12	26
gene-BSU_09959	NC_000964.3	1071613	1071699	+	87	2	0	27	12	37	32	6	19
gene-BSU_09965	NC_000964.3	1072042	1072560	-	519	216	451	591	282	643	463	603	499
gene-BSU_09980	NC_000964.3	1072768	1073109	+	342	267	596	473	348	530	343	498	512
gene-BSU_09990	NC_000964.3	1073106	1073717	-	612	640	1086	1284	852	1489	647	934	1355
gene-BSU_10000	NC_000964.3	1073895	1074251	-	357	299	489	886	629	915	379	429	923
gene-BSU_10009	NC_000964.3	1074381	1074572	+	192	195	272	717	660	847	287	314	625
gene-BSU_10010	NC_000964.3	1074646	1075164	-	519	4727	4609	5347	3886	5948	4024	4683	6395
gene-BSU_10020	NC_000964.3	1075289	1076368	-	1080	5119	3774	2923	1859	3215	4571	4208	5968
gene-BSU_10030	NC_000964.3	1076515	1076952	-	438	551	507	571	306	504	357	552	919
gene-BSU_10040	NC_000964.3	1077440	1078183	+	744	1710	1593	1464	955	1473	1771	1647	2012
gene-BSU_10050	NC_000964.3	1078176	1079402	+	1227	4451	4654	4194	2813	4788	5316	4651	5227
gene-BSU_10060	NC_000964.3	1079422	1080132	+	711	2433	2954	2476	1702	2772	3072	2702	2955
